index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
32,0.0,21,0.0,0.0,0.0,14477.0,124,73.2023578842,0.0,0.0,219.430241221,7.17133719609,0.0,0.0,42.35687,-71.116393,1445082431.0
33,0.0,19,0.0,0.0,0.0,14478.0,125,75.6782132823,0.0,0.0,208.637098658,7.68630696244,0.0,0.0,42.356872,-71.116423,1445082432.0
34,0.0,19,0.0,0.0,0.0,14479.0,125,78.345808511,0.0,0.0,202.639482367,7.80183612385,0.0,0.0,42.356876,-71.116455,1445082433.0
35,0.0,19,0.0,0.0,0.0,14480.0,125,80.9156009284,0.0,0.0,203.520933016,7.64719392229,0.0,0.0,42.356879,-71.116486,1445082434.0
36,0.0,17,0.0,0.0,0.0,14481.0,126,82.9734763817,0.0,0.0,212.025784496,8.13421732051,0.0,0.0,42.356878,-71.116511,1445082435.0
37,0.0,17,0.0,0.0,0.0,14482.0,126,85.1220857318,0.0,0.0,207.455596767,8.72034193693,0.0,0.0,42.356876,-71.116537,1445082436.0
38,0.0,17,0.0,0.0,0.0,14483.0,125,87.5904339364,0.0,0.0,196.551450039,9.6553211099,0.0,0.0,42.356875,-71.116567,1445082437.0
39,0.0,17,0.0,0.0,0.0,14484.0,125,90.9691583605,0.0,0.0,179.301603077,9.43454037673,0.0,0.0,42.356882,-71.116607,1445082438.0
40,0.0,17,0.0,0.0,0.0,14485.0,125,93.9365174794,0.0,0.0,184.183295187,8.9891211888,0.0,0.0,42.356884,-71.116643,1445082439.0
41,0.0,17,0.0,0.0,0.0,14486.0,125,96.4048653312,0.0,0.0,193.494194261,9.06691701684,0.0,0.0,42.356885,-71.116673,1445082440.0
42,0.0,17,0.0,0.0,0.0,14487.0,125,99.1850975964,0.0,0.0,191.728023142,8.41028825125,0.0,0.0,42.356875,-71.116704,1445082441.0
43,0.0,18,0.0,0.0,0.0,14488.0,125,101.239964935,0.0,0.0,205.756124924,8.50172938228,0.0,0.0,42.356875,-71.116729,1445082442.0
44,0.0,18,0.0,0.0,0.0,14489.0,125,103.646854576,0.0,0.0,200.452326004,8.6243116466,0.0,0.0,42.356872,-71.116758,1445082443.0
45,0.0,18,0.0,0.0,0.0,14490.0,125,106.197316828,0.0,0.0,196.967286112,9.06117768182,0.0,0.0,42.356871,-71.116789,1445082444.0
46,0.0,18,0.0,0.0,0.0,14491.0,125,109.420231234,0.0,0.0,187.351651375,8.33371612806,0.0,0.0,42.356868,-71.116828,1445082445.0
47,0.0,17,0.0,0.0,0.0,14492.0,125,111.724369244,0.0,0.0,204.791887393,8.19299772246,0.0,0.0,42.356867,-71.116856,1445082446.0
48,0.0,17,0.0,0.0,0.0,14493.0,125,113.845140448,0.0,0.0,211.892225105,8.44224812063,0.0,0.0,42.35686,-71.11688,1445082447.0
49,0.0,17,0.0,0.0,0.0,14494.0,125,116.372921326,0.0,0.0,206.945652578,8.29350091153,0.0,0.0,42.356855,-71.11691,1445082448.0
50,0.0,16,0.0,0.0,0.0,14495.0,125,118.766926523,0.0,0.0,211.52821176,8.19184639399,0.0,0.0,42.356853,-71.116939,1445082449.0
51,0.0,16,0.0,0.0,0.0,14496.0,125,121.011130787,0.0,0.0,217.042596648,8.14340633984,0.0,0.0,42.35685,-71.116966,1445082450.0
52,0.0,16,0.0,0.0,0.0,14497.0,124,123.391212987,0.0,0.0,217.280970579,7.81056800297,0.0,0.0,42.356837,-71.116989,1445082451.0
53,0.0,20,0.0,0.0,0.0,14498.0,124,125.660643047,0.0,0.0,222.776701765,7.07408136052,0.0,0.0,42.356819,-71.117002,1445082452.0
54,0.0,20,0.0,0.0,0.0,14499.0,124,127.785083743,0.0,0.0,229.596110255,6.75374644653,0.0,0.0,42.356804,-71.117018,1445082453.0
