TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor
1457612870.36232, 0, 1, 0, 0.8, 3.7, 110.69, 0, 111, 262, 0, 4.537, 1, 3.08, 1.33, 680, 0, 6553.5, 159.7, 271.9, 0
1457612872.04437, 0, 1, 1, 2.52, 12.4, 100.06, 35, 112, 355, 0, 5.021, 2, 8.63, 1.48, 620, 910, 609.8, 161.7, 260.1, 118
1457612874.08641, 0, 1, 2, 4.54, 22.7, 98.72, 30, 115, 369, 1, 5.09, 3, 10.25, 1.39, 560, 1250, 744.2, 142.8, 224.7, 119
1457612876.18422, 0, 1, 3, 6.65, 33.3, 99.42, 28, 119, 362, 2, 5.054, 4, 10.64, 1.42, 580, 1320, 761.3, 135.9, 218.5, 119
1457612878.2839, 0, 1, 4, 8.76, 43.9, 100.33, 29, 119, 352, 3, 5.008, 5, 10.48, 1.45, 590, 1290, 736.5, 136.4, 239.2, 119
1457612880.23462, 0, 1, 5, 10.7, 53.7, 99.41, 31, 123, 362, 4, 5.055, 6, 9.82, 1.39, 560, 1170, 703.2, 130.6, 232.8, 119
1457612882.20868, 0, 1, 6, 12.67, 63.5, 100.2, 30, 128, 353, 5, 5.014, 7, 9.91, 1.42, 580, 1180, 698.1, 127, 236.5, 119
1457612884.1939, 0, 1, 7, 14.65, 73.5, 100.73, 30, 129, 348, 6, 4.988, 8, 9.91, 1.42, 580, 1190, 690.5, 129.5, 232.3, 119
1457612886.20426, 0, 1, 8, 16.67, 83.5, 101.02, 30, 134, 345, 6, 4.973, 9, 9.97, 1.39, 570, 1220, 691, 130.3, 211.9, 119
1457612888.21432, 0, 1, 9, 18.67, 93.4, 101.26, 30, 137, 342, 7, 4.962, 10, 9.98, 1.42, 590, 1210, 688.2, 127.6, 205.9, 119
1457612890.22371, 0, 1, 10, 20.68, 103.3, 101.69, 30, 144, 338, 8, 4.94, 11, 9.91, 1.42, 590, 1200, 677.9, 123, 196.5, 120
1457612892.23376, 0, 1, 11, 22.7, 113.3, 102.2, 30, 148, 333, 9, 4.916, 12, 9.93, 1.42, 590, 1210, 672.3, 126.2, 205, 120
1457612894.23668, 0, 1, 12, 24.68, 123, 101.96, 30, 149, 335, 10, 4.927, 13, 9.77, 1.42, 590, 1170, 664.8, 123.5, 214.1, 120
1457612896.19438, 0, 1, 13, 26.66, 132.8, 101.69, 31, 153, 338, 10, 4.941, 14, 9.7, 1.42, 590, 1160, 663.6, 125.6, 219.2, 120
1457612898.2046, 0, 1, 14, 28.68, 142.8, 101.91, 30, 155, 336, 11, 4.93, 15, 9.93, 1.39, 580, 1220, 675.8, 131.1, 239.8, 120
1457612900.24204, 0, 1, 15, 30.69, 152.7, 101.71, 30, 155, 338, 12, 4.94, 16, 10, 1.42, 590, 1220, 683.8, 126.7, 228.3, 120
1457612902.27756, 0, 1, 16, 32.72, 162.7, 102.11, 30, 154, 334, 13, 4.92, 17, 10, 1.39, 580, 1240, 678.2, 130.5, 216.5, 120
1457612904.32101, 0, 1, 17, 34.77, 172.8, 102, 29, 157, 335, 14, 4.925, 18, 10.07, 1.42, 590, 1240, 684.4, 128.8, 228.2, 119
1457612906.33614, 0, 1, 18, 36.81, 182.8, 101.99, 30, 157, 335, 15, 4.926, 19, 9.99, 1.39, 580, 1240, 678.9, 129.3, 222.1, 119
1457612908.37484, 0, 1, 19, 38.84, 192.8, 102.13, 29, 156, 333, 15, 4.919, 20, 10.05, 1.42, 590, 1240, 681.2, 131, 228.4, 119
1457612910.44178, 0, 1, 20, 40.89, 202.9, 101.63, 29, 156, 338, 16, 4.943, 21, 10.13, 1.42, 590, 1250, 693.2, 129.6, 229.8, 119
1457612912.45592, 0, 1, 21, 42.9, 212.9, 101.51, 30, 156, 340, 17, 4.949, 22, 9.89, 1.42, 590, 1200, 679, 125.5, 215.3, 119
1457612914.43502, 0, 1, 22, 44.89, 222.7, 101.79, 30, 157, 337, 18, 4.935, 23, 9.81, 1.42, 590, 1180, 669.8, 122, 229.9, 118
1457612916.41565, 0, 1, 23, 46.89, 232.5, 102.22, 30, 159, 332, 19, 4.915, 24, 9.8, 1.42, 590, 1190, 663.2, 128, 208.3, 119
1457612918.39735, 0, 1, 24, 48.85, 242.3, 101.2, 30, 160, 343, 19, 4.965, 25, 9.82, 1.45, 600, 1170, 678.2, 126.5, 237.6, 119
1457612920.40316, 0, 1, 25, 50.84, 252.2, 100.91, 30, 159, 346, 20, 4.979, 26, 9.83, 1.42, 580, 1180, 682.8, 131, 244.1, 119
1457612922.38598, 0, 1, 26, 52.83, 262.2, 100.51, 30, 160, 350, 21, 4.999, 27, 10.04, 1.42, 580, 1220, 703.2, 133.1, 218.7, 118
1457612924.45576, 0, 1, 27, 54.85, 272.3, 100.3, 30, 160, 352, 22, 5.009, 28, 10.02, 1.42, 580, 1210, 704.8, 130.6, 246.7, 118
1457612926.37632, 0, 1, 28, 56.84, 282.2, 100.47, 30, 160, 350, 23, 5.001, 29, 9.95, 1.42, 580, 1200, 697, 133.5, 215.2, 118
1457612928.35735, 0, 1, 29, 58.81, 292.1, 100.08, 30, 162, 354, 24, 5.02, 30, 9.96, 1.42, 580, 1190, 703.4, 131, 240.6, 119
1457612930.3281, 0, 1, 30, 62.51, 302, 100.27, 30, 162, 354, 24, 5.011, 31, 9.8, 1.39, 570, 1180, 703.4, 133.7, 276.5, 118
1457612935.16292, 0, 1, 31, 67.32, 322.3, 129.8, 30, 162, 354, 25, 3.866, 33, 9.67, 0.85, 530, 1810, 703.4, 36.3, 55.8, 117
