Date,Piece,Distance,Split,Watts,Stroke Rate,Drag Factor,Stroke Length,Potential Split,,,,,,
2021-04-26 06:37:32 -07:00,15',3521.3,2:07.8,167.7,20,106,142,2:07.5,,,,,,
,,,,,,,,,,,,,,
Stroke #,Time,Distance,Split,Watts,Stroke Rate,Drag Factor,Stroke Length,HR,Work (J),Peak Drive Force (N),Average Drive Force (N),Drive Time,Recovery Time,Distance per Stroke
280,13:59.0,3269.7,2:01.7,194.3,21,106,145,159,566,686.8,442.6,0.72,1.99,11.9
281,14:01.9,3281.7,2:01.8,193.5,21,107,145,159,571.8,701.5,454.6,0.72,2,12
282,14:04.9,3293.9,2:01.8,193.7,20,107,148,159,578.6,686.8,436.4,0.74,2,12.2
283,14:07.8,3306,2:02.1,192.1,20,107,148,158,572.5,705.5,452.4,0.74,2,12.1
284,14:10.8,3318.1,2:01.3,196,20,106,148,158,583.8,693.9,450.2,0.74,2.03,12.2
285,14:13.7,3330.4,2:01.5,194.9,20,107,145,157,584.5,706.8,451,0.72,2,12.2
286,14:16.7,3342.5,2:01.8,193.8,20,106,145,157,575.3,711.3,459.5,0.72,2.03,12.1
287,14:19.6,3354.8,2:01.6,194.7,20,106,148,156,587.5,688.6,439.9,0.74,1.99,12.3
288,14:22.5,3366.8,2:01.9,193.2,21,106,142,157,567.4,702.8,460.4,0.7,2.04,11.9
289,14:25.5,3379,2:02.2,192,20,106,148,157,581.5,706.4,434.1,0.74,2.06,12.3
290,14:28.5,3391.3,2:03.0,187.9,20,106,148,156,573.2,703.3,455.1,0.74,2.08,12.3
291,14:31.5,3403.7,2:02.1,192.1,20,106,145,156,584.9,722.8,476.4,0.71,2.01,12.4
292,14:34.5,3415.8,2:00.9,197.8,20,106,145,156,586.5,724.6,464,0.71,2.02,12.2
293,14:37.4,3428,2:01.0,197.6,20,106,142,155,586.1,691.3,443.9,0.7,1.99,12.2
294,14:40.3,3440,2:02.3,191.2,20,106,145,155,566.4,683.2,437.7,0.72,1.97,12
295,14:43.2,3452,2:02.4,191.1,21,107,145,155,559.8,732.2,464,0.72,2.01,11.9
296,14:46.2,3464.1,2:01.4,195.9,20,106,145,155,583.2,705.9,455.9,0.72,2,12.2
297,14:49.1,3476.2,2:01.1,197,21,106,145,155,582,722.8,468.8,0.71,2,12.1
298,14:52.0,3488.2,2:00.9,198.3,21,107,142,155,584.4,702.4,451.5,0.7,2.02,12.1
299,14:55.0,3500.6,2:01.8,193.6,20,106,148,155,581.9,718.4,459.5,0.74,1.99,12.2
300,14:57.9,3512.7,2:00.7,199,21,106,145,155,586.4,711.3,462.6,0.71,1.99,12.1
