Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
39,1,1.15,0.79,3.17,12.04,43.9,28.6,311,79,570,0:00,5458 m,39,20.0 - 32.0 - 32.0 - 35.0 - 40.0 - 40.0 - 47.0 - 47.0 - 50.0 - 63.0 - 63.0 - 65.0 - 77.0 - 77.0 - 80.0 - 91.0 - 91.0 - 90.0 - 96.0 - 96.0 - 96.0 - 94.0 - 94.0 - 95.0 - 95.0 - 95.0 - 95.0 - 95.0 - 92.0 - 92.0 - 88.0 - 87.0 - 86.0 - 86.0 - 78.0 - 73.0 - 68.0 - 68.0 - 56.0 - 55.0 - 44.0 - 44.0 - 34.0 - 26.0 - 18.0 - 15.0 - 15.0 - 7.0 - 0.0
40,1,1.21,0.85,3.41,12.45,39.9,27.6,306,73,550,0:00,5331 m,58,11.0 - 31.0 - 31.0 - 40.0 - 48.0 - 48.0 - 50.0 - 50.0 - 56.0 - 63.0 - 63.0 - 65.0 - 65.0 - 70.0 - 72.0 - 72.0 - 79.0 - 81.0 - 81.0 - 83.0 - 82.0 - 82.0 - 87.0 - 84.0 - 84.0 - 86.0 - 83.0 - 83.0 - 84.0 - 88.0 - 87.0 - 87.0 - 81.0 - 84.0 - 84.0 - 86.0 - 79.0 - 74.0 - 74.0 - 67.0 - 61.0 - 55.0 - 55.0 - 50.0 - 43.0 - 36.0 - 36.0 - 28.0 - 21.0 - 15.0 - 10.0 - 10.0
41,1,1.12,0.82,3.22,12.8,40.9,26.9,301,68,534,0:00,5226 m,36,23.0 - 40.0 - 40.0 - 50.0 - 52.0 - 52.0 - 51.0 - 51.0 - 61.0 - 69.0 - 69.0 - 77.0 - 77.0 - 76.0 - 83.0 - 83.0 - 83.0 - 90.0 - 90.0 - 87.0 - 88.0 - 88.0 - 84.0 - 85.0 - 85.0 - 80.0 - 82.0 - 82.0 - 78.0 - 75.0 - 75.0 - 72.0 - 75.0 - 66.0 - 66.0 - 66.0 - 60.0 - 60.0 - 54.0 - 52.0 - 46.0 - 46.0 - 40.0 - 30.0 - 21.0 - 21.0 - 18.0 - 14.0 - 10.0 - 10.0
42,1,1.18,0.88,3.19,12.16,39.6,27.2,276,65,522,0:00,5142 m,42,14.0 - 33.0 - 33.0 - 44.0 - 44.0 - 51.0 - 51.0 - 51.0 - 56.0 - 56.0 - 62.0 - 62.0 - 64.0 - 71.0 - 71.0 - 75.0 - 78.0 - 78.0 - 80.0 - 80.0 - 80.0 - 87.0 - 87.0 - 83.0 - 82.0 - 82.0 - 82.0 - 82.0 - 82.0 - 81.0 - 83.0 - 83.0 - 85.0 - 78.0 - 74.0 - 74.0 - 77.0 - 73.0 - 73.0 - 70.0 - 63.0 - 58.0 - 58.0 - 56.0 - 52.0 - 45.0 - 45.0 - 38.0 - 30.0 - 23.0 - 23.0 - 13.0 - 10.0
43,1,1.12,0.82,3,12.04,40.3,27.6,279,67,529,0:00,5191 m,46,18.0 - 35.0 - 35.0 - 49.0 - 50.0 - 50.0 - 54.0 - 54.0 - 60.0 - 67.0 - 67.0 - 71.0 - 71.0 - 76.0 - 79.0 - 79.0 - 81.0 - 81.0 - 76.0 - 86.0 - 86.0 - 82.0 - 88.0 - 88.0 - 80.0 - 83.0 - 83.0 - 85.0 - 83.0 - 86.0 - 86.0 - 83.0 - 78.0 - 78.0 - 79.0 - 77.0 - 69.0 - 69.0 - 66.0 - 58.0 - 52.0 - 52.0 - 42.0 - 36.0 - 36.0 - 27.0 - 20.0 - 15.0 - 15.0 - 8.0
44,1,1.24,0.86,3.07,11.77,44.5,30.2,280,69,539,0:00,5257 m,44,20.0 - 39.0 - 39.0 - 54.0 - 57.0 - 57.0 - 60.0 - 60.0 - 69.0 - 75.0 - 75.0 - 80.0 - 81.0 - 81.0 - 86.0 - 86.0 - 90.0 - 96.0 - 96.0 - 95.0 - 96.0 - 96.0 - 98.0 - 90.0 - 95.0 - 95.0 - 91.0 - 91.0 - 91.0 - 87.0 - 89.0 - 86.0 - 86.0 - 86.0 - 83.0 - 78.0 - 78.0 - 74.0 - 73.0 - 67.0 - 67.0 - 63.0 - 51.0 - 48.0 - 40.0 - 40.0 - 35.0 - 22.0 - 18.0 - 18.0 - 12.0 - 8.0
45,1,1.21,0.84,3.28,12.25,43.1,29.1,308,75,559,0:00,5387 m,53,14.0 - 32.0 - 32.0 - 43.0 - 50.0 - 50.0 - 54.0 - 54.0 - 61.0 - 66.0 - 66.0 - 69.0 - 71.0 - 71.0 - 79.0 - 79.0 - 79.0 - 88.0 - 88.0 - 91.0 - 87.0 - 87.0 - 89.0 - 94.0 - 93.0 - 93.0 - 95.0 - 90.0 - 90.0 - 91.0 - 92.0 - 88.0 - 88.0 - 83.0 - 83.0 - 82.0 - 82.0 - 76.0 - 72.0 - 67.0 - 67.0 - 61.0 - 54.0 - 45.0 - 37.0 - 37.0 - 28.0 - 22.0 - 14.0 - 14.0 - 8.0
46,1,1.24,0.87,3.34,12.88,43,29.2,318,73,552,0:00,5343 m,61,10.0 - 26.0 - 26.0 - 40.0 - 48.0 - 48.0 - 54.0 - 54.0 - 59.0 - 69.0 - 69.0 - 69.0 - 69.0 - 70.0 - 79.0 - 79.0 - 79.0 - 90.0 - 90.0 - 84.0 - 89.0 - 89.0 - 86.0 - 90.0 - 90.0 - 89.0 - 92.0 - 92.0 - 92.0 - 88.0 - 92.0 - 92.0 - 94.0 - 89.0 - 88.0 - 88.0 - 80.0 - 84.0 - 80.0 - 80.0 - 82.0 - 67.0 - 63.0 - 63.0 - 54.0 - 43.0 - 38.0 - 29.0 - 29.0 - 21.0 - 9.0 - 7.0 - 7.0 - 0.0
47,1,1.18,0.87,2.98,12.95,37.9,25.6,315,72,546,0:00,5306 m,34,10.0 - 25.0 - 25.0 - 40.0 - 47.0 - 47.0 - 50.0 - 50.0 - 54.0 - 62.0 - 62.0 - 64.0 - 64.0 - 68.0 - 73.0 - 73.0 - 74.0 - 83.0 - 83.0 - 83.0 - 83.0 - 82.0 - 77.0 - 77.0 - 81.0 - 80.0 - 79.0 - 79.0 - 76.0 - 75.0 - 75.0 - 77.0 - 76.0 - 76.0 - 73.0 - 76.0 - 72.0 - 72.0 - 65.0 - 59.0 - 56.0 - 56.0 - 50.0 - 47.0 - 47.0 - 39.0 - 32.0 - 25.0 - 25.0 - 17.0 - 8.0 - 3.0 - 3.0
48,1,1.18,0.83,3.32,11.55,46.2,29.1,273,69,536,0:00,5241 m,46,18.0 - 32.0 - 32.0 - 45.0 - 50.0 - 50.0 - 54.0 - 54.0 - 64.0 - 72.0 - 72.0 - 79.0 - 84.0 - 84.0 - 87.0 - 87.0 - 96.0 - 95.0 - 95.0 - 94.0 - 100.0 - 100.0 - 101.0 - 101.0 - 93.0 - 93.0 - 97.0 - 87.0 - 87.0 - 87.0 - 79.0 - 76.0 - 76.0 - 74.0 - 69.0 - 64.0 - 64.0 - 59.0 - 56.0 - 51.0 - 51.0 - 46.0 - 43.0 - 36.0 - 36.0 - 31.0 - 22.0 - 15.0 - 15.0 - 10.0
49,1,1.12,0.82,2.73,12.61,42,28,299,69,538,0:00,5248 m,51,16.0 - 29.0 - 29.0 - 34.0 - 44.0 - 44.0 - 47.0 - 47.0 - 55.0 - 55.0 - 60.0 - 68.0 - 68.0 - 74.0 - 76.0 - 76.0 - 83.0 - 83.0 - 83.0 - 89.0 - 89.0 - 87.0 - 90.0 - 90.0 - 89.0 - 92.0 - 92.0 - 89.0 - 92.0 - 92.0 - 89.0 - 85.0 - 86.0 - 86.0 - 85.0 - 75.0 - 75.0 - 75.0 - 68.0 - 65.0 - 53.0 - 53.0 - 47.0 - 40.0 - 30.0 - 30.0 - 22.0 - 13.0 - 9.0 - 9.0 - 0.0
50,1,1.24,0.86,3.24,11.12,44,29.1,272,72,549,0:00,5323 m,49,10.0 - 28.0 - 28.0 - 40.0 - 40.0 - 47.0 - 52.0 - 52.0 - 56.0 - 56.0 - 63.0 - 67.0 - 67.0 - 74.0 - 75.0 - 75.0 - 81.0 - 81.0 - 81.0 - 88.0 - 88.0 - 88.0 - 86.0 - 95.0 - 95.0 - 97.0 - 94.0 - 94.0 - 89.0 - 90.0 - 90.0 - 90.0 - 94.0 - 92.0 - 89.0 - 89.0 - 86.0 - 84.0 - 78.0 - 78.0 - 75.0 - 71.0 - 62.0 - 62.0 - 55.0 - 44.0 - 35.0 - 27.0 - 27.0 - 18.0 - 11.0 - 6.0 - 6.0
51,1,1.21,0.88,3.16,12.81,38,25.5,317,74,554,0:00,5351 m,58,11.0 - 24.0 - 24.0 - 34.0 - 41.0 - 41.0 - 44.0 - 44.0 - 48.0 - 53.0 - 53.0 - 57.0 - 57.0 - 58.0 - 65.0 - 65.0 - 65.0 - 74.0 - 74.0 - 71.0 - 79.0 - 79.0 - 74.0 - 81.0 - 81.0 - 81.0 - 80.0 - 80.0 - 82.0 - 82.0 - 82.0 - 83.0 - 82.0 - 82.0 - 82.0 - 78.0 - 83.0 - 83.0 - 80.0 - 72.0 - 67.0 - 67.0 - 61.0 - 56.0 - 44.0 - 44.0 - 35.0 - 30.0 - 23.0 - 23.0 - 18.0 - 11.0 - 6.0 - 6.0 - 0.0
52,1,1.24,0.92,3.13,12.32,36.8,25.3,290,68,535,0:00,5230 m,49,10.0 - 27.0 - 27.0 - 32.0 - 32.0 - 40.0 - 44.0 - 44.0 - 46.0 - 46.0 - 54.0 - 54.0 - 56.0 - 62.0 - 62.0 - 66.0 - 68.0 - 68.0 - 75.0 - 75.0 - 73.0 - 75.0 - 75.0 - 73.0 - 78.0 - 78.0 - 76.0 - 81.0 - 81.0 - 77.0 - 76.0 - 76.0 - 77.0 - 79.0 - 79.0 - 75.0 - 75.0 - 74.0 - 74.0 - 73.0 - 76.0 - 73.0 - 73.0 - 67.0 - 62.0 - 62.0 - 55.0 - 47.0 - 42.0 - 42.0 - 33.0 - 25.0 - 17.0 - 17.0 - 10.0 - 2.0 - 0.0
53,1,1.15,0.85,3.08,11.97,41.3,27.4,280,67,532,0:00,5212 m,47,17.0 - 28.0 - 28.0 - 33.0 - 33.0 - 42.0 - 46.0 - 46.0 - 53.0 - 53.0 - 60.0 - 63.0 - 63.0 - 70.0 - 70.0 - 75.0 - 77.0 - 77.0 - 81.0 - 80.0 - 80.0 - 87.0 - 89.0 - 89.0 - 91.0 - 85.0 - 85.0 - 89.0 - 89.0 - 89.0 - 86.0 - 85.0 - 85.0 - 86.0 - 79.0 - 76.0 - 76.0 - 73.0 - 71.0 - 71.0 - 68.0 - 64.0 - 51.0 - 51.0 - 49.0 - 39.0 - 33.0 - 33.0 - 20.0 - 14.0 - 8.0 - 8.0 - 0.0
54,1,1.15,0.84,3.05,11.89,37.4,25.8,281,68,536,0:00,5236 m,38,20.0 - 32.0 - 32.0 - 39.0 - 39.0 - 44.0 - 52.0 - 52.0 - 63.0 - 63.0 - 71.0 - 73.0 - 73.0 - 77.0 - 76.0 - 76.0 - 79.0 - 79.0 - 78.0 - 82.0 - 82.0 - 80.0 - 75.0 - 75.0 - 75.0 - 75.0 - 75.0 - 72.0 - 73.0 - 74.0 - 74.0 - 70.0 - 69.0 - 69.0 - 70.0 - 69.0 - 65.0 - 65.0 - 61.0 - 57.0 - 57.0 - 56.0 - 50.0 - 42.0 - 42.0 - 31.0 - 28.0 - 19.0 - 19.0 - 11.0 - 3.0 - 0.0
55,1,1.12,0.82,3.03,11.61,42.3,26.6,269,67,530,0:00,5196 m,38,22.0 - 42.0 - 42.0 - 52.0 - 52.0 - 58.0 - 62.0 - 62.0 - 73.0 - 73.0 - 76.0 - 80.0 - 80.0 - 81.0 - 87.0 - 87.0 - 81.0 - 81.0 - 93.0 - 86.0 - 86.0 - 92.0 - 84.0 - 84.0 - 81.0 - 83.0 - 80.0 - 80.0 - 78.0 - 74.0 - 74.0 - 68.0 - 62.0 - 61.0 - 61.0 - 58.0 - 53.0 - 53.0 - 45.0 - 42.0 - 36.0 - 36.0 - 35.0 - 28.0 - 21.0 - 21.0 - 17.0 - 10.0 - 6.0 - 6.0
56,1,1.15,0.84,3.48,11.61,39.6,27.9,268,66,528,0:00,5183 m,59,21.0 - 37.0 - 37.0 - 53.0 - 56.0 - 56.0 - 59.0 - 59.0 - 63.0 - 69.0 - 69.0 - 69.0 - 69.0 - 74.0 - 74.0 - 74.0 - 80.0 - 80.0 - 80.0 - 79.0 - 83.0 - 83.0 - 85.0 - 86.0 - 86.0 - 84.0 - 85.0 - 85.0 - 84.0 - 87.0 - 87.0 - 85.0 - 81.0 - 80.0 - 80.0 - 84.0 - 76.0 - 76.0 - 74.0 - 60.0 - 53.0 - 53.0 - 47.0 - 40.0 - 33.0 - 33.0 - 26.0 - 18.0 - 11.0 - 11.0 - 7.0
57,1,1.24,0.89,2.86,13.02,42.1,29.2,300,66,527,0:00,5179 m,41,12.0 - 29.0 - 29.0 - 44.0 - 44.0 - 56.0 - 56.0 - 59.0 - 67.0 - 67.0 - 69.0 - 69.0 - 76.0 - 77.0 - 77.0 - 80.0 - 80.0 - 83.0 - 87.0 - 87.0 - 89.0 - 92.0 - 92.0 - 88.0 - 90.0 - 90.0 - 89.0 - 90.0 - 90.0 - 88.0 - 89.0 - 83.0 - 83.0 - 86.0 - 81.0 - 81.0 - 78.0 - 79.0 - 78.0 - 78.0 - 73.0 - 72.0 - 67.0 - 67.0 - 61.0 - 51.0 - 43.0 - 43.0 - 34.0 - 27.0 - 19.0 - 19.0 - 13.0 - 7.0
58,1,1.15,0.82,2.73,11.48,39.1,26.9,283,73,552,0:00,5339 m,29,12.0 - 30.0 - 41.0 - 41.0 - 53.0 - 53.0 - 53.0 - 61.0 - 61.0 - 65.0 - 65.0 - 76.0 - 75.0 - 75.0 - 86.0 - 78.0 - 78.0 - 86.0 - 82.0 - 82.0 - 81.0 - 84.0 - 84.0 - 83.0 - 81.0 - 81.0 - 79.0 - 80.0 - 78.0 - 78.0 - 78.0 - 72.0 - 72.0 - 69.0 - 69.0 - 72.0 - 72.0 - 68.0 - 63.0 - 56.0 - 56.0 - 46.0 - 43.0 - 36.0 - 36.0 - 30.0 - 22.0 - 12.0 - 12.0 - 9.0 - 0.0
59,1,1.18,0.85,3.09,11.12,40.1,25.6,275,74,553,0:00,5345 m,52,12.0 - 28.0 - 38.0 - 38.0 - 45.0 - 45.0 - 47.0 - 48.0 - 48.0 - 56.0 - 56.0 - 58.0 - 61.0 - 61.0 - 66.0 - 68.0 - 68.0 - 72.0 - 75.0 - 75.0 - 78.0 - 76.0 - 76.0 - 86.0 - 87.0 - 87.0 - 88.0 - 82.0 - 82.0 - 81.0 - 79.0 - 78.0 - 78.0 - 81.0 - 74.0 - 74.0 - 74.0 - 71.0 - 65.0 - 65.0 - 60.0 - 54.0 - 48.0 - 48.0 - 40.0 - 31.0 - 23.0 - 23.0 - 16.0 - 11.0 - 3.0 - 3.0
60,1,1.15,0.85,3.11,11.97,40.6,26.9,285,69,539,0:00,5258 m,51,11.0 - 26.0 - 26.0 - 34.0 - 46.0 - 46.0 - 47.0 - 47.0 - 51.0 - 51.0 - 56.0 - 58.0 - 58.0 - 63.0 - 63.0 - 63.0 - 70.0 - 70.0 - 71.0 - 78.0 - 78.0 - 74.0 - 86.0 - 86.0 - 83.0 - 89.0 - 89.0 - 85.0 - 88.0 - 88.0 - 83.0 - 87.0 - 88.0 - 88.0 - 86.0 - 81.0 - 81.0 - 77.0 - 72.0 - 71.0 - 71.0 - 65.0 - 57.0 - 50.0 - 50.0 - 41.0 - 32.0 - 23.0 - 23.0 - 15.0 - 11.0
61,1,1.15,0.83,3.25,11.96,42.4,28.3,284,69,538,0:00,5250 m,39,20.0 - 34.0 - 34.0 - 41.0 - 41.0 - 49.0 - 52.0 - 52.0 - 59.0 - 59.0 - 66.0 - 69.0 - 69.0 - 75.0 - 75.0 - 75.0 - 79.0 - 79.0 - 85.0 - 93.0 - 93.0 - 91.0 - 92.0 - 92.0 - 92.0 - 91.0 - 91.0 - 90.0 - 89.0 - 89.0 - 89.0 - 88.0 - 85.0 - 85.0 - 80.0 - 80.0 - 77.0 - 77.0 - 70.0 - 64.0 - 56.0 - 56.0 - 48.0 - 41.0 - 33.0 - 33.0 - 26.0 - 21.0 - 11.0 - 11.0 - 8.0
62,1,1.18,0.87,3.04,12.47,37.6,26.7,296,69,537,0:00,5247 m,47,14.0 - 28.0 - 28.0 - 45.0 - 49.0 - 49.0 - 55.0 - 55.0 - 54.0 - 63.0 - 63.0 - 64.0 - 64.0 - 66.0 - 71.0 - 71.0 - 69.0 - 69.0 - 77.0 - 75.0 - 75.0 - 81.0 - 79.0 - 79.0 - 83.0 - 79.0 - 79.0 - 80.0 - 79.0 - 79.0 - 77.0 - 80.0 - 76.0 - 76.0 - 74.0 - 75.0 - 75.0 - 79.0 - 74.0 - 70.0 - 70.0 - 63.0 - 56.0 - 52.0 - 52.0 - 47.0 - 38.0 - 31.0 - 31.0 - 22.0 - 15.0 - 10.0 - 10.0
63,1,1.18,0.87,3.03,11.84,35.4,24.8,279,69,536,0:00,5237 m,43,20.0 - 33.0 - 33.0 - 41.0 - 41.0 - 41.0 - 45.0 - 45.0 - 53.0 - 53.0 - 59.0 - 58.0 - 58.0 - 62.0 - 62.0 - 63.0 - 70.0 - 70.0 - 69.0 - 76.0 - 76.0 - 73.0 - 78.0 - 78.0 - 72.0 - 76.0 - 76.0 - 75.0 - 72.0 - 72.0 - 73.0 - 74.0 - 74.0 - 74.0 - 74.0 - 74.0 - 70.0 - 73.0 - 75.0 - 75.0 - 72.0 - 61.0 - 54.0 - 54.0 - 46.0 - 35.0 - 35.0 - 30.0 - 21.0 - 17.0 - 17.0 - 9.0 - 6.0
64,1,1.21,0.89,2.72,11.76,38.6,25.9,272,66,529,0:00,5191 m,46,9.0 - 25.0 - 25.0 - 35.0 - 43.0 - 43.0 - 48.0 - 48.0 - 53.0 - 53.0 - 63.0 - 65.0 - 65.0 - 70.0 - 70.0 - 75.0 - 78.0 - 78.0 - 82.0 - 82.0 - 82.0 - 82.0 - 82.0 - 82.0 - 85.0 - 81.0 - 81.0 - 83.0 - 84.0 - 84.0 - 82.0 - 80.0 - 80.0 - 75.0 - 72.0 - 69.0 - 69.0 - 71.0 - 62.0 - 62.0 - 63.0 - 54.0 - 53.0 - 53.0 - 50.0 - 46.0 - 39.0 - 39.0 - 33.0 - 26.0 - 20.0 - 20.0 - 13.0 - 8.0
65,1,1.21,0.87,2.81,11.06,37.6,26,267,71,544,0:00,5289 m,49,13.0 - 29.0 - 29.0 - 40.0 - 40.0 - 47.0 - 51.0 - 51.0 - 54.0 - 54.0 - 58.0 - 65.0 - 65.0 - 65.0 - 73.0 - 73.0 - 68.0 - 75.0 - 75.0 - 76.0 - 81.0 - 81.0 - 78.0 - 80.0 - 80.0 - 82.0 - 80.0 - 80.0 - 80.0 - 78.0 - 78.0 - 77.0 - 79.0 - 80.0 - 80.0 - 76.0 - 73.0 - 73.0 - 71.0 - 67.0 - 63.0 - 63.0 - 60.0 - 53.0 - 47.0 - 47.0 - 37.0 - 30.0 - 26.0 - 17.0 - 17.0 - 12.0 - 7.0
66,1,1.24,0.87,3.01,11.41,39.1,26.3,281,73,551,0:00,5332 m,62,14.0 - 28.0 - 28.0 - 34.0 - 34.0 - 42.0 - 44.0 - 44.0 - 52.0 - 52.0 - 53.0 - 60.0 - 60.0 - 62.0 - 68.0 - 68.0 - 68.0 - 75.0 - 75.0 - 73.0 - 73.0 - 80.0 - 78.0 - 78.0 - 84.0 - 79.0 - 84.0 - 84.0 - 82.0 - 81.0 - 81.0 - 84.0 - 86.0 - 80.0 - 80.0 - 78.0 - 78.0 - 78.0 - 77.0 - 77.0 - 70.0 - 70.0 - 62.0 - 58.0 - 52.0 - 52.0 - 43.0 - 35.0 - 25.0 - 18.0 - 18.0 - 7.0 - 8.0
67,1,1.27,0.9,2.86,12.11,39.7,26,295,72,547,0:00,5308 m,65,10.0 - 23.0 - 23.0 - 36.0 - 40.0 - 40.0 - 43.0 - 43.0 - 47.0 - 47.0 - 51.0 - 56.0 - 56.0 - 57.0 - 64.0 - 64.0 - 64.0 - 64.0 - 72.0 - 70.0 - 70.0 - 77.0 - 74.0 - 74.0 - 77.0 - 79.0 - 79.0 - 80.0 - 79.0 - 79.0 - 81.0 - 83.0 - 80.0 - 80.0 - 80.0 - 87.0 - 87.0 - 83.0 - 84.0 - 76.0 - 76.0 - 73.0 - 72.0 - 69.0 - 69.0 - 62.0 - 55.0 - 44.0 - 44.0 - 35.0 - 27.0 - 21.0 - 21.0 - 11.0 - 4.0
68,1,1.21,0.87,3.01,11.61,38.3,25.7,286,73,552,0:00,5335 m,36,11.0 - 29.0 - 42.0 - 42.0 - 51.0 - 51.0 - 53.0 - 56.0 - 56.0 - 64.0 - 64.0 - 65.0 - 75.0 - 75.0 - 72.0 - 80.0 - 80.0 - 79.0 - 84.0 - 84.0 - 79.0 - 83.0 - 83.0 - 84.0 - 80.0 - 80.0 - 79.0 - 75.0 - 75.0 - 75.0 - 76.0 - 76.0 - 76.0 - 68.0 - 68.0 - 68.0 - 66.0 - 64.0 - 62.0 - 62.0 - 58.0 - 51.0 - 50.0 - 50.0 - 42.0 - 38.0 - 27.0 - 27.0 - 24.0 - 17.0 - 11.0 - 11.0 - 6.0
69,1,1.21,0.89,2.97,11.88,37.2,25,285,70,541,0:00,5273 m,43,13.0 - 27.0 - 27.0 - 35.0 - 41.0 - 41.0 - 47.0 - 47.0 - 50.0 - 58.0 - 58.0 - 61.0 - 61.0 - 70.0 - 72.0 - 72.0 - 75.0 - 76.0 - 76.0 - 80.0 - 79.0 - 79.0 - 82.0 - 79.0 - 79.0 - 82.0 - 78.0 - 78.0 - 79.0 - 77.0 - 77.0 - 73.0 - 73.0 - 73.0 - 73.0 - 67.0 - 65.0 - 65.0 - 64.0 - 62.0 - 56.0 - 56.0 - 56.0 - 47.0 - 45.0 - 45.0 - 31.0 - 28.0 - 28.0 - 21.0 - 17.0 - 12.0 - 12.0 - 8.0
70,1,1.27,0.89,3,11.76,42.2,28,281,70,540,0:00,5262 m,31,19.0 - 35.0 - 35.0 - 47.0 - 47.0 - 54.0 - 57.0 - 57.0 - 65.0 - 65.0 - 69.0 - 73.0 - 73.0 - 83.0 - 83.0 - 83.0 - 93.0 - 93.0 - 87.0 - 91.0 - 91.0 - 92.0 - 90.0 - 88.0 - 88.0 - 87.0 - 89.0 - 89.0 - 81.0 - 80.0 - 80.0 - 81.0 - 79.0 - 79.0 - 79.0 - 73.0 - 69.0 - 66.0 - 66.0 - 66.0 - 60.0 - 52.0 - 52.0 - 56.0 - 47.0 - 49.0 - 49.0 - 34.0 - 30.0 - 22.0 - 17.0 - 17.0 - 11.0 - 6.0 - 0.0
71,1,1.15,0.83,2.93,11.89,41,26.8,292,73,550,0:00,5326 m,35,12.0 - 29.0 - 29.0 - 40.0 - 40.0 - 49.0 - 51.0 - 51.0 - 57.0 - 57.0 - 60.0 - 69.0 - 69.0 - 69.0 - 81.0 - 81.0 - 77.0 - 90.0 - 90.0 - 86.0 - 86.0 - 86.0 - 86.0 - 85.0 - 85.0 - 81.0 - 80.0 - 80.0 - 83.0 - 80.0 - 79.0 - 79.0 - 76.0 - 74.0 - 74.0 - 74.0 - 70.0 - 64.0 - 64.0 - 58.0 - 52.0 - 43.0 - 43.0 - 42.0 - 35.0 - 28.0 - 28.0 - 21.0 - 15.0 - 11.0 - 11.0
72,1,1.15,0.84,2.87,11.54,37.2,26.3,278,71,543,0:00,5284 m,47,16.0 - 29.0 - 40.0 - 40.0 - 47.0 - 47.0 - 50.0 - 50.0 - 54.0 - 59.0 - 59.0 - 65.0 - 69.0 - 69.0 - 74.0 - 74.0 - 75.0 - 77.0 - 77.0 - 80.0 - 81.0 - 81.0 - 80.0 - 82.0 - 82.0 - 77.0 - 80.0 - 80.0 - 79.0 - 77.0 - 82.0 - 82.0 - 77.0 - 71.0 - 71.0 - 69.0 - 68.0 - 65.0 - 65.0 - 62.0 - 58.0 - 51.0 - 51.0 - 45.0 - 38.0 - 31.0 - 31.0 - 24.0 - 14.0 - 12.0 - 12.0
73,1,1.21,0.85,3.05,11.4,43.9,28,275,71,544,0:00,5286 m,62,11.0 - 33.0 - 33.0 - 37.0 - 37.0 - 47.0 - 47.0 - 47.0 - 51.0 - 51.0 - 57.0 - 59.0 - 59.0 - 68.0 - 67.0 - 67.0 - 75.0 - 75.0 - 76.0 - 85.0 - 85.0 - 82.0 - 89.0 - 89.0 - 91.0 - 92.0 - 95.0 - 95.0 - 92.0 - 95.0 - 95.0 - 95.0 - 96.0 - 84.0 - 84.0 - 84.0 - 80.0 - 74.0 - 74.0 - 69.0 - 63.0 - 58.0 - 58.0 - 53.0 - 45.0 - 39.0 - 39.0 - 30.0 - 23.0 - 15.0 - 15.0 - 7.0 - 0.0
74,1,1.15,0.8,3.13,11.97,44.7,29.4,294,73,551,0:00,5330 m,52,19.0 - 37.0 - 37.0 - 43.0 - 48.0 - 48.0 - 54.0 - 54.0 - 63.0 - 73.0 - 73.0 - 73.0 - 73.0 - 81.0 - 79.0 - 79.0 - 88.0 - 85.0 - 85.0 - 93.0 - 92.0 - 92.0 - 93.0 - 93.0 - 93.0 - 98.0 - 93.0 - 97.0 - 97.0 - 91.0 - 90.0 - 87.0 - 87.0 - 85.0 - 79.0 - 73.0 - 73.0 - 68.0 - 59.0 - 52.0 - 52.0 - 43.0 - 35.0 - 28.0 - 28.0 - 21.0 - 14.0 - 11.0 - 11.0 - 0.0
75,1,1.18,0.82,3.09,12.24,44.2,28.6,300,72,549,0:00,5321 m,42,19.0 - 37.0 - 37.0 - 45.0 - 53.0 - 53.0 - 57.0 - 57.0 - 64.0 - 70.0 - 70.0 - 72.0 - 72.0 - 79.0 - 81.0 - 81.0 - 90.0 - 88.0 - 88.0 - 96.0 - 97.0 - 97.0 - 96.0 - 97.0 - 97.0 - 97.0 - 97.0 - 94.0 - 94.0 - 91.0 - 86.0 - 86.0 - 86.0 - 82.0 - 74.0 - 74.0 - 67.0 - 60.0 - 53.0 - 45.0 - 45.0 - 37.0 - 31.0 - 27.0 - 27.0 - 23.0 - 19.0 - 13.0 - 13.0 - 7.0
76,2,1.24,0.87,2.87,12.25,41.5,27.9,298,72,547,0:00,5307 m,31,10.0 - 30.0 - 30.0 - 46.0 - 57.0 - 57.0 - 55.0 - 55.0 - 62.0 - 66.0 - 66.0 - 73.0 - 73.0 - 80.0 - 84.0 - 84.0 - 91.0 - 89.0 - 89.0 - 85.0 - 91.0 - 91.0 - 87.0 - 86.0 - 86.0 - 81.0 - 81.0 - 81.0 - 81.0 - 78.0 - 77.0 - 77.0 - 76.0 - 77.0 - 76.0 - 76.0 - 69.0 - 67.0 - 63.0 - 63.0 - 61.0 - 59.0 - 54.0 - 54.0 - 49.0 - 42.0 - 37.0 - 37.0 - 29.0 - 21.0 - 13.0 - 13.0 - 9.0 - 0.0
77,2,1.18,0.82,2.98,11.55,42.4,28.8,288,74,556,0:00,5360 m,45,14.0 - 30.0 - 44.0 - 44.0 - 55.0 - 55.0 - 59.0 - 63.0 - 63.0 - 70.0 - 70.0 - 71.0 - 79.0 - 79.0 - 79.0 - 85.0 - 85.0 - 82.0 - 91.0 - 91.0 - 87.0 - 93.0 - 93.0 - 89.0 - 87.0 - 91.0 - 91.0 - 86.0 - 85.0 - 85.0 - 85.0 - 88.0 - 80.0 - 80.0 - 78.0 - 73.0 - 67.0 - 67.0 - 63.0 - 59.0 - 53.0 - 53.0 - 47.0 - 39.0 - 32.0 - 24.0 - 24.0 - 16.0 - 11.0
