Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
11,1,1.18,0.82,2.8,12.18,43.8,29.3,308,76,562,0:00,5410 m,54,15.0 - 33.0 - 33.0 - 44.0 - 55.0 - 55.0 - 57.0 - 57.0 - 63.0 - 66.0 - 66.0 - 67.0 - 75.0 - 75.0 - 74.0 - 83.0 - 83.0 - 80.0 - 88.0 - 88.0 - 90.0 - 95.0 - 95.0 - 88.0 - 92.0 - 92.0 - 96.0 - 93.0 - 93.0 - 90.0 - 88.0 - 86.0 - 86.0 - 81.0 - 87.0 - 79.0 - 79.0 - 80.0 - 66.0 - 60.0 - 55.0 - 55.0 - 48.0 - 40.0 - 32.0 - 32.0 - 23.0 - 15.0 - 10.0 - 10.0
12,1,1.18,0.81,2.79,11.48,40.9,26.9,293,77,566,0:00,5434 m,49,23.0 - 38.0 - 46.0 - 46.0 - 46.0 - 46.0 - 52.0 - 54.0 - 54.0 - 63.0 - 63.0 - 61.0 - 72.0 - 72.0 - 72.0 - 78.0 - 78.0 - 79.0 - 81.0 - 81.0 - 84.0 - 87.0 - 87.0 - 90.0 - 83.0 - 87.0 - 87.0 - 88.0 - 84.0 - 84.0 - 82.0 - 77.0 - 79.0 - 79.0 - 76.0 - 76.0 - 65.0 - 65.0 - 61.0 - 54.0 - 47.0 - 40.0 - 40.0 - 31.0 - 24.0 - 17.0 - 17.0 - 10.0 - 4.0
13,1,1.21,0.83,3.05,11.41,40.7,29.2,288,76,560,0:00,5397 m,56,19.0 - 36.0 - 47.0 - 47.0 - 53.0 - 53.0 - 61.0 - 64.0 - 64.0 - 73.0 - 73.0 - 69.0 - 79.0 - 79.0 - 79.0 - 84.0 - 84.0 - 85.0 - 87.0 - 87.0 - 86.0 - 88.0 - 88.0 - 88.0 - 83.0 - 87.0 - 87.0 - 89.0 - 84.0 - 84.0 - 83.0 - 83.0 - 83.0 - 83.0 - 83.0 - 80.0 - 73.0 - 73.0 - 73.0 - 68.0 - 62.0 - 52.0 - 52.0 - 46.0 - 38.0 - 30.0 - 24.0 - 24.0 - 17.0 - 14.0
14,1,1.18,0.82,2.95,12.18,42.5,28.7,308,76,562,0:00,5409 m,54,12.0 - 28.0 - 28.0 - 42.0 - 46.0 - 46.0 - 55.0 - 55.0 - 59.0 - 68.0 - 68.0 - 64.0 - 64.0 - 74.0 - 73.0 - 73.0 - 86.0 - 84.0 - 84.0 - 88.0 - 89.0 - 89.0 - 91.0 - 89.0 - 89.0 - 92.0 - 93.0 - 90.0 - 90.0 - 87.0 - 86.0 - 85.0 - 85.0 - 85.0 - 82.0 - 73.0 - 73.0 - 76.0 - 71.0 - 67.0 - 67.0 - 54.0 - 44.0 - 38.0 - 38.0 - 32.0 - 27.0 - 15.0 - 15.0 - 10.0
15,1,1.12,0.81,2.8,11.76,39.5,26.6,293,74,556,0:00,5370 m,43,12.0 - 26.0 - 41.0 - 41.0 - 49.0 - 49.0 - 55.0 - 60.0 - 60.0 - 61.0 - 61.0 - 71.0 - 68.0 - 68.0 - 81.0 - 73.0 - 73.0 - 82.0 - 84.0 - 84.0 - 87.0 - 85.0 - 85.0 - 86.0 - 86.0 - 86.0 - 81.0 - 83.0 - 83.0 - 85.0 - 78.0 - 75.0 - 75.0 - 73.0 - 68.0 - 66.0 - 66.0 - 62.0 - 55.0 - 49.0 - 49.0 - 36.0 - 35.0 - 27.0 - 27.0 - 23.0 - 11.0 - 8.0 - 8.0
16,1,1.21,0.83,2.98,11.27,44.9,31.1,278,73,552,0:00,5339 m,49,16.0 - 29.0 - 29.0 - 45.0 - 48.0 - 48.0 - 57.0 - 57.0 - 63.0 - 73.0 - 73.0 - 75.0 - 83.0 - 83.0 - 83.0 - 83.0 - 90.0 - 86.0 - 86.0 - 94.0 - 93.0 - 95.0 - 95.0 - 97.0 - 98.0 - 98.0 - 96.0 - 92.0 - 95.0 - 95.0 - 89.0 - 95.0 - 95.0 - 89.0 - 87.0 - 85.0 - 83.0 - 83.0 - 78.0 - 75.0 - 69.0 - 69.0 - 62.0 - 55.0 - 45.0 - 35.0 - 35.0 - 27.0 - 17.0 - 9.0 - 0.0
17,1,1.21,0.83,3.29,12.17,42,27.8,316,79,572,0:00,5474 m,48,13.0 - 29.0 - 45.0 - 45.0 - 50.0 - 50.0 - 50.0 - 56.0 - 56.0 - 59.0 - 59.0 - 64.0 - 66.0 - 66.0 - 74.0 - 77.0 - 77.0 - 82.0 - 83.0 - 83.0 - 88.0 - 87.0 - 87.0 - 91.0 - 92.0 - 89.0 - 89.0 - 92.0 - 91.0 - 91.0 - 86.0 - 82.0 - 83.0 - 83.0 - 83.0 - 83.0 - 80.0 - 80.0 - 68.0 - 64.0 - 54.0 - 46.0 - 46.0 - 40.0 - 31.0 - 22.0 - 22.0 - 18.0 - 11.0 - 9.0 - 9.0 - 0.0
18,1,1.18,0.83,3.02,12.73,42.6,29.5,312,72,549,0:00,5321 m,48,22.0 - 36.0 - 36.0 - 43.0 - 43.0 - 49.0 - 54.0 - 54.0 - 63.0 - 63.0 - 70.0 - 73.0 - 73.0 - 77.0 - 80.0 - 80.0 - 90.0 - 89.0 - 89.0 - 92.0 - 92.0 - 92.0 - 90.0 - 94.0 - 94.0 - 93.0 - 92.0 - 92.0 - 92.0 - 89.0 - 87.0 - 87.0 - 89.0 - 89.0 - 89.0 - 82.0 - 79.0 - 73.0 - 67.0 - 67.0 - 61.0 - 53.0 - 45.0 - 45.0 - 36.0 - 21.0 - 22.0 - 22.0 - 13.0 - 15.0
19,1,1.21,0.84,3.21,12.04,41.6,28.5,298,74,553,0:00,5350 m,38,13.0 - 30.0 - 30.0 - 43.0 - 52.0 - 52.0 - 59.0 - 59.0 - 63.0 - 71.0 - 71.0 - 71.0 - 79.0 - 79.0 - 81.0 - 81.0 - 87.0 - 85.0 - 85.0 - 91.0 - 91.0 - 91.0 - 87.0 - 89.0 - 88.0 - 88.0 - 85.0 - 84.0 - 84.0 - 85.0 - 84.0 - 86.0 - 86.0 - 82.0 - 78.0 - 73.0 - 73.0 - 72.0 - 68.0 - 63.0 - 63.0 - 56.0 - 49.0 - 41.0 - 41.0 - 36.0 - 26.0 - 19.0 - 19.0 - 14.0 - 8.0 - 0.0
20,1,1.21,0.85,2.98,12.53,40.5,28.6,307,72,549,0:00,5323 m,45,21.0 - 40.0 - 40.0 - 48.0 - 50.0 - 50.0 - 59.0 - 59.0 - 67.0 - 77.0 - 77.0 - 74.0 - 74.0 - 81.0 - 78.0 - 78.0 - 87.0 - 84.0 - 84.0 - 88.0 - 88.0 - 88.0 - 89.0 - 86.0 - 86.0 - 86.0 - 88.0 - 82.0 - 82.0 - 79.0 - 82.0 - 82.0 - 83.0 - 85.0 - 79.0 - 79.0 - 67.0 - 72.0 - 68.0 - 68.0 - 66.0 - 54.0 - 48.0 - 48.0 - 40.0 - 33.0 - 24.0 - 24.0 - 18.0 - 12.0 - 7.0
21,1,1.21,0.84,2.84,11.89,42,28.8,294,73,552,0:00,5342 m,47,10.0 - 27.0 - 27.0 - 39.0 - 39.0 - 50.0 - 53.0 - 53.0 - 59.0 - 59.0 - 62.0 - 68.0 - 68.0 - 75.0 - 77.0 - 77.0 - 81.0 - 84.0 - 84.0 - 90.0 - 90.0 - 90.0 - 91.0 - 92.0 - 92.0 - 89.0 - 92.0 - 92.0 - 90.0 - 86.0 - 91.0 - 91.0 - 92.0 - 87.0 - 84.0 - 84.0 - 80.0 - 76.0 - 73.0 - 73.0 - 68.0 - 59.0 - 55.0 - 55.0 - 48.0 - 41.0 - 28.0 - 28.0 - 20.0 - 13.0 - 7.0
22,1,1.15,0.78,2.94,11.47,41.5,29.3,292,77,564,0:00,5423 m,44,22.0 - 40.0 - 40.0 - 47.0 - 58.0 - 58.0 - 63.0 - 70.0 - 70.0 - 79.0 - 79.0 - 79.0 - 87.0 - 87.0 - 83.0 - 88.0 - 88.0 - 89.0 - 88.0 - 88.0 - 91.0 - 90.0 - 85.0 - 85.0 - 89.0 - 86.0 - 86.0 - 85.0 - 83.0 - 86.0 - 86.0 - 81.0 - 80.0 - 76.0 - 76.0 - 70.0 - 65.0 - 58.0 - 49.0 - 49.0 - 45.0 - 38.0 - 31.0 - 31.0 - 21.0 - 13.0 - 7.0 - 7.0
23,1,1.21,0.83,3.28,11.88,43.3,29.8,301,76,562,0:00,5411 m,44,26.0 - 38.0 - 50.0 - 50.0 - 55.0 - 55.0 - 63.0 - 64.0 - 64.0 - 73.0 - 74.0 - 74.0 - 81.0 - 81.0 - 78.0 - 90.0 - 90.0 - 90.0 - 92.0 - 92.0 - 92.0 - 95.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 89.0 - 89.0 - 83.0 - 76.0 - 81.0 - 81.0 - 76.0 - 78.0 - 65.0 - 60.0 - 60.0 - 56.0 - 50.0 - 42.0 - 42.0 - 36.0 - 27.0 - 23.0 - 17.0 - 17.0 - 10.0
24,1,1.18,0.82,3.16,12.8,45.1,29.8,320,75,557,0:00,5376 m,48,25.0 - 38.0 - 38.0 - 49.0 - 53.0 - 53.0 - 59.0 - 59.0 - 68.0 - 70.0 - 70.0 - 74.0 - 74.0 - 75.0 - 80.0 - 80.0 - 84.0 - 86.0 - 86.0 - 86.0 - 95.0 - 95.0 - 92.0 - 99.0 - 99.0 - 91.0 - 89.0 - 92.0 - 92.0 - 93.0 - 88.0 - 88.0 - 88.0 - 83.0 - 82.0 - 77.0 - 77.0 - 74.0 - 65.0 - 60.0 - 60.0 - 53.0 - 45.0 - 39.0 - 39.0 - 29.0 - 21.0 - 15.0 - 15.0 - 10.0
25,1,1.18,0.82,3.17,12.38,44.1,28.9,306,73,553,0:00,5346 m,36,24.0 - 43.0 - 43.0 - 49.0 - 56.0 - 56.0 - 61.0 - 61.0 - 70.0 - 74.0 - 74.0 - 81.0 - 78.0 - 78.0 - 92.0 - 92.0 - 92.0 - 97.0 - 97.0 - 92.0 - 94.0 - 94.0 - 94.0 - 92.0 - 89.0 - 89.0 - 84.0 - 85.0 - 83.0 - 83.0 - 79.0 - 75.0 - 75.0 - 70.0 - 65.0 - 61.0 - 61.0 - 60.0 - 55.0 - 53.0 - 53.0 - 48.0 - 41.0 - 35.0 - 28.0 - 28.0 - 20.0 - 15.0 - 11.0 - 11.0
26,1,1.24,0.87,3.21,12.45,44.3,28.5,303,72,546,0:00,5304 m,40,9.0 - 24.0 - 24.0 - 39.0 - 50.0 - 50.0 - 53.0 - 53.0 - 64.0 - 71.0 - 71.0 - 79.0 - 79.0 - 81.0 - 83.0 - 83.0 - 87.0 - 92.0 - 92.0 - 91.0 - 97.0 - 97.0 - 93.0 - 92.0 - 92.0 - 90.0 - 89.0 - 83.0 - 83.0 - 80.0 - 83.0 - 83.0 - 81.0 - 83.0 - 78.0 - 78.0 - 74.0 - 70.0 - 64.0 - 64.0 - 64.0 - 62.0 - 60.0 - 60.0 - 47.0 - 40.0 - 33.0 - 33.0 - 26.0 - 19.0 - 12.0 - 7.0 - 7.0
27,1,1.21,0.86,2.96,12.53,44.3,28,304,71,546,0:00,5300 m,44,10.0 - 23.0 - 23.0 - 35.0 - 35.0 - 43.0 - 45.0 - 45.0 - 54.0 - 54.0 - 62.0 - 65.0 - 65.0 - 71.0 - 71.0 - 71.0 - 83.0 - 83.0 - 84.0 - 92.0 - 92.0 - 92.0 - 97.0 - 97.0 - 92.0 - 96.0 - 96.0 - 97.0 - 93.0 - 93.0 - 91.0 - 84.0 - 80.0 - 80.0 - 81.0 - 84.0 - 78.0 - 78.0 - 75.0 - 69.0 - 63.0 - 63.0 - 57.0 - 50.0 - 42.0 - 42.0 - 34.0 - 26.0 - 18.0 - 18.0 - 14.0 - 10.0
