Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,126.4,0,00:33.7,02:13.6,3.74,00:00.0,0,24,14,9.06,0,---,160,-61,7,39,12,223,404,358,69,39.993,-75.1962
1,136.2,0,00:36.2,02:12.2,3.78,00:00.0,0,24,15,9.79,0,---,148,-60,7,39,11,198,369,386,69,39.9929,-75.1963
1,145.2,0,00:38.6,02:12.9,3.76,00:00.0,0,24,16,9.07,0,---,152,-60,8,39,10,207,376,381,67,39.9929,-75.1964
1,154.9,0,00:41.2,02:14.4,3.72,00:00.0,0,24,17,9.63,0,---,144,-59,8,39,9,191,355,382,68,39.9928,-75.1965
1,164,0,00:43.6,02:13.6,3.74,00:00.0,0,24,18,9.1,0,---,163,-61,7,39,13,216,401,383,69,39.9927,-75.1965
1,172.9,0,00:46.0,02:13.3,3.75,00:00.0,0,24,19,8.99,0,---,161,-61,7,39,10,219,396,383,68,39.9927,-75.1966
1,182.1,0,00:48.6,02:13.3,3.75,00:00.0,0,24,20,9.14,0,---,154,-60,8,39,11,206,385,409,65,39.9926,-75.1966
1,191.7,0,00:51.0,02:12.9,3.76,00:00.0,0,24,21,9.6,0,---,163,-59,7,40,14,215,406,397,67,39.9925,-75.1967
1,200.8,0,00:53.4,02:14.0,3.73,00:00.0,0,24,22,9.11,0,---,156,-60,9,38,13,209,380,382,67,39.9925,-75.1968
1,210.4,0,00:56.0,02:14.4,3.72,00:00.0,0,24,23,9.63,0,---,174,-60,5,39,9,234,429,402,68,39.9924,-75.1968
1,219.5,0,00:58.4,02:12.9,3.76,00:00.0,0,24,24,9.04,0,---,165,-59,7,39,9,218,401,405,63,39.9923,-75.1969
1,---,---,---,---,---,---,---,---,24,---,---,---,165,-59,7,39,9,218,401,405,63,---,---
2,2.6,0,00:00.8,02:12.9,3.76,00:00.0,0,24,1,2.61,0,---,177,-60,8,39,12,242,436,411,68,39.9923,-75.197
2,11.7,0,00:03.2,02:12.9,3.76,00:00.0,0,24,2,9.06,0,---,208,-60,6,39,7,277,499,475,64,39.9922,-75.197
2,21.5,0,00:05.8,02:12.6,3.77,00:00.0,0,25,3,9.79,0,---,217,-61,7,40,7,297,536,466,40,39.9921,-75.1971
2,30.8,0,00:08.2,02:11.9,3.79,00:00.0,0,24,4,9.38,0,---,209,-62,5,39,8,282,515,443,51,39.9921,-75.1972
2,40.2,0,00:10.6,02:10.8,3.82,00:00.0,0,24,5,9.36,0,---,181,-62,5,40,11,242,445,408,72,39.992,-75.1972
2,49.6,0,00:13.0,02:09.8,3.85,00:00.0,0,24,6,9.44,0,---,189,-62,7,39,10,248,471,442,67,39.9919,-75.1973
2,58.8,0,00:15.6,02:09.1,3.87,00:00.0,0,24,7,9.18,0,---,211,-62,6,40,8,277,507,445,67,39.9918,-75.1973
2,69,0,00:18.0,02:08.2,3.9,00:00.0,0,25,8,10.13,0,---,187,-61,7,40,10,248,461,443,68,39.9918,-75.1974
2,78.4,0,00:20.4,02:09.1,3.87,00:00.0,0,24,9,9.41,0,---,187,-61,8,40,11,245,451,438,70,39.9917,-75.1975
2,87.8,0,00:22.8,02:09.8,3.85,00:00.0,0,24,10,9.46,0,---,177,-62,8,38,11,236,436,396,69,39.9916,-75.1975
2,97,0,00:25.2,02:08.5,3.89,00:00.0,0,25,11,9.23,0,---,181,-61,7,39,12,228,446,411,69,39.9916,-75.1976
2,105.8,0,00:27.6,02:09.1,3.87,00:00.0,0,24,12,8.71,0,---,191,-62,6,40,11,253,460,422,67,39.9915,-75.1977
2,116.2,0,00:30.2,02:08.2,3.9,00:00.0,0,24,13,10.41,0,---,170,-60,7,39,13,220,413,412,67,39.9914,-75.1977
2,125.6,0,00:32.6,02:08.8,3.88,00:00.0,0,25,14,9.42,0,---,182,-60,5,39,9,240,442,415,67,39.9914,-75.1978
2,134.8,0,00:35.0,02:10.5,3.83,00:00.0,0,24,15,9.18,0,---,194,-62,4,39,10,257,472,426,68,39.9913,-75.1979
2,144,0,00:37.4,02:10.5,3.83,00:00.0,0,25,16,9.25,0,---,179,-61,8,39,11,240,435,413,66,39.9912,-75.1979
2,153.1,0,00:39.8,02:10.8,3.82,00:00.0,0,24,17,9.05,0,---,180,-61,6,39,11,238,439,406,66,39.9912,-75.198
2,162.2,0,00:42.2,02:10.2,3.84,00:00.0,0,25,18,9.14,0,---,192,-61,5,39,7,257,466,407,70,39.9911,-75.1981
2,171.4,0,00:44.6,02:10.8,3.82,00:00.0,0,24,19,9.19,0,---,173,-60,6,39,11,230,415,421,66,39.991,-75.1981
2,181.3,0,00:47.2,02:11.9,3.79,00:00.0,0,25,20,9.95,0,---,191,-61,6,40,10,256,466,413,68,39.991,-75.1982
2,190.6,0,00:49.6,02:10.5,3.83,00:00.0,0,24,21,9.25,0,---,171,-61,8,39,9,225,417,416,68,39.9909,-75.1983
2,199.2,0,00:51.8,02:09.8,3.85,00:00.0,0,25,22,8.55,0,---,193,-62,6,39,12,256,459,412,66,39.9908,-75.1983
2,209.2,0,00:54.6,02:09.1,3.87,00:00.0,0,25,23,10.03,0,---,182,-60,6,39,9,240,437,416,67,39.9908,-75.1984
2,218.3,0,00:56.8,02:09.1,3.87,00:00.0,0,25,24,9.09,0,---,178,-61,8,39,12,230,427,428,69,39.9907,-75.1984
2,227.4,0,00:59.2,02:11.2,3.81,00:00.0,0,25,25,9.13,0,---,186,-61,7,39,10,241,447,413,67,39.9906,-75.1985
2,---,---,---,---,---,---,---,---,25,---,---,---,186,-61,7,39,10,241,447,413,67,---,---
