index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
13,13,0.0,17.0,0.0,0.0,105.0,23.49935002689736,0.0,0.0,174.9954642488653,9.564923772089678,0.0,0.0,50.458534,14.34689,1458889126.0,16.0,0.0,2.857216912142008,0.0,0.0,1.0,4.0,4,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.49935002689736,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,0.0,17.0,0.0,0.0,105.0,26.648863697994106,0.0,0.0,177.1812689649168,10.353465721056764,0.0,0.0,50.458512,14.346862,1458889127.0,17.0,0.0,2.8219687268353617,0.0,0.0,1.0,4.0,4,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.648863697994106,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,0.0,17.0,0.0,0.0,105.0,29.536530793123312,0.0,0.0,167.0324052641873,10.83971658607233,0.0,0.0,50.458492,14.346836,1458889128.0,18.0,0.0,2.993431120201936,0.0,0.0,1.0,4.0,5,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.536530793123312,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,0.0,17.0,0.0,0.0,105.0,32.2936115691014,0.0,0.0,162.80000204252258,10.530848072715829,0.0,0.0,50.458472,14.346813,1458889129.0,19.0,0.0,3.0712530327204934,0.0,0.0,1.0,4.0,5,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.2936115691014,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,0.0,17.0,0.0,0.0,106.0,35.61892024753738,0.0,0.0,167.57490661412956,10.903258296121392,0.0,0.0,50.458448,14.346785,1458889130.0,20.0,0.0,2.9837402872694847,0.0,0.0,1.0,4.0,5,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,35.61892024753738,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,0.0,17.0,0.0,0.0,106.0,38.85561519049983,0.0,0.0,161.85124064984305,11.181972629575831,0.0,0.0,50.458425,14.346757,1458889131.0,21.0,0.0,3.0892565172343947,0.0,0.0,1.0,4.0,6,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.85561519049983,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,0.0,17.0,0.0,0.0,106.0,41.56756513434153,0.0,0.0,157.81704541874578,10.810812484470691,0.0,0.0,50.458406,14.346733,1458889132.0,22.0,0.0,3.1682255783798188,0.0,0.0,1.0,4.0,6,0.0,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.56756513434153,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,0.0,17.0,0.0,0.0,107.0,44.98281337929529,0.0,0.0,163.2352688466174,10.71815201506557,0.0,0.0,50.458381,14.346705,1458889133.0,23.0,0.0,3.063063537266696,0.0,0.0,1.0,4.0,6,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.98281337929529,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,0.0,17.0,0.0,0.0,107.0,48.13473946100049,0.0,0.0,164.64646889430642,11.001472124267274,0.0,0.0,50.458358,14.346679,1458889134.0,24.0,0.0,3.036809737601912,0.0,0.0,1.0,4.0,6,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.13473946100049,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,22,0.0,17.0,0.0,0.0,107.0,50.93423793387086,0.0,0.0,158.54337632137484,10.398677297935803,0.0,0.0,50.458338,14.346655,1458889135.0,25.0,0.0,3.1537110638193844,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.93423793387086,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
