Stroke,Time,Distance,Rating,Speed,Ratio,Cover,Heart Rate
124,239.89,856.22,30.61,0,58.9,6.59,0
125,241.81,863.24,31.25,0,50,6.61,0
126,243.76,869.67,30.79,0,55.78,6.92,0
127,245.7,875.76,30.93,0,60.28,6.01,0
128,247.57,882.65,32.07,0,47.47,6.89,0
129,249.49,889.58,31.25,0,55.78,6.53,0
130,251.38,895.65,31.76,0,52.67,6.46,0
131,253.34,902.49,30.61,0,63.2,6.84,0
132,255.2,908.13,32.26,0,52.96,5.65,0
133,257.09,915.03,31.73,0,55.93,6.89,0
134,258.98,921.58,31.75,0,56.11,6.56,0
135,260.92,928.34,30.93,0,52.13,6.75,0
136,262.88,934.65,30.61,0,54.45,6.31,0
137,264.84,941.27,30.61,0,57.34,6.62,0
138,266.79,947.82,30.77,0,56.1,6.19,0
139,268.69,953.37,31.58,0,50,5.91,0
140,270.67,960.02,30.3,0,55.9,6.66,0
141,272.51,966.71,32.61,0,50,6.75,0
142,274.41,973.23,31.58,0,55.9,6.46,0
143,276.37,979.64,30.61,0,54.26,6.41,0
144,278.25,986.05,31.91,0,58.85,5.62,0
145,280.23,992.66,30.3,0,55.9,6.74,0
146,282.1,998.85,32.09,0,58.83,6.84,0
147,284.06,1005.56,30.61,0,52.98,6.71,0
