index,index,TimeStamp (sec), HRCur (bpm),DistanceMeters, Cadence (stokes/min), lapIdx, WorkoutState, Horizontal (meters), Stroke500mPace (sec/500m), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,1520272246.618,0.0,1.8,0.0,1.0,4.0,1.8,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,1.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,1520272252.528,0.0,10.0,12.0,1.0,4.0,10.0,inf,5.9100000858306885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,1520272255.62,0.0,16.9,20.0,1.0,4.0,16.9,inf,9.001999855041504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,16.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,1520272258.508,0.0,24.2,23.0,1.0,4.0,24.2,inf,11.889999866485596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,24.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,1520272260.54,0.0,29.1,25.0,1.0,4.0,29.1,inf,13.92199993133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,1520272264.518,0.0,37.6,25.0,1.0,4.0,37.6,inf,17.899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,37.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,1520272266.518,0.0,44.6,28.0,1.0,4.0,44.6,inf,19.899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,44.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,1520272269.52,0.0,51.5,24.0,1.0,4.0,51.5,inf,22.901999950408936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,1520272271.5219998,0.0,58.4,24.0,1.0,4.0,58.4,inf,24.90399980545044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,1520272274.5300002,0.0,66.1,24.0,1.0,4.0,66.1,inf,27.91200017929077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,10,1520272283.512,0.0,82.5,26.0,1.0,4.0,82.5,inf,36.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,82.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,11,1520272296.532,0.0,85.1,26.0,1.0,4.0,85.1,inf,49.914000034332275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,85.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,12,1520272300.618,0.0,95.5,12.0,1.0,4.0,95.5,inf,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,95.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,1520272302.638,0.0,101.1,12.0,1.0,4.0,101.1,inf,56.019999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,101.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,1520272308.564,0.0,112.4,14.0,1.0,4.0,112.4,inf,61.94599986076355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,112.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,1520272310.574,0.0,117.4,14.0,1.0,4.0,117.4,inf,63.95599985122681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,117.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,1520272315.5040002,0.0,128.9,26.0,1.0,4.0,128.9,inf,68.88600015640259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,128.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,1520272318.5100002,0.0,137.2,22.0,1.0,4.0,137.2,inf,71.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,137.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,1520272320.5100002,0.0,142.6,22.0,1.0,4.0,142.6,inf,73.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,142.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,1520272322.512,0.0,149.5,27.0,1.0,4.0,149.5,inf,75.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,149.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,1520272325.512,0.0,156.5,23.0,1.0,4.0,156.5,inf,78.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,156.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,1520272327.5159998,0.0,164.1,23.0,1.0,4.0,164.1,inf,80.89799976348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,164.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,22,1520272329.518,0.0,170.5,27.0,1.0,4.0,170.5,inf,82.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,170.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,23,1520272332.5100002,0.0,178.1,27.0,1.0,4.0,178.1,inf,85.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,178.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,1520272334.5100002,0.0,183.6,27.0,1.0,4.0,183.6,inf,87.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,183.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,1520272336.518,0.0,190.3,25.0,1.0,4.0,190.3,inf,89.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,190.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,1520272339.5159998,0.0,197.0,26.0,1.0,4.0,197.0,inf,92.89799976348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,197.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,1520272341.538,0.0,202.4,25.0,1.0,4.0,202.4,inf,94.92000007629395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,202.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,1520272343.532,0.0,209.2,25.0,1.0,4.0,209.2,inf,96.91400003433228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,209.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,1520272346.5040002,0.0,215.9,24.0,1.0,4.0,215.9,inf,99.88600015640259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,215.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,1520272348.5100002,0.0,221.4,27.0,1.0,4.0,221.4,inf,101.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,221.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,1520272350.532,0.0,228.1,27.0,1.0,4.0,228.1,inf,103.91400003433228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,228.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,32,1520272352.5100002,0.0,233.4,27.0,1.0,4.0,233.4,inf,105.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,233.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,1520272356.512,0.0,244.9,34.0,1.0,4.0,244.9,inf,109.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,244.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,1520272357.5359998,0.0,247.7,34.0,1.0,4.0,247.7,inf,110.91799974441528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,247.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,35,1520272359.544,0.0,253.2,0.0,1.0,4.0,253.2,inf,112.92599987983704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,253.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,1520272362.508,0.0,260.1,27.0,1.0,4.0,260.1,inf,115.8899998664856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,260.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,1520272364.518,0.0,266.9,26.0,1.0,4.0,266.9,inf,117.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,266.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,1520272368.512,0.0,277.3,27.0,1.0,4.0,277.3,inf,121.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,277.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,39,1520272369.512,0.0,279.6,38.0,1.0,4.0,279.6,inf,122.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,279.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,40,1520272371.512,0.0,286.4,0.0,1.0,4.0,286.4,inf,124.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,286.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,41,1520272374.5100002,0.0,293.0,23.0,1.0,4.0,293.0,inf,127.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,293.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,42,1520272376.5240002,0.0,299.5,23.0,1.0,4.0,299.5,inf,129.9060001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,299.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,1520272379.5679998,0.0,306.0,25.0,1.0,4.0,306.0,inf,132.94999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,306.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,1520272381.5100002,0.0,312.3,24.0,1.0,4.0,312.3,inf,134.89200019836426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,312.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,45,1520272384.506,0.0,318.5,25.0,1.0,4.0,318.5,inf,137.8880000114441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,318.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,1520272386.526,0.0,325.0,23.0,1.0,4.0,325.0,inf,139.9079999923706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,325.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,1520272389.5219998,0.0,331.6,26.0,1.0,4.0,331.6,inf,142.90399980545044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,331.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,1520272391.512,0.0,338.1,26.0,1.0,4.0,338.1,inf,144.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,338.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,1520272394.528,0.0,344.3,23.0,1.0,4.0,344.3,inf,147.9100000858307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,344.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,1520272396.518,0.0,350.5,24.0,1.0,4.0,350.5,inf,149.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,350.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,1520272399.5159998,0.0,357.0,25.0,1.0,4.0,357.0,inf,152.89799976348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,357.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,52,1520272401.5240002,0.0,363.2,24.0,1.0,4.0,363.2,inf,154.9060001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,363.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,53,1520272403.5300002,0.0,368.1,25.0,1.0,4.0,368.1,inf,156.91200017929077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,368.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,54,1520272406.5159998,0.0,374.4,25.0,1.0,4.0,374.4,inf,159.89799976348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,374.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,55,1520272408.544,0.0,380.5,24.0,1.0,4.0,380.5,inf,161.92599987983704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,380.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,56,1520272411.52,0.0,386.8,24.0,1.0,4.0,386.8,inf,164.90199995040894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,386.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,57,1520272413.5300002,0.0,393.4,24.0,1.0,4.0,393.4,inf,166.91200017929077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,393.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,58,1520272416.5240002,0.0,400.2,25.0,1.0,4.0,400.2,inf,169.9060001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,400.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,59,1520272418.518,0.0,407.0,24.0,1.0,4.0,407.0,inf,171.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,407.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
60,60,1520272421.506,0.0,413.7,24.0,1.0,4.0,413.7,inf,174.8880000114441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,413.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
61,61,1520272423.518,0.0,420.3,24.0,1.0,4.0,420.3,inf,176.89999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,420.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
62,62,1520272425.528,0.0,425.7,24.0,1.0,4.0,425.7,inf,178.9100000858307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,425.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
63,63,1520272428.508,0.0,432.1,26.0,1.0,4.0,432.1,inf,181.8899998664856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,432.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
64,64,1520272430.514,0.0,438.5,25.0,1.0,4.0,438.5,inf,183.89599990844727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,438.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
65,65,1520272433.512,0.0,445.1,24.0,1.0,4.0,445.1,inf,186.89400005340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,445.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
66,66,1520272435.5240002,0.0,451.7,24.0,1.0,4.0,451.7,inf,188.9060001373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,451.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
67,67,1520272437.528,0.0,457.3,24.0,1.0,4.0,457.3,inf,190.9100000858307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,457.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
68,68,1520272446.526,0.0,476.0,26.0,1.0,4.0,476.0,inf,199.9079999923706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,476.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
69,69,1520272456.5159998,0.0,478.5,26.0,1.0,4.0,478.5,inf,209.89799976348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,478.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
70,70,1520272458.5300002,0.0,484.5,0.0,1.0,4.0,484.5,inf,211.91200017929077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,484.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
71,71,1520272460.606,0.0,489.1,26.0,1.0,4.0,489.1,inf,213.98799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,489.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
