Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9212.5,0,43:05.0,02:20.4,3.56,00:00.0,0,23,921,10,0,107,---,---,---,---,---,---,---,---,---,41.2211734,-74.2888944
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,162.6,0,01:12.0,03:29.2,2.39,00:00.0,0,15.5,18,9.8,0,93,---,---,---,---,---,---,---,---,---,41.2198962,-74.2896494
1,186.2,0,01:22.9,03:41.2,2.26,00:00.0,0,18.5,19,23.6,0,50,---,---,---,---,---,---,---,---,---,41.2188664,-74.2919675
1,193.1,0,01:25.9,03:42.2,2.25,00:00.0,0,19.5,20,6.9,0,50,---,---,---,---,---,---,---,---,---,41.2188286,-74.2920334
1,200.7,0,01:29.1,03:36.4,2.31,00:00.0,0,19,21,7.5,0,50,---,---,---,---,---,---,---,---,---,41.2187867,-74.2921041
1,207.8,0,01:32.1,03:33.6,2.34,00:00.0,0,19,22,7.1,0,50,---,---,---,---,---,---,---,---,---,41.2187467,-74.2921702
1,215.4,0,01:35.3,03:30.9,2.37,00:00.0,0,20,23,7.7,0,50,---,---,---,---,---,---,---,---,---,41.2187041,-74.292242
1,222.8,0,01:38.3,03:28.3,2.4,00:00.0,0,19.5,24,7.3,0,51,---,---,---,---,---,---,---,---,---,41.2186621,-74.2923092
1,230.5,0,01:41.5,03:27.4,2.41,00:00.0,0,18.5,25,7.7,0,51,---,---,---,---,---,---,---,---,---,41.2186165,-74.2923784
1,238.2,0,01:44.7,03:26.6,2.42,00:00.0,0,19,26,7.7,0,51,---,---,---,---,---,---,---,---,---,41.2185695,-74.2924465
1,245.6,0,01:47.7,03:26.6,2.42,00:00.0,0,19.5,27,7.4,0,52,---,---,---,---,---,---,---,---,---,41.218524,-74.2925111
1,253.9,0,01:51.1,03:24.9,2.44,00:00.0,0,18,28,8.3,0,53,---,---,---,---,---,---,---,---,---,41.2184716,-74.2925818
1,263.3,0,01:54.9,03:20.8,2.49,00:00.0,0,16,29,9.4,0,53,---,---,---,---,---,---,---,---,---,41.2184111,-74.2926596
1,273.8,0,01:58.7,03:13.0,2.59,00:00.0,0,15.5,30,10.5,0,53,---,---,---,---,---,---,---,---,---,41.2183431,-74.2927474
1,284.7,0,02:02.7,03:06.5,2.68,00:00.0,0,15,31,10.8,0,58,---,---,---,---,---,---,---,---,---,41.2182741,-74.2928384
1,295.2,0,02:06.5,03:03.8,2.72,00:00.0,0,16,32,10.5,0,59,---,---,---,---,---,---,---,---,---,41.2182077,-74.2929275
1,305.7,0,02:10.3,03:01.8,2.75,00:00.0,0,16,33,10.5,0,58,---,---,---,---,---,---,---,---,---,41.2181416,-74.2930178
1,316.4,0,02:14.1,03:01.1,2.76,00:00.0,0,16,34,10.7,0,58,---,---,---,---,---,---,---,---,---,41.2180755,-74.2931099
1,326.9,0,02:17.9,03:00.5,2.77,00:00.0,0,16,35,10.6,0,57,---,---,---,---,---,---,---,---,---,41.2180099,-74.293201
1,337.1,0,02:21.5,03:00.5,2.77,00:00.0,0,16.5,36,10.1,0,57,---,---,---,---,---,---,---,---,---,41.2179465,-74.2932879
1,346.8,0,02:25.0,02:59.8,2.78,00:00.0,0,17,37,9.7,0,56,---,---,---,---,---,---,---,---,---,41.2178852,-74.2933703
1,378.5,0,02:38.0,04:01.5,2.07,00:00.0,0,11,38,31.7,0,76,---,---,---,---,---,---,---,---,---,41.2170706,-74.2946901
1,385.2,0,02:40.8,03:42.2,2.25,00:00.0,0,20.5,39,6.7,0,76,---,---,---,---,---,---,---,---,---,41.2170373,-74.2947572
1,392.3,0,02:43.8,03:33.6,2.34,00:00.0,0,20.5,40,7,0,75,---,---,---,---,---,---,---,---,---,41.2170032,-74.294828
1,398.5,0,02:46.6,03:36.4,2.31,00:00.0,0,21,41,6.2,0,76,---,---,---,---,---,---,---,---,---,41.216975,-74.2948922
1,405.6,0,02:49.6,03:39.2,2.28,00:00.0,0,20,42,7.1,0,76,---,---,---,---,---,---,---,---,---,41.2169432,-74.2949655
1,412.4,0,02:52.4,03:36.4,2.31,00:00.0,0,20.5,43,6.8,0,76,---,---,---,---,---,---,---,---,---,41.2169118,-74.2950348
1,419,0,02:55.2,03:34.5,2.33,00:00.0,0,22,44,6.6,0,76,---,---,---,---,---,---,---,---,---,41.2168801,-74.2951018
1,425.1,0,02:57.9,03:32.7,2.35,00:00.0,0,22.5,45,6.1,0,76,---,---,---,---,---,---,---,---,---,41.2168469,-74.2951606
1,432.1,0,03:00.8,03:24.9,2.44,00:00.0,0,22,46,6.9,0,77,---,---,---,---,---,---,---,---,---,41.2168109,-74.2952277
1,439.1,0,03:03.8,03:26.6,2.42,00:00.0,0,20,47,7,0,78,---,---,---,---,---,---,---,---,---,41.2167753,-74.2952966
1,446.2,0,03:06.8,03:36.4,2.31,00:00.0,0,19.5,48,7.1,0,79,---,---,---,---,---,---,---,---,---,41.2167385,-74.2953663
1,454.6,0,03:10.0,03:33.6,2.34,00:00.0,0,18,49,8.4,0,80,---,---,---,---,---,---,---,---,---,41.216694,-74.2954469
1,463,0,03:13.4,03:25.7,2.43,00:00.0,0,18,50,8.5,0,82,---,---,---,---,---,---,---,---,---,41.2166488,-74.2955285
1,472,0,03:16.8,03:19.2,2.51,00:00.0,0,18,51,9,0,84,---,---,---,---,---,---,---,---,---,41.2165978,-74.2956114
1,480.7,0,03:20.0,03:16.0,2.55,00:00.0,0,18,52,8.7,0,85,---,---,---,---,---,---,---,---,---,41.2165464,-74.2956893
1,489.4,0,03:23.2,03:13.0,2.59,00:00.0,0,18.5,53,8.7,0,87,---,---,---,---,---,---,---,---,---,41.2164951,-74.2957675
1,498,0,03:26.4,03:10.8,2.62,00:00.0,0,18.5,54,8.7,0,88,---,---,---,---,---,---,---,---,---,41.2164452,-74.2958471
1,506.9,0,03:29.8,03:13.0,2.59,00:00.0,0,18.5,55,8.9,0,90,---,---,---,---,---,---,---,---,---,41.2163948,-74.295929
1,515.2,0,03:33.0,03:16.0,2.55,00:00.0,0,18,56,8.3,0,91,---,---,---,---,---,---,---,---,---,41.2163513,-74.2960091
1,523.8,0,03:36.2,03:17.6,2.53,00:00.0,0,19,57,8.7,0,91,---,---,---,---,---,---,---,---,---,41.2163053,-74.2960924
1,545.1,0,03:46.0,10:17.2,0.81,00:00.0,0,27.5,58,21.3,0,62,---,---,---,---,---,---,---,---,---,41.2157816,-74.2972398
1,546.7,0,03:47.0,06:18.7,1.32,00:00.0,0,31,59,1.6,0,62,---,---,---,---,---,---,---,---,---,41.2157741,-74.2972556
1,555.1,0,03:50.6,04:07.5,2.02,00:00.0,0,17,60,8.4,0,64,---,---,---,---,---,---,---,---,---,41.2157364,-74.2973422
1,565,0,03:54.0,03:17.6,2.53,00:00.0,0,17.5,61,9.9,0,69,---,---,---,---,---,---,---,---,---,41.21569,-74.2974427
1,575.7,0,03:57.4,02:47.7,2.98,00:00.0,0,18,62,10.8,0,72,---,---,---,---,---,---,---,---,---,41.2156395,-74.2975524
1,586.6,0,04:00.6,02:33.3,3.26,00:00.0,0,18.5,63,10.9,0,76,---,---,---,---,---,---,---,---,---,41.215587,-74.2976615
1,598,0,04:03.8,02:24.5,3.46,00:00.0,0,19,64,11.4,0,79,---,---,---,---,---,---,---,---,---,41.2155289,-74.2977741
1,609.7,0,04:07.0,02:18.8,3.6,00:00.0,0,19,65,11.7,0,82,---,---,---,---,---,---,---,---,---,41.2154677,-74.297888
1,621,0,04:10.0,02:15.8,3.68,00:00.0,0,19,66,11.2,0,84,---,---,---,---,---,---,---,---,---,41.2154076,-74.2979958
1,632.8,0,04:13.2,02:15.8,3.68,00:00.0,0,19.5,67,11.8,0,86,---,---,---,---,---,---,---,---,---,41.2153433,-74.298108
1,644.2,0,04:16.2,02:14.7,3.71,00:00.0,0,19,68,11.5,0,89,---,---,---,---,---,---,---,---,---,41.2152778,-74.2982137
1,656.1,0,04:19.4,02:14.7,3.71,00:00.0,0,20,69,11.8,0,91,---,---,---,---,---,---,---,---,---,41.2152093,-74.2983215
1,667.5,0,04:22.4,02:15.5,3.69,00:00.0,0,19.5,70,11.5,0,92,---,---,---,---,---,---,---,---,---,41.2151403,-74.2984233
1,678.7,0,04:25.4,02:14.4,3.72,00:00.0,0,19.5,71,11.1,0,93,---,---,---,---,---,---,---,---,---,41.2150723,-74.298521
