index, lapIdx, Horizontal (meters),Distance (IMP),TimeStamp (sec), Stroke500mPace (sec/500m),GPS Speed,Split (IMP),Speed (IMP), Cadence (stokes/min),Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP), HRCur (bpm), Power (watts),catch,slip,finish,wash, AverageDriveForce (lbs),driveenergy, PeakDriveForce (lbs),peakforceangle, latitude, longitude,GPSSpeed,GPSDistance,ImpellerSpeed,ImpellerDistance,cum_dist, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,originalvelo,deltat,orig_dist,orig_time,orig_reltime,orig_idx,orig_state,values, LapIdx
10,0,44.7,0.0,1583289319.0,196.5065507825825,2.57,0.0,0.0,29.0,11,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8007287,-122.26100320000002,2.57,44.7,0.0,0.0,44.7,17.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,1.0,3,10,2.3000000000000007,2.0,44.7,17.0,17.0,0.0,4.0,13,0.0
11,0,51.6,0.0,1583289321.4,185.81745054083527,2.66,0.0,0.0,24.5,12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8006667,-122.26099340000002,2.66,51.6,0.0,0.0,51.6,19.40000009536743,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,1.0,3,11,2.8749998857577683,2.4000000953674316,51.6,19.40000009536743,19.400000095367428,0.0,4.0,13,0.0
12,0,58.5,0.0,1583289323.8,172.0507756238221,2.76,0.0,0.0,25.5,13,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800605600000004,-122.260979,2.76,58.5,0.0,0.0,58.5,21.799999952316284,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,1.0,3,12,2.8750001713633635,2.3999998569488525,58.5,21.799999952316284,21.799999952316284,0.0,4.0,13,0.0
13,0,65.8,0.0,1583289326.2,167.2881098093709,2.89,0.0,0.0,25.5,14,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800542,-122.26095959999999,2.89,65.8,0.0,0.0,65.8,24.200000047683716,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,1.0,3,13,3.041666545801696,2.4000000953674316,65.8,24.200000047683716,24.20000004768372,0.0,4.0,13,0.0
14,0,72.6,0.0,1583289328.4,163.30636857264344,3.01,0.0,0.0,26.0,15,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800483299999996,-122.2609388,3.01,72.6,0.0,0.0,72.6,26.40000009536743,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,1.0,3,14,3.0909090239154406,2.200000047683716,72.6,26.40000009536743,26.40000009536743,0.0,4.0,13,0.0
15,0,80.1,0.0,1583289331.0,158.71044564382143,3.08,0.0,0.0,26.0,16,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800419899999994,-122.2609108,3.08,80.1,0.0,0.0,80.1,29.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,1.0,3,15,2.8846154904224504,2.5999999046325684,80.1,29.0,29.0,0.0,4.0,13,0.0
16,0,87.1,0.0,1583289333.0,156.72323477186941,3.12,0.0,0.0,27.0,17,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800362299999996,-122.26087859999998,3.12,87.1,0.0,0.0,87.1,31.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,1.0,3,16,3.5,2.0,87.1,31.0,31.0,0.0,4.0,13,0.0
17,0,94.0,0.0,1583289335.2,155.0976126749014,3.13,0.0,0.0,27.0,18,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800307000000004,-122.26084180000001,3.13,94.0,0.0,0.0,94.0,33.200000047683716,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,1.0,3,17,3.1363635683847897,2.200000047683716,94.0,33.200000047683716,33.20000004768372,0.0,4.0,13,0.0
18,0,101.0,0.0,1583289337.4,153.99210188058646,3.15,0.0,0.0,26.5,19,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8002545,-122.2607993,3.15,101.0,0.0,0.0,101.0,35.40000009536743,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,1.0,3,18,3.181818112854132,2.200000047683716,101.0,35.40000009536743,35.40000009536743,0.0,4.0,13,0.0
19,0,108.0,0.0,1583289339.6,158.43621298034026,3.17,0.0,0.0,27.0,20,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800203700000004,-122.2607527,3.17,108.0,0.0,0.0,108.0,37.59999990463257,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,1.0,3,19,3.181818457674412,2.1999998092651367,108.0,37.59999990463257,37.59999990463257,0.0,4.0,13,0.0
20,0,115.0,0.0,1583289341.8,159.0432816963283,3.16,0.0,0.0,28.0,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.80015510000001,-122.26070209999999,3.16,115.0,0.0,0.0,115.0,39.799999952316284,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,1.0,3,20,3.181818112854132,2.200000047683716,115.0,39.799999952316284,39.79999995231629,0.0,4.0,13,0.0
21,0,121.9,0.0,1583289344.0,159.60227207627017,3.15,0.0,0.0,27.5,22,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8001097,-122.26064840000002,3.15,121.9,0.0,0.0,121.9,42.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,1.0,3,21,3.1363635683847897,2.200000047683716,121.9,42.0,42.0,0.0,4.0,13,0.0
22,0,128.2,0.0,1583289346.1,161.12206435792342,3.15,0.0,0.0,27.5,23,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800071100000004,-122.26059579999999,3.15,128.2,0.0,0.0,128.2,44.09999990463257,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,1.0,3,22,3.0000001362391857,2.0999999046325684,128.2,44.09999990463257,44.09999990463257,0.0,4.0,13,0.0
23,0,135.6,0.0,1583289348.4,161.98594001297457,3.13,0.0,0.0,28.0,24,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8000295,-122.26053059999998,3.13,135.6,0.0,0.0,135.6,46.40000009536743,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,1.0,3,23,3.2173910375353767,2.3000001907348633,135.6,46.40000009536743,46.40000009536743,0.0,4.0,13,0.0
24,0,142.3,0.0,1583289350.6,161.01616996706022,3.09,0.0,0.0,27.5,25,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.799994399999996,-122.26046840000001,3.09,142.3,0.0,0.0,142.3,48.59999990463257,0.0,0.0,0.0,0.0,0.0,3.09,0.0,0.0,1.0,3,24,3.0454548094883744,2.1999998092651367,142.3,48.59999990463257,48.59999990463257,0.0,4.0,13,0.0
25,0,149.2,0.0,1583289352.8,157.40236599025644,3.08,0.0,0.0,25.5,26,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7999614,-122.26040220000002,3.08,149.2,0.0,0.0,149.2,50.799999952316284,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,1.0,3,25,3.136363568384777,2.200000047683716,149.2,50.799999952316284,50.79999995231629,0.0,4.0,13,0.0
26,0,158.2,0.0,1583289355.6,156.66463802694548,3.16,0.0,0.0,21.5,27,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7999231,-122.26031110000001,3.16,158.2,0.0,0.0,158.2,53.59999990463257,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,1.0,3,26,3.2142857690246744,2.799999952316284,158.2,53.59999990463257,53.59999990463257,0.0,4.0,13,0.0
27,0,168.1,0.0,1583289358.6,155.25088267509162,3.25,0.0,0.0,21.0,28,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.799890399999995,-122.2602074,3.25,168.1,0.0,0.0,168.1,56.59999990463257,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,1.0,3,27,3.3000000000000016,3.0,168.1,56.59999990463257,56.59999990463257,0.0,4.0,13,0.0
28,0,177.0,0.0,1583289361.4,155.05536332741443,3.24,0.0,0.0,20.5,29,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7998716,-122.2601088,3.24,177.0,0.0,0.0,177.0,59.40000009536743,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,1.0,3,28,3.17857121204845,2.8000001907348633,177.0,59.40000009536743,59.40000009536743,0.0,4.0,13,0.0
29,0,186.5,0.0,1583289364.4,154.21588851146132,3.21,0.0,0.0,20.5,30,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.79986270000001,-122.2600018,3.21,186.5,0.0,0.0,186.5,62.40000009536743,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,1.0,3,29,3.1666666666666665,3.0,186.5,62.40000009536743,62.40000009536743,0.0,4.0,13,0.0
30,0,195.8,0.0,1583289367.2,153.628633580236,3.26,0.0,0.0,20.0,31,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7998641,-122.25989569999999,3.26,195.8,0.0,0.0,195.8,65.20000004768372,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,1.0,3,30,3.3214286279921685,2.799999952316284,195.8,65.20000004768372,65.20000004768372,0.0,4.0,13,0.0
31,0,205.8,0.0,1583289370.2,151.6027966127933,3.33,0.0,0.0,20.5,32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.799876899999994,-122.2597831,3.33,205.8,0.0,0.0,205.8,68.20000004768372,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,1.0,3,31,3.333333333333333,3.0,205.8,68.20000004768372,68.20000004768372,0.0,4.0,13,0.0
32,0,215.3,0.0,1583289373.1,149.99278385328046,3.38,0.0,0.0,20.0,33,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7998989,-122.25967859999999,3.38,215.3,0.0,0.0,215.3,71.09999990463257,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,1.0,3,32,3.2758622305571903,2.8999998569488525,215.3,71.09999990463257,71.09999990463255,0.0,4.0,13,0.0
33,0,225.3,0.0,1583289376.1,149.67873207455725,3.39,0.0,0.0,20.0,34,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.799930700000004,-122.25957179999999,3.39,225.3,0.0,0.0,225.3,74.09999990463257,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,1.0,3,33,3.333333333333333,3.0,225.3,74.09999990463257,74.09999990463255,0.0,4.0,13,0.0
34,0,235.5,0.0,1583289379.1,150.53019229259385,3.42,0.0,0.0,20.5,35,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.799969299999994,-122.2594674,3.42,235.5,0.0,0.0,235.5,77.09999990463257,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,1.0,3,34,3.399999999999997,3.0,235.5,77.09999990463257,77.09999990463255,0.0,4.0,13,0.0
35,0,245.3,0.0,1583289382.0,145.51931569474883,3.46,0.0,0.0,20.5,36,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8000154,-122.25937250000001,3.46,245.3,0.0,0.0,245.3,80.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,1.0,3,35,3.3793102336978875,2.9000000953674316,245.3,80.0,80.0,0.0,4.0,13,0.0
36,0,255.4,0.0,1583289385.0,142.38978423739013,3.5,0.0,0.0,21.5,37,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.800070500000004,-122.2592803,3.5,255.4,0.0,0.0,255.4,83.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,3,36,3.366666666666665,3.0,255.4,83.0,83.0,0.0,4.0,13,0.0
