index,index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
12,12,0.0,18.0,0.0,0.0,0.0,13.0,142.0,0.0,0.0,0.0,10000.0,1.57644190337e-05,0.0,0.0,49.240004,16.511673,1459588521.0,0.05,0.0,0.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,0.0,18.0,0.0,0.0,0.0,14.0,142.0,0.0,0.0,0.0,10000.0,1.92676232635e-05,0.0,0.0,49.240004,16.511673,1459588522.0,0.05,0.0,0.0,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,0.0,18.0,0.0,0.0,0.0,15.0,142.0,0.0,0.0,0.0,10000.0,2.3549317322e-05,0.0,0.0,49.240004,16.511673,1459588523.0,0.05,0.0,0.0,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,0.0,18.0,0.0,0.0,0.0,16.0,142.0,0.0,0.0,0.0,10000.0,2.87824989491e-05,0.0,0.0,49.240004,16.511673,1459588524.0,0.05,0.0,0.0,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,0.0,18.0,0.0,0.0,0.0,17.0,142.0,0.0,0.0,0.0,10000.0,3.51786098267e-05,0.0,0.0,49.240004,16.511673,1459588525.0,0.05,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,0.0,18.0,0.0,0.0,0.0,18.0,142.0,0.0,0.0,0.0,10000.0,4.29960786771e-05,0.0,0.0,49.240004,16.511673,1459588526.0,0.05,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,0.0,18.0,0.0,0.0,0.0,19.0,142.0,0.0,0.0,0.0,10000.0,5.25507628275e-05,0.0,0.0,49.240004,16.511673,1459588527.0,0.05,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,0.0,18.0,0.0,0.0,0.0,20.0,142.0,0.0,0.0,0.0,10000.0,6.42287101225e-05,0.0,0.0,49.240004,16.511673,1459588528.0,0.05,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,0.0,18.0,0.0,0.0,0.0,21.0,142.0,0.0,0.0,0.0,10000.0,7.85017568164e-05,0.0,0.0,49.240004,16.511673,1459588529.0,0.05,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,0.0,18.0,0.0,0.0,0.0,22.0,142.0,0.0,0.0,0.0,10000.0,9.59465916645e-05,0.0,0.0,49.240004,16.511673,1459588530.0,0.05,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
