index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec)
32,0.0,21,0.0,0.0,0.0,14477.0,124,73.2023578842,0.0,0.0,212.603157307,6.62757398019,0.0,0.0,42.35687,-71.116393,1445082431.0
33,0.0,19,0.0,0.0,0.0,14478.0,125,75.6782132823,0.0,0.0,209.824090946,6.86490202099,0.0,0.0,42.356872,-71.116423,1445082432.0
34,0.0,19,0.0,0.0,0.0,14479.0,125,78.345808511,0.0,0.0,208.01226832,7.0054741667,0.0,0.0,42.356876,-71.116455,1445082433.0
35,0.0,19,0.0,0.0,0.0,14480.0,125,80.9156009284,0.0,0.0,207.66496935,7.06927047226,0.0,0.0,42.356879,-71.116486,1445082434.0
36,0.0,17,0.0,0.0,0.0,14481.0,126,82.9734763817,0.0,0.0,209.232867365,7.26836423689,0.0,0.0,42.356878,-71.116511,1445082435.0
37,0.0,17,0.0,0.0,0.0,14482.0,126,85.1220857318,0.0,0.0,207.998939068,7.46693148326,0.0,0.0,42.356876,-71.116537,1445082436.0
38,0.0,17,0.0,0.0,0.0,14483.0,125,87.5904339364,0.0,0.0,205.603768502,7.75452995205,0.0,0.0,42.356875,-71.116567,1445082437.0
39,0.0,17,0.0,0.0,0.0,14484.0,125,90.9691583605,0.0,0.0,200.933853329,7.77524189686,0.0,0.0,42.356882,-71.116607,1445082438.0
40,0.0,17,0.0,0.0,0.0,14485.0,125,93.9365174794,0.0,0.0,202.230135852,7.75179732189,0.0,0.0,42.356884,-71.116643,1445082439.0
41,0.0,17,0.0,0.0,0.0,14486.0,125,96.4048653312,0.0,0.0,204.343856814,7.85542423507,0.0,0.0,42.356885,-71.116673,1445082440.0
42,0.0,17,0.0,0.0,0.0,14487.0,125,99.1850975964,0.0,0.0,203.261700557,7.76288880568,0.0,0.0,42.356875,-71.116704,1445082441.0
43,0.0,18,0.0,0.0,0.0,14488.0,125,101.239964935,0.0,0.0,206.627058721,7.83456461243,0.0,0.0,42.356875,-71.116729,1445082442.0
44,0.0,18,0.0,0.0,0.0,14489.0,125,103.646854576,0.0,0.0,205.340513876,7.89060714782,0.0,0.0,42.356872,-71.116758,1445082443.0
45,0.0,18,0.0,0.0,0.0,14490.0,125,106.197316828,0.0,0.0,204.869942147,8.0253996114,0.0,0.0,42.356871,-71.116789,1445082444.0
46,0.0,18,0.0,0.0,0.0,14491.0,125,109.420231234,0.0,0.0,202.385925146,7.87860107125,0.0,0.0,42.356868,-71.116828,1445082445.0
47,0.0,17,0.0,0.0,0.0,14492.0,125,111.724369244,0.0,0.0,206.8928961,7.87027279079,0.0,0.0,42.356867,-71.116856,1445082446.0
48,0.0,17,0.0,0.0,0.0,14493.0,125,113.845140448,0.0,0.0,208.420185548,7.94407073552,0.0,0.0,42.35686,-71.11688,1445082447.0
49,0.0,17,0.0,0.0,0.0,14494.0,125,116.372921326,0.0,0.0,207.265599093,7.91691808884,0.0,0.0,42.356855,-71.11691,1445082448.0
50,0.0,16,0.0,0.0,0.0,14495.0,125,118.766926523,0.0,0.0,208.439747918,7.90525059476,0.0,0.0,42.356853,-71.116939,1445082449.0
51,0.0,16,0.0,0.0,0.0,14496.0,125,121.011130787,0.0,0.0,209.693003448,7.91443066834,0.0,0.0,42.35685,-71.116966,1445082450.0
52,0.0,16,0.0,0.0,0.0,14497.0,124,123.391212987,0.0,0.0,209.629488212,7.86928719429,0.0,0.0,42.356837,-71.116989,1445082451.0
53,0.0,20,0.0,0.0,0.0,14498.0,124,125.660643047,0.0,0.0,210.599440543,7.73522591908,0.0,0.0,42.356819,-71.117002,1445082452.0
54,0.0,20,0.0,0.0,0.0,14499.0,124,127.785083743,0.0,0.0,211.632371813,7.70039268359,0.0,0.0,42.356804,-71.117018,1445082453.0
55,0.0,20,0.0,0.0,0.0,14500.0,123,129.795894592,0.0,0.0,212.32528991,7.67527627671,0.0,0.0,42.356791,-71.117035,1445082454.0
56,0.0,20,0.0,0.0,0.0,14501.0,123,131.64388114,0.0,0.0,212.922947499,7.73570967967,0.0,0.0,42.356778,-71.117049,1445082455.0
57,0.0,18,0.0,0.0,0.0,14502.0,123,133.776577208,0.0,0.0,211.144349458,7.81982885495,0.0,0.0,42.356761,-71.117061,1445082456.0
58,0.0,18,0.0,0.0,0.0,14503.0,123,136.0156741,0.0,0.0,209.932418852,7.81811366137,0.0,0.0,42.356742,-71.11707,1445082457.0
59,0.0,22,0.0,0.0,0.0,14504.0,122,138.011852237,0.0,0.0,210.070046418,7.85911264995,0.0,0.0,42.356726,-71.117081,1445082458.0
60,0.0,22,0.0,0.0,0.0,14505.0,122,140.393665721,0.0,0.0,207.259932909,7.89311914873,0.0,0.0,42.356714,-71.117105,1445082459.0
61,0.0,22,0.0,0.0,0.0,14506.0,122,142.558695121,0.0,0.0,206.928250477,8.02944202609,0.0,0.0,42.356698,-71.11712,1445082460.0
62,0.0,22,0.0,0.0,0.0,14507.0,122,145.140106652,0.0,0.0,203.84265368,8.10792434496,0.0,0.0,42.356676,-71.11713,1445082461.0
63,0.0,19,0.0,0.0,0.0,14508.0,121,147.616330934,0.0,0.0,202.97919721,8.27659896243,0.0,0.0,42.356655,-71.11714,1445082462.0
64,0.0,19,0.0,0.0,0.0,14509.0,121,150.172758537,0.0,0.0,201.414646365,8.36845339006,0.0,0.0,42.356633,-71.117149,1445082463.0
65,0.0,19,0.0,0.0,0.0,14510.0,121,152.622926533,0.0,0.0,200.646658797,8.51734317109,0.0,0.0,42.356612,-71.117158,1445082464.0
66,0.0,19,0.0,0.0,0.0,14511.0,122,155.303806966,0.0,0.0,198.576531672,8.56424746055,0.0,0.0,42.356588,-71.117155,1445082465.0
67,0.0,19,0.0,0.0,0.0,14512.0,122,157.5344693,0.0,0.0,199.218215978,8.81056788964,0.0,0.0,42.356568,-71.117157,1445082466.0
68,0.0,19,0.0,0.0,0.0,14513.0,123,160.538799391,0.0,0.0,195.097715868,8.91699343126,0.0,0.0,42.356541,-71.117158,1445082467.0
69,0.0,16,0.0,0.0,0.0,14514.0,124,163.431942886,0.0,0.0,194.60929992,9.11935791542,0.0,0.0,42.356515,-71.117159,1445082468.0
70,0.0,16,0.0,0.0,0.0,14515.0,124,166.32391855,0.0,0.0,193.973752374,9.28433792961,0.0,0.0,42.356489,-71.117159,1445082469.0
71,0.0,16,0.0,0.0,0.0,14516.0,124,169.558995092,0.0,0.0,192.356774805,9.33809498479,0.0,0.0,42.35646,-71.117162,1445082470.0
72,0.0,16,0.0,0.0,0.0,14517.0,124,172.67451487,0.0,0.0,192.85741224,9.29102825,0.0,0.0,42.356432,-71.117163,1445082471.0
73,0.0,18,0.0,0.0,0.0,14518.0,123,175.238077306,0.0,0.0,195.31345031,9.32461795997,0.0,0.0,42.356409,-71.117161,1445082472.0
74,0.0,18,0.0,0.0,0.0,14519.0,123,178.029734879,0.0,0.0,194.96961586,9.33599013224,0.0,0.0,42.356384,-71.117158,1445082473.0
75,0.0,18,0.0,0.0,0.0,14520.0,123,180.588021044,0.0,0.0,196.482327659,9.34335633849,0.0,0.0,42.356361,-71.117158,1445082474.0
76,0.0,18,0.0,0.0,0.0,14521.0,123,182.836782392,0.0,0.0,198.314639611,9.4205240911,0.0,0.0,42.356341,-71.117162,1445082475.0
77,0.0,18,0.0,0.0,0.0,14522.0,123,185.099022971,0.0,0.0,198.7400366,9.5457193363,0.0,0.0,42.356321,-71.117167,1445082476.0
78,0.0,18,0.0,0.0,0.0,14523.0,123,187.558471993,0.0,0.0,198.27504633,9.5673500489,0.0,0.0,42.356299,-71.11717,1445082477.0
79,0.0,18,0.0,0.0,0.0,14524.0,123,189.477749826,0.0,0.0,200.549278911,9.65210181397,0.0,0.0,42.356282,-71.117174,1445082478.0
80,0.0,18,0.0,0.0,0.0,14525.0,123,191.054370175,0.0,0.0,201.636266656,9.9071553648,0.0,0.0,42.356268,-71.117177,1445082479.0
81,0.0,18,0.0,0.0,0.0,14526.0,123,193.083323146,0.0,0.0,198.95015204,10.1647552344,0.0,0.0,42.35625,-71.117181,1445082480.0
82,0.0,7,0.0,0.0,0.0,14527.0,122,195.381976656,0.0,0.0,196.630972701,11.092725514,0.0,0.0,42.356231,-71.11717,1445082481.0
83,0.0,7,0.0,0.0,0.0,14528.0,123,197.961303281,0.0,0.0,194.140822766,11.3168552039,0.0,0.0,42.356208,-71.117174,1445082482.0
84,0.0,7,0.0,0.0,0.0,14529.0,123,200.772255116,0.0,0.0,191.887540849,11.005155522,0.0,0.0,42.356183,-71.117179,1445082483.0
85,0.0,17,0.0,0.0,0.0,14530.0,123,202.816137578,0.0,0.0,193.325386693,10.4830750407,0.0,0.0,42.356165,-71.117184,1445082484.0
86,0.0,17,0.0,0.0,0.0,14531.0,123,205.054359065,0.0,0.0,190.974159819,10.5737476472,0.0,0.0,42.356145,-71.117187,1445082485.0
87,0.0,17,0.0,0.0,0.0,14532.0,123,208.05868917,0.0,0.0,186.494856524,10.5166753115,0.0,0.0,42.356118,-71.117186,1445082486.0
88,0.0,17,0.0,0.0,0.0,14533.0,123,210.951832681,0.0,0.0,185.260391246,10.4626660104,0.0,0.0,42.356092,-71.117187,1445082487.0
89,0.0,18,0.0,0.0,0.0,14534.0,123,213.733793053,0.0,0.0,184.174259707,10.3917759801,0.0,0.0,42.356067,-71.117188,1445082488.0
90,0.0,18,0.0,0.0,0.0,14535.0,123,216.414673684,0.0,0.0,183.113732086,10.3950859562,0.0,0.0,42.356043,-71.117185,1445082489.0
91,0.0,18,0.0,0.0,0.0,14536.0,122,219.206331385,0.0,0.0,181.366201314,10.3405236476,0.0,0.0,42.356018,-71.117182,1445082490.0
92,0.0,17,0.0,0.0,0.0,14537.0,123,221.675376374,0.0,0.0,181.016787204,10.4905926942,0.0,0.0,42.355996,-71.117186,1445082491.0
93,0.0,17,0.0,0.0,0.0,14538.0,123,224.794147296,0.0,0.0,177.510209576,10.5612151028,0.0,0.0,42.355968,-71.117188,1445082492.0
94,0.0,17,0.0,0.0,0.0,14539.0,123,228.257911651,0.0,0.0,175.207098932,10.4266298222,0.0,0.0,42.355937,-71.117192,1445082493.0
95,0.0,17,0.0,0.0,0.0,14540.0,123,230.945000275,0.0,0.0,176.599790104,10.4366699132,0.0,0.0,42.355914,-71.117202,1445082494.0
96,0.0,17,0.0,0.0,0.0,14541.0,123,233.659689581,0.0,0.0,175.531010783,10.461954328,0.0,0.0,42.35589,-71.117208,1445082495.0
97,0.0,17,0.0,0.0,0.0,14542.0,123,236.441649961,0.0,0.0,174.278618404,10.6318934105,0.0,0.0,42.355865,-71.117209,1445082496.0
98,0.0,17,0.0,0.0,0.0,14543.0,124,240.113154658,0.0,0.0,170.679385411,10.3371504108,0.0,0.0,42.355832,-71.117208,1445082497.0
99,0.0,17,0.0,0.0,0.0,14544.0,123,242.048208855,0.0,0.0,174.979451037,10.4406435305,0.0,0.0,42.355815,-71.117213,1445082498.0
100,0.0,17,0.0,0.0,0.0,14545.0,124,244.407061244,0.0,0.0,172.556283804,10.6591808371,0.0,0.0,42.355794,-71.117217,1445082499.0
101,0.0,17,0.0,0.0,0.0,14546.0,124,247.748003183,0.0,0.0,168.366016778,10.6648763369,0.0,0.0,42.355764,-71.117219,1445082500.0
102,0.0,17,0.0,0.0,0.0,14547.0,124,250.872185206,0.0,0.0,167.727526052,10.6303492601,0.0,0.0,42.355736,-71.117216,1445082501.0
103,0.0,17,0.0,0.0,0.0,14548.0,125,253.56187201,0.0,0.0,167.755631075,10.8092012826,0.0,0.0,42.355712,-71.11722,1445082502.0
104,0.0,17,0.0,0.0,0.0,14549.0,125,257.01880285,0.0,0.0,164.464549777,10.8443299292,0.0,0.0,42.355681,-71.117217,1445082503.0
105,0.0,17,0.0,0.0,0.0,14550.0,125,260.47084424,0.0,0.0,163.459310819,10.9850888907,0.0,0.0,42.35565,-71.117219,1445082504.0
106,0.0,17,0.0,0.0,0.0,14551.0,125,264.626373964,0.0,0.0,160.908668679,10.761470324,0.0,0.0,42.355613,-71.117212,1445082505.0
107,0.0,17,0.0,0.0,0.0,14552.0,126,267.536979246,0.0,0.0,163.79752518,10.8319055952,0.0,0.0,42.355587,-71.117216,1445082506.0
108,0.0,17,0.0,0.0,0.0,14553.0,126,270.923116332,0.0,0.0,162.2799431,10.7468401182,0.0,0.0,42.355557,-71.117223,1445082507.0
109,0.0,17,0.0,0.0,0.0,14554.0,126,273.926321829,0.0,0.0,163.094668944,10.7843729638,0.0,0.0,42.35553,-71.117223,1445082508.0
110,0.0,18,0.0,0.0,0.0,14555.0,126,277.267263801,0.0,0.0,162.061048276,10.8028387161,0.0,0.0,42.3555,-71.117221,1445082509.0
111,0.0,18,0.0,0.0,0.0,14556.0,126,281.105820913,0.0,0.0,160.778924017,10.7321116066,0.0,0.0,42.355466,-71.117213,1445082510.0
112,0.0,18,0.0,0.0,0.0,14557.0,126,284.809388979,0.0,0.0,161.44478223,10.5618545142,0.0,0.0,42.355433,-71.117207,1445082511.0
113,0.0,17,0.0,0.0,0.0,14558.0,126,287.852819504,0.0,0.0,163.766908683,10.4139233256,0.0,0.0,42.355406,-71.117201,1445082512.0
114,0.0,17,0.0,0.0,0.0,14559.0,127,290.211672191,0.0,0.0,166.215746287,10.4495528504,0.0,0.0,42.355385,-71.117197,1445082513.0
115,0.0,17,0.0,0.0,0.0,14560.0,127,293.022624814,0.0,0.0,165.355164732,10.429411265,0.0,0.0,42.35536,-71.117192,1445082514.0
116,0.0,17,0.0,0.0,0.0,14561.0,128,295.922310483,0.0,0.0,165.328574631,10.444710127,0.0,0.0,42.355335,-71.117182,1445082515.0
117,0.0,18,0.0,0.0,0.0,14562.0,128,299.109951968,0.0,0.0,164.717351633,10.4052790064,0.0,0.0,42.355308,-71.117169,1445082516.0
118,0.0,18,0.0,0.0,0.0,14563.0,128,302.496089489,0.0,0.0,164.422838363,10.323755727,0.0,0.0,42.355278,-71.117162,1445082517.0
