index,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts),Cals, Cadence (stokes/min), HRCur (bpm),DutyCycle,Rowfile_Id, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
11,1483307449.112,151.101501465,129.59183752549998,160.818161011,8.70793437958,16.0,0.0,0.333333343267,917293,0.0,42.16499996185303,0.0,0.0,0.0,0.0,0.0,0.0,3.8582676929911903,0.0,0.0,0.0,1.0,4.0,11,603.06810379125,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,151.101501465,0.0,160.818161011,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,1483307452.804,165.523178101,128.232628107,165.986358643,9.5939912796,16.0,0.0,0.333333343267,917293,0.0,45.85699987411499,0.0,0.0,0.0,0.0,0.0,0.0,3.8991636323852727,0.0,0.0,0.0,1.0,4.0,12,622.4488449112499,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,165.523178101,0.0,165.986358643,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1483307456.405,179.672180176,127.4473518135,169.073516846,10.4686431885,17.0,0.0,0.333333343267,917293,0.0,49.45799994468689,0.0,0.0,0.0,0.0,0.0,0.0,3.9231886177727304,0.0,0.0,0.0,1.0,4.0,13,596.7300594564705,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,179.672180176,0.0,169.073516846,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,1483307459.811,193.095016479,126.385703683,173.370101929,11.3013477325,17.0,0.0,0.333333343267,917293,0.0,52.86400008201599,0.0,0.0,0.0,0.0,0.0,0.0,3.9561436573087216,0.0,0.0,0.0,1.0,4.0,14,611.8944773964705,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,193.095016479,0.0,0.0,173.370101929,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,1483307463.102,206.386459351,124.1122186185,183.073059082,12.1419296265,18.0,0.0,0.333333343267,917293,0.0,56.15499997138977,0.0,0.0,0.0,0.0,0.0,0.0,4.0286122153445305,0.0,0.0,0.0,1.0,4.0,15,610.2435302733334,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,206.386459351,0.0,0.0,183.073059082,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,1483307466.418,219.967803955,122.2363486885,191.631515503,13.0112304688,18.0,0.0,0.333333343267,917293,0.0,59.47099995613098,0.0,0.0,0.0,0.0,0.0,0.0,4.090436317548808,0.0,0.0,0.0,1.0,4.0,16,638.7717183433333,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,219.967803955,0.0,0.0,191.631515503,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,1483307469.701,233.324523926,122.5459203125,190.182907104,13.8633918762,18.0,0.0,0.333333343267,917293,0.0,62.75399994850159,0.0,0.0,0.0,0.0,0.0,0.0,4.0801031868296205,0.0,0.0,0.0,1.0,4.0,17,633.94302368,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,233.324523926,0.0,0.0,190.182907104,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,1483307472.911,246.547790527,121.2771236895,196.214630127,14.7163171768,19.0,0.0,0.333333343267,917293,0.0,65.96399998664856,0.0,0.0,0.0,0.0,0.0,0.0,4.122789070098051,0.0,0.0,0.0,1.0,4.0,18,619.6251477694736,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,246.547790527,0.0,0.0,196.214630127,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,1483307476.103,259.779022217,120.788797736,198.604034424,15.5752153397,19.0,0.0,0.333333343267,917293,0.0,69.15599989891052,0.0,0.0,0.0,0.0,0.0,0.0,4.139456715951561,0.0,0.0,0.0,1.0,4.0,19,627.1706350231578,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,259.779022217,0.0,0.0,198.604034424,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,1483307479.308,273.080078125,120.77522277850001,198.671005249,16.4405250549,19.0,0.0,0.333333343267,917293,0.0,72.36100006103516,0.0,0.0,0.0,0.0,0.0,0.0,4.139921984801409,0.0,0.0,0.0,1.0,4.0,20,627.3821218389473,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,273.080078125,0.0,0.0,198.671005249,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
