index, lapIdx,TimeStamp (sec), Horizontal (meters),Imp Split,GPS Speed, Cadence (stokes/min), HRCur (bpm),Stroke Count,catch,slip,finish,wash, AverageDriveForce (lbs), PeakDriveForce (lbs),Force Max Angle,driveenergy, Power (watts),Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,ImpellerSpeed,ImpellerDistance,cum_dist, Stroke500mPace (sec/500m), ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
10,0.0,1474439541.4,90.0,,4.21,29.0,131.0,11,-64,2,39,19,37.40822171565255,69.91560669211505,30,308.0689655172414,148.9,,82.0,303.8,,82.0,71.0,79.0,78.0,81.0,,303.8,255.4,293.6,310.1,289.6,,4.21,4.07,4.07,4.13,4.15,,,,4.21,90.0,90.00000000000001,118.76484560570071,20.200000047683716,0.0,0.0,0.0,0.0,0.0,4.21,166.4,311.0,1.0,4.0,11,131.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,148.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,0.0,1474439543.6,99.2,,4.17,29.0,132.0,12,-64,2,39,19,37.40822171565255,69.91560669211505,30,308.0689655172414,148.9,,82.0,303.8,,82.0,77.0,76.0,80.0,81.0,,303.8,303.5,284.6,293.4,288.7,,4.17,4.09,4.13,4.17,4.15,,,,4.17,99.2,99.20000000000002,119.90407673860912,22.399999856948853,0.0,0.0,0.0,0.0,0.0,4.17,166.4,311.0,1.0,4.0,12,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,148.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,0.0,1474439545.6,107.5,,4.14,29.0,134.0,13,-63,4,38,19,35.85703944499148,68.34194351898063,30,289.2413793103448,139.8,,78.0,297.9,,78.0,75.0,79.0,81.0,74.0,,297.9,284.1,289.3,308.2,284.9,,4.14,4.08,4.08,4.1,4.17,,,,4.14,107.5,107.50000000000001,120.77294685990339,24.399999856948853,0.0,0.0,0.0,0.0,0.0,4.14,159.5,304.0,1.0,4.0,13,134.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,0.0,1474439547.8,116.6,,4.1,28.0,136.0,14,-62,3,40,22,37.475664423072594,70.76988098610231,38,309.64285714285717,144.5,,77.0,303.5,,77.0,79.0,77.0,63.0,76.0,,303.5,285.5,276.1,250.1,295.9,,4.1,4.05,4.15,4.11,4.15,,,,4.1,116.6,116.60000000000001,121.95121951219514,26.59999990463257,0.0,0.0,0.0,0.0,0.0,4.1,166.7,314.8,1.0,4.0,14,136.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,0.0,1474439549.8,124.9,,4.15,29.0,138.0,15,-62,3,40,22,37.475664423072594,70.76988098610231,38,298.9655172413793,144.5,,77.0,303.5,,77.0,75.0,77.0,80.0,76.0,,303.5,266.0,290.2,320.4,282.6,,4.15,4.11,4.17,4.06,4.1,,,,4.15,124.9,124.90000000000002,120.48192771084337,28.59999990463257,0.0,0.0,0.0,0.0,0.0,4.15,166.7,314.8,1.0,4.0,15,138.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,0.0,1474439552.0,133.8,,4.14,28.0,139.0,16,-63,5,38,17,34.75547522379738,69.17373691049453,30,291.00000000000006,135.8,,79.0,289.4,,79.0,75.0,70.0,77.0,79.0,,289.4,268.0,283.3,315.3,286.1,,4.14,4.09,4.18,4.06,4.12,,,,4.14,133.8,133.80000000000004,120.77294685990339,30.799999952316284,0.0,0.0,0.0,0.0,0.0,4.14,154.6,307.7,1.0,4.0,16,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,135.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,0.0,1474439553.9,142.1,,4.15,30.0,141.0,17,-63,4,39,18,35.99192485983157,69.8032021797483,41,296.2,148.1,,80.0,297.8,,80.0,77.0,76.0,78.0,70.0,,297.8,276.7,306.4,296.7,243.6,,4.15,4.04,4.14,4.11,4.23,,,,4.15,142.1,142.10000000000002,120.48192771084337,32.700000047683716,0.0,0.0,0.0,0.0,0.0,4.15,160.1,310.5,1.0,4.0,17,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,148.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,0.0,1474439556.0,150.7,,4.2,29.0,142.0,18,-62,4,36,18,35.47486410294455,69.7582403748016,31,286.3448275862069,138.4,,76.0,282.4,,76.0,69.0,78.0,78.0,79.0,,282.4,245.2,301.7,299.4,278.5,,4.2,4.02,4.22,4.15,4.15,,,,4.2,150.7,150.70000000000002,119.04761904761904,34.799999952316284,0.0,0.0,0.0,0.0,0.0,4.2,157.8,310.3,1.0,4.0,18,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,138.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,0.0,1474439558.0,159.1,,4.14,29.0,143.0,19,-62,3,40,22,37.475664423072594,70.76988098610231,38,298.9655172413793,144.5,,77.0,303.5,,77.0,76.0,75.0,80.0,77.0,,303.5,261.1,284.9,312.0,295.3,,4.14,4.05,4.13,4.16,4.21,,,,4.14,159.1,159.10000000000002,120.77294685990339,36.799999952316284,0.0,0.0,0.0,0.0,0.0,4.14,166.7,314.8,1.0,4.0,19,0.0,143.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,0.0,1474439560.1,167.5,,4.13,30.0,144.0,20,-62,4,38,17,34.12600995454362,68.63419525113416,30,274.8,137.4,,79.0,280.3,,79.0,80.0,73.0,74.0,79.0,,280.3,282.1,271.3,291.5,281.8,,4.13,4.04,4.14,4.14,4.12,,,,4.13,167.5,167.50000000000003,121.06537530266344,38.89999985694885,0.0,0.0,0.0,0.0,0.0,4.13,151.8,305.3,1.0,4.0,20,0.0,144.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,137.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,0.0,1474439562.2,176.3,,4.1,29.0,145.0,21,-62,4,39,22,35.092688760897616,68.36442442145398,30,282.2068965517241,136.4,,75.0,282.4,,75.0,74.0,75.0,78.0,71.0,,282.4,271.6,262.8,293.8,261.0,,4.1,4.1,4.07,4.11,4.11,,,,4.1,176.3,176.30000000000004,121.95121951219514,41.0,0.0,0.0,0.0,0.0,0.0,4.1,156.1,304.1,1.0,4.0,21,0.0,145.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,136.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,0.0,1474439564.2,184.6,,4.14,29.0,146.0,22,-62,2,37,16,34.93532244358418,67.01557027305304,31,281.7931034482758,136.2,,81.0,282.0,,81.0,74.0,81.0,78.0,68.0,,282.0,264.8,282.8,295.4,214.2,,4.14,4.13,4.04,4.01,4.17,,,,4.14,184.6,184.60000000000002,120.77294685990339,43.0,0.0,0.0,0.0,0.0,0.0,4.14,155.4,298.1,1.0,4.0,22,0.0,146.0,146.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,136.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,0.0,1474439566.4,193.7,,4.15,29.0,147.0,23,-63,4,37,17,34.800437028744085,68.31946261650727,37,289.2413793103448,139.8,,79.0,285.3,,79.0,76.0,78.0,76.0,73.0,,285.3,276.2,287.3,297.3,246.0,,4.15,4.1,4.01,4.05,4.2,,,,4.15,193.7,193.70000000000002,120.48192771084337,45.200000047683716,0.0,0.0,0.0,0.0,0.0,4.15,154.8,303.9,1.0,4.0,23,0.0,0.0,147.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,0.0,1474439568.4,202.0,,4.17,30.0,148.0,24,-63,7,38,19,34.64307071143064,71.80400249987635,36,284.4,142.2,,75.0,290.1,,75.0,73.0,77.0,73.0,75.0,,290.1,258.5,287.9,285.7,277.9,,4.17,4.16,4.08,4.04,4.07,,,,4.17,202.0,202.00000000000003,119.90407673860912,47.200000047683716,0.0,0.0,0.0,0.0,0.0,4.17,154.1,319.4,1.0,4.0,24,0.0,0.0,148.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,142.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,0.0,1474439570.4,210.3,,4.11,29.0,149.0,25,-61,2,39,20,36.19425298209171,70.79236188857566,28,288.82758620689657,139.6,,78.0,289.0,,78.0,72.0,77.0,76.0,74.0,,289.0,255.8,286.7,303.0,265.8,,4.11,4.17,4.06,4.14,4.17,,,,4.11,210.3,210.30000000000004,121.654501216545,49.200000047683716,0.0,0.0,0.0,0.0,0.0,4.11,161.0,314.90000000000003,1.0,4.0,25,0.0,0.0,149.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,0.0,1474439572.4,218.6,,4.12,29.0,150.0,26,-62,4,38,21,34.64307071143064,68.38690532392732,30,281.17241379310343,135.9,,75.0,281.3,,75.0,76.0,78.0,77.0,71.0,,281.3,293.6,285.6,297.9,248.8,,4.12,4.11,4.11,4.17,4.19,,,,4.12,218.6,218.60000000000002,121.35922330097087,51.200000047683716,0.0,0.0,0.0,0.0,0.0,4.12,154.1,304.2,1.0,4.0,26,0.0,0.0,150.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,135.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,0.0,1474439574.8,228.6,,4.11,29.0,151.0,27,-63,4,39,19,34.86787973616413,71.37686535288273,34,290.48275862068965,140.4,,79.0,294.9,,79.0,78.0,75.0,63.0,75.0,,294.9,283.7,285.8,252.5,237.1,,4.11,4.17,4.09,4.2,4.15,,,,4.11,228.6,228.60000000000002,121.654501216545,53.59999990463257,0.0,0.0,0.0,0.0,0.0,4.11,155.1,317.5,1.0,4.0,27,0.0,0.0,151.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,140.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,0.0,1474439576.6,235.8,,4.15,29.0,151.0,28,-63,4,39,19,35.18261237079101,67.51015012746672,37,289.2413793103448,139.8,,79.0,285.2,,79.0,79.0,79.0,79.0,71.0,,285.2,291.7,285.4,306.4,226.1,,4.15,4.12,4.08,4.03,4.11,,,,4.15,235.8,235.80000000000004,120.48192771084337,55.39999985694885,0.0,0.0,0.0,0.0,0.0,4.15,156.5,300.3,1.0,4.0,28,0.0,0.0,151.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,0.0,1474439578.6,244.3,,4.12,29.0,152.0,29,-62,4,38,16,35.13765056584432,69.35358413028132,30,288.0,139.2,,80.0,288.2,,80.0,79.0,68.0,76.0,69.0,,288.2,303.8,268.9,307.9,221.7,,4.12,4.14,4.13,4.16,4.1,,,,4.12,244.3,244.30000000000004,121.35922330097087,57.39999985694885,0.0,0.0,0.0,0.0,0.0,4.12,156.3,308.5,1.0,4.0,29,0.0,0.0,152.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,0.0,1474439580.8,253.4,,4.19,29.0,153.0,30,-61,2,35,24,33.49654468528985,68.94892788576104,32,260.6896551724138,126.0,,70.0,253.2,,70.0,77.0,78.0,79.0,69.0,,253.2,301.5,277.9,305.0,229.7,,4.19,4.1,4.1,4.07,4.07,,,,4.19,253.4,253.40000000000003,119.33174224343675,59.59999990463257,0.0,0.0,0.0,0.0,0.0,4.19,149.0,306.7,1.0,4.0,30,0.0,0.0,153.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,126.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,0.0,1474439582.8,261.5,,4.12,30.0,154.0,31,-63,6,37,23,32.4174613665691,64.99228905045165,33,255.6,127.8,,71.0,260.8,,71.0,80.0,75.0,78.0,66.0,,260.8,276.1,276.6,297.7,195.6,,4.12,4.19,4.12,4.13,4.1,,,,4.12,261.5,261.5,121.35922330097087,61.59999990463257,0.0,0.0,0.0,0.0,0.0,4.12,144.20000000000002,289.1,1.0,4.0,31,0.0,0.0,154.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,127.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,0.0,1474439584.8,269.9,,4.16,30.0,154.0,32,-61,2,37,17,35.42990229799785,68.85900427586765,29,275.0,137.5,,79.0,280.5,,79.0,79.0,78.0,76.0,67.0,,280.5,290.1,289.4,291.2,226.3,,4.16,4.12,4.12,4.15,4.18,,,,4.16,269.9,269.9,120.1923076923077,63.59999990463257,0.0,0.0,0.0,0.0,0.0,4.16,157.6,306.3,1.0,4.0,32,0.0,0.0,154.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,137.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,0.0,1474439586.8,278.3,,4.09,29.0,154.0,33,-61,2,36,21,34.35081897927711,66.97060846810633,31,268.55172413793105,129.8,,74.0,268.7,,74.0,82.0,79.0,66.0,72.0,,268.7,291.5,270.3,263.5,256.6,,4.09,4.13,4.18,4.13,4.11,,,,4.09,278.3,278.3,122.24938875305624,65.59999990463257,0.0,0.0,0.0,0.0,0.0,4.09,152.8,297.9,1.0,4.0,33,0.0,0.0,154.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,129.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,0.0,1474439589.0,287.0,,4.12,29.0,155.0,34,-62,3,36,17,33.40662107539645,68.04969178682708,29,267.31034482758616,129.2,,78.0,271.5,,78.0,82.0,78.0,75.0,77.0,,271.5,290.9,279.1,284.5,303.5,,4.12,4.09,4.24,4.08,4.16,,,,4.12,287.0,287.0,121.35922330097087,67.79999995231628,0.0,0.0,0.0,0.0,0.0,4.12,148.6,302.7,1.0,4.0,34,0.0,0.0,155.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,129.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,0.0,1474439591.0,295.3,,4.06,29.0,155.0,35,-63,5,37,17,34.890360638637475,69.17373691049453,34,288.62068965517244,139.5,,78.0,280.5,,78.0,78.0,78.0,76.0,75.0,,280.5,299.2,278.2,294.3,267.2,,4.06,4.08,4.24,4.05,4.1,,,,4.06,295.3,295.3,123.15270935960592,69.79999995231628,0.0,0.0,0.0,0.0,0.0,4.06,155.2,307.7,1.0,4.0,35,0.0,0.0,155.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,0.0,1474439592.9,303.5,,4.19,30.0,155.0,36,-62,2,38,20,35.60974951778464,69.37606503275468,31,284.0,142.0,,78.0,289.7,,78.0,74.0,77.0,77.0,75.0,,289.7,271.7,303.5,303.5,248.0,,4.19,4.07,4.13,4.12,4.11,,,,4.19,303.5,303.5,119.33174224343675,71.70000004768372,0.0,0.0,0.0,0.0,0.0,4.19,158.4,308.6,1.0,4.0,36,0.0,0.0,155.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,142.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,0.0,1474439595.0,312.1,,4.2,29.0,156.0,37,-63,4,37,21,35.092688760897616,68.25201990908724,30,286.9655172413793,138.7,,75.0,283.0,,75.0,77.0,81.0,78.0,66.0,,283.0,283.8,284.3,298.4,218.4,,4.2,4.07,4.17,4.08,4.05,,,,4.2,312.1,312.1,119.04761904761904,73.79999995231628,0.0,0.0,0.0,0.0,0.0,4.2,156.1,303.6,1.0,4.0,37,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,138.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,0.0,1474439597.0,320.6,,4.21,30.0,156.0,38,-62,3,40,22,37.475664423072594,70.76988098610231,38,289.0,144.5,,77.0,303.5,,77.0,78.0,78.0,79.0,66.0,,303.5,286.0,288.8,301.7,211.5,,4.21,4.14,4.11,4.01,3.99,,,,4.21,320.6,320.6,118.76484560570071,75.79999995231628,0.0,0.0,0.0,0.0,0.0,4.21,166.7,314.8,1.0,4.0,38,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,144.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,0.0,1474439599.1,329.2,,4.21,29.0,156.0,39,-62,4,38,17,35.092688760897616,67.21789839531318,31,289.86206896551727,140.1,,79.0,285.9,,79.0,71.0,78.0,77.0,72.0,,285.9,265.8,273.9,270.9,249.4,,4.21,4.13,4.18,4.06,3.99,,,,4.21,329.2,329.2,118.76484560570071,77.89999985694885,0.0,0.0,0.0,0.0,0.0,4.21,156.1,299.0,1.0,4.0,39,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,140.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,0.0,1474439601.2,338.1,,4.17,29.0,156.0,40,-63,4,39,19,33.92368183228348,70.52259105889546,33,285.9310344827586,138.2,,79.0,286.0,,79.0,76.0,78.0,76.0,72.0,,286.0,279.3,273.2,276.6,251.8,,4.17,4.11,4.1,4.06,4.04,,,,4.17,338.1,338.1,119.90407673860912,80.0,0.0,0.0,0.0,0.0,0.0,4.17,150.9,313.69999999999993,1.0,4.0,40,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,138.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,0.0,1474439603.2,346.6,,4.21,30.0,156.0,41,-63,5,37,17,35.384940493051154,68.8365233733943,30,281.2,140.6,,78.0,286.9,,78.0,74.0,75.0,79.0,69.0,,286.9,292.6,272.1,282.6,249.9,,4.21,4.13,4.1,4.02,3.98,,,,4.21,346.6,346.6,118.76484560570071,82.0,0.0,0.0,0.0,0.0,0.0,4.21,157.4,306.2,1.0,4.0,41,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,140.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,0.0,1474439605.2,355.1,,4.2,29.0,157.0,42,-63,4,39,20,34.50818529659055,67.33030290767992,36,288.41379310344826,139.4,,78.0,280.2,,78.0,77.0,78.0,76.0,72.0,,280.2,280.9,284.3,275.0,257.1,,4.2,4.12,4.08,4.04,4.04,,,,4.2,355.1,355.1,119.04761904761904,84.0,0.0,0.0,0.0,0.0,0.0,4.2,153.5,299.5,1.0,4.0,42,0.0,0.0,157.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,139.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
