filename,type,nr_lines,year,month,day,hour,minute,second,dist,seconds,nrintervals,lap 1 time,lap 1 dist,timezone,lap 1 time new,lap 1 dist new,,,,
painsled_to_csv_20160221-105218_erg-400150318_760465m.csv.gz,painsleddesktop,1434,2016,2,21,9,53,21,15207,4065,3,4065,15207,UTC,1199,4842,,,,
painsled_to_csv_20160221-105218_erg-400150318_760465m.csv,painsleddesktop,1434,2016,2,21,9,53,21,15207,4065,3,4065,15207,UTC,1199,4842,,,,
rowinginmotionexample.TCX,tcx,5177,2015,10,17,12,45,55,13368,6201,1,6201,13368,UTC,6201,13368,,,,
RP_interval.csv.gz,rp,1673,2016,1,12,19,23,10,19002,4793,4,1199,4952,UTC,1199,4949,,,,
RP_interval.csv,rp,1673,2016,1,12,19,23,10,19002,4793,4,1199,4952,UTC,1199,4949,,,,
rp_out.csv,csv,989,1970,1,1,0,14,23,9994,0,1,0,9994,UTC,0,9990,,,,
RP_testdata.csv,rp,988,2016,3,15,19,49,48,9994,2264,1,2264,9994,UTC,2264,9990,,,,
SpeedCoach GPS Workout.csv.gz,speedcoach2,1308,2015,0,0,6,29,2,14002,3577,7,598,2000,UTC,598,1996,,,,
SpeedCoach GPS Workout.csv,speedcoach2,1308,2015,0,0,6,29,2,14002,3577,7,598,2000,UTC,598,1996,,,,
Speedcoach2example.csv,speedcoach2,97,2016,7,28,11,35,1,751,170,3,55,250,UTC,55,247,,,,
SpeedCoach2Link_interval.csv,speedcoach2,135,2016,11,14,12,38,1,1174,295,5,57,219,UTC,57,215,,,,
SpeedCoach2Linkv1.27.csv,speedcoach2,1408,2016,0,0,0,2,3,14344,4501,1,4501,14344,UTC,4501,14339,,,,
speedcoach2test2.csv,speedcoach2,269,2016,7,30,10,13,3,2440,871,1,871,2440,UTC,871,2440,,,,
speedcoach3test3.csv,speedcoach2,147,2016,7,31,12,35,1,1111,272,1,272,1111,UTC,272,1107,,,,
speedcoachexample.csv.gz,speedcoach,476,0,0,0,0,0,0,9520,3176,1,3176,9520,UTC,3176,9500,,,,
speedcoachexample.csv,speedcoach,476,0,0,0,0,0,0,9520,3176,1,3176,9520,UTC,3176,9500,,,,
testdata.csv,csv,191,2016,5,20,13,41,26,2000,537,4,139,510,UTC,139,504,,,,
tim.csv,csv,605,2016,6,3,16,55,18,6063,1942,5,0,7,UTC,0,0,,,,
testlapidx.csv,csv,191,2016,5,20,13,41,27,2000,537,3,140,510,UTC,140,504,,,,
rowperfect.csv.gz,rowperfect3,1263,0,0,0,0,0,0,18152,5698,3,2697,11435,UTC,2697,11432,,,,
rowperfect.csv,rowperfect3,1263,0,0,0,0,0,0,18152,5698,3,2697,11435,UTC,2697,11432,,,,
rowpro5.csv,rp,35,2017,1,1,21,50,6,462,118,1,118,462,UTC,118,459,,,,
NKEmporfromgreg.csv,speedcoach2,582,2016,9,21,6,32,1,5000,1229,5,238,1000,UTC,238,995,,,,
SpeedCoach2v2.12.csv,speedcoach2,115,2017,1,19,7,38,6,991,184,1,184,991,UTC,184,990,,,,
kinomap.csv,kinomap,1869,2017,6,4,10,27,33,7350,1867,1,1867,7350,UTC,1867,7350,,,,
impeller_empower.csv,speedcoach2,1140,2017,7,28,22,27,2,7995,2925,1,2925,7995,UTC,2925,7991,,,,
ergstick2.csv,ergstick,308,0,0,0,0,0,0,965,296,1,296,965,UTC,296,959,,,,
painsled.tcx,tcx,115,2020,11,24,21,55,18,83,412,1,412,83,UTC,412,82,,,,
