Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force,Avg Force Max,Avg Force Max Angle,Avg Work,Avg Power,,,,,,,,,,,,,,,,,,,,,,,,
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Newtons),(Degrees),(Watts),(Joules),,,,,,,,,,,,,,,,,,,,,,,,
1,00:13.2,55.5,01:59.9,4.17,30,121,7,-62,4,38,19,160,312.6,35,290.9,144.7,,77,290.9,,77,74,71,78,69,,290.9,255.3,270.1,301.6,238,,4.17,4.16,4.14,4.12,4.19,,,
1,00:15.2,64,01:59.9,4.17,30,124,8,-64,4,41,21,156.8,306.6,41,298.9,144.3,,80,298.9,,80,74,77,81,79,,298.9,251.7,303.3,310.3,278.3,,4.17,4.16,4.11,4.17,4.15,,,
1,00:17.4,73.2,01:58.7,4.21,29,127,9,-64,5,39,18,162.4,304.5,31,298.4,146.2,,80,298.4,,80,78,80,81,77,,298.4,259.3,300.8,299,277.6,,4.21,4.15,4.1,4.18,4.13,,,
1,00:19.4,81.7,01:58.4,4.22,30,129,10,-63,2,39,22,161.4,312.9,31,295.3,144.7,,78,295.3,,78,79,78,76,78,,295.3,272.6,286,294.3,286.6,,4.22,4.07,4.16,4.19,4.18,,,
1,00:21.4,90,01:58.7,4.21,29,131,11,-64,2,39,19,166.4,311,30,303.8,148.9,,82,303.8,,82,71,79,78,81,,303.8,255.4,293.6,310.1,289.6,,4.21,4.07,4.07,4.13,4.15,,,
1,00:23.6,99.2,01:59.9,4.17,29,132,12,-64,2,39,19,166.4,311,30,303.8,148.9,,82,303.8,,82,77,76,80,81,,303.8,303.5,284.6,293.4,288.7,,4.17,4.09,4.13,4.17,4.15,,,
1,00:25.6,107.5,02:00.7,4.14,29,134,13,-63,4,38,19,159.5,304,30,297.9,139.8,,78,297.9,,78,75,79,81,74,,297.9,284.1,289.3,308.2,284.9,,4.14,4.08,4.08,4.1,4.17,,,
1,00:27.8,116.6,02:01.9,4.1,28,136,14,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,79,77,63,76,,303.5,285.5,276.1,250.1,295.9,,4.1,4.05,4.15,4.11,4.15,,,
1,00:29.8,124.9,02:00.4,4.15,29,138,15,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,75,77,80,76,,303.5,266,290.2,320.4,282.6,,4.15,4.11,4.17,4.06,4.1,,,
1,00:32.0,133.8,02:00.7,4.14,28,139,16,-63,5,38,17,154.6,307.7,30,289.4,135.8,,79,289.4,,79,75,70,77,79,,289.4,268,283.3,315.3,286.1,,4.14,4.09,4.18,4.06,4.12,,,
1,00:33.9,142.1,02:00.4,4.15,30,141,17,-63,4,39,18,160.1,310.5,41,297.8,148.1,,80,297.8,,80,77,76,78,70,,297.8,276.7,306.4,296.7,243.6,,4.15,4.04,4.14,4.11,4.23,,,
1,00:36.0,150.7,01:59.0,4.2,29,142,18,-62,4,36,18,157.8,310.3,31,282.4,138.4,,76,282.4,,76,69,78,78,79,,282.4,245.2,301.7,299.4,278.5,,4.2,4.02,4.22,4.15,4.15,,,
1,00:38.0,159.1,02:00.7,4.14,29,143,19,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,76,75,80,77,,303.5,261.1,284.9,312,295.3,,4.14,4.05,4.13,4.16,4.21,,,
1,00:40.1,167.5,02:01.0,4.13,30,144,20,-62,4,38,17,151.8,305.3,30,280.3,137.4,,79,280.3,,79,80,73,74,79,,280.3,282.1,271.3,291.5,281.8,,4.13,4.04,4.14,4.14,4.12,,,
1,00:42.2,176.3,02:01.9,4.1,29,145,21,-62,4,39,22,156.1,304.1,30,282.4,136.4,,75,282.4,,75,74,75,78,71,,282.4,271.6,262.8,293.8,261,,4.1,4.1,4.07,4.11,4.11,,,
1,00:44.2,184.6,02:00.7,4.14,29,146,22,-62,2,37,16,155.4,298.1,31,282,136.2,,81,282,,81,74,81,78,68,,282,264.8,282.8,295.4,214.2,,4.14,4.13,4.04,4.01,4.17,,,
1,00:46.4,193.7,02:00.4,4.15,29,147,23,-63,4,37,17,154.8,303.9,37,285.3,139.8,,79,285.3,,79,76,78,76,73,,285.3,276.2,287.3,297.3,246,,4.15,4.1,4.01,4.05,4.2,,,
1,00:48.4,202,01:59.9,4.17,30,148,24,-63,7,38,19,154.1,319.4,36,290.1,142.2,,75,290.1,,75,73,77,73,75,,290.1,258.5,287.9,285.7,277.9,,4.17,4.16,4.08,4.04,4.07,,,
1,00:50.4,210.3,02:01.6,4.11,29,149,25,-61,2,39,20,161,314.9,28,289,139.6,,78,289,,78,72,77,76,74,,289,255.8,286.7,303,265.8,,4.11,4.17,4.06,4.14,4.17,,,
1,00:52.4,218.6,02:01.3,4.12,29,150,26,-62,4,38,21,154.1,304.2,30,281.3,135.9,,75,281.3,,75,76,78,77,71,,281.3,293.6,285.6,297.9,248.8,,4.12,4.11,4.11,4.17,4.19,,,
1,00:54.8,228.6,02:01.6,4.11,29,151,27,-63,4,39,19,155.1,317.5,34,294.9,140.4,,79,294.9,,79,78,75,63,75,,294.9,283.7,285.8,252.5,237.1,,4.11,4.17,4.09,4.2,4.15,,,
1,00:56.6,235.8,02:00.4,4.15,29,151,28,-63,4,39,19,156.5,300.3,37,285.2,139.8,,79,285.2,,79,79,79,79,71,,285.2,291.7,285.4,306.4,226.1,,4.15,4.12,4.08,4.03,4.11,,,
1,00:58.6,244.3,02:01.3,4.12,29,152,29,-62,4,38,16,156.3,308.5,30,288.2,139.2,,80,288.2,,80,79,68,76,69,,288.2,303.8,268.9,307.9,221.7,,4.12,4.14,4.13,4.16,4.1,,,
1,01:00.8,253.4,01:59.3,4.19,29,153,30,-61,2,35,24,149,306.7,32,253.2,126,,70,253.2,,70,77,78,79,69,,253.2,301.5,277.9,305,229.7,,4.19,4.1,4.1,4.07,4.07,,,
1,01:02.8,261.5,02:01.3,4.12,30,154,31,-63,6,37,23,144.2,289.1,33,260.8,127.8,,71,260.8,,71,80,75,78,66,,260.8,276.1,276.6,297.7,195.6,,4.12,4.19,4.12,4.13,4.1,,,
1,01:04.8,269.9,02:00.1,4.16,30,154,32,-61,2,37,17,157.6,306.3,29,280.5,137.5,,79,280.5,,79,79,78,76,67,,280.5,290.1,289.4,291.2,226.3,,4.16,4.12,4.12,4.15,4.18,,,
1,01:06.8,278.3,02:02.2,4.09,29,154,33,-61,2,36,21,152.8,297.9,31,268.7,129.8,,74,268.7,,74,82,79,66,72,,268.7,291.5,270.3,263.5,256.6,,4.09,4.13,4.18,4.13,4.11,,,
1,01:09.0,287,02:01.3,4.12,29,155,34,-62,3,36,17,148.6,302.7,29,271.5,129.2,,78,271.5,,78,82,78,75,77,,271.5,290.9,279.1,284.5,303.5,,4.12,4.09,4.24,4.08,4.16,,,
1,01:11.0,295.3,02:03.1,4.06,29,155,35,-63,5,37,17,155.2,307.7,34,280.5,139.5,,78,280.5,,78,78,78,76,75,,280.5,299.2,278.2,294.3,267.2,,4.06,4.08,4.24,4.05,4.1,,,
1,01:12.9,303.5,01:59.3,4.19,30,155,36,-62,2,38,20,158.4,308.6,31,289.7,142,,78,289.7,,78,74,77,77,75,,289.7,271.7,303.5,303.5,248,,4.19,4.07,4.13,4.12,4.11,,,
1,01:15.0,312.1,01:59.0,4.2,29,156,37,-63,4,37,21,156.1,303.6,30,283,138.7,,75,283,,75,77,81,78,66,,283,283.8,284.3,298.4,218.4,,4.2,4.07,4.17,4.08,4.05,,,
1,01:17.0,320.6,01:58.7,4.21,30,156,38,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,78,78,79,66,,303.5,286,288.8,301.7,211.5,,4.21,4.14,4.11,4.01,3.99,,,
1,01:19.1,329.2,01:58.7,4.21,29,156,39,-62,4,38,17,156.1,299,31,285.9,140.1,,79,285.9,,79,71,78,77,72,,285.9,265.8,273.9,270.9,249.4,,4.21,4.13,4.18,4.06,3.99,,,
1,01:21.2,338.1,01:59.9,4.17,29,156,40,-63,4,39,19,150.9,313.7,33,286,138.2,,79,286,,79,76,78,76,72,,286,279.3,273.2,276.6,251.8,,4.17,4.11,4.1,4.06,4.04,,,
1,01:23.2,346.6,01:58.7,4.21,30,156,41,-63,5,37,17,157.4,306.2,30,286.9,140.6,,78,286.9,,78,74,75,79,69,,286.9,292.6,272.1,282.6,249.9,,4.21,4.13,4.1,4.02,3.98,,,
1,01:25.2,355.1,01:59.0,4.2,29,157,42,-63,4,39,20,153.5,299.5,36,280.2,139.4,,78,280.2,,78,77,78,76,72,,280.2,280.9,284.3,275,257.1,,4.2,4.12,4.08,4.04,4.04,,,
1,01:27.2,363.5,01:58.4,4.22,30,157,43,-63,5,36,20,148.2,304.4,31,270.7,132.7,,74,270.7,,74,75,78,77,67,,270.7,272.3,263.6,272,220.6,,4.22,4.1,4.09,4,4.01,,,
1,01:29.4,372.6,01:59.6,4.18,29,157,44,-63,5,33,21,143.4,305.7,31,244.9,123.6,,70,244.9,,70,79,77,72,66,,244.9,290.7,303.5,253.3,198.9,,4.18,4.13,4.13,4.05,3.99,,,
1,01:31.4,380.9,02:01.6,4.11,30,157,45,-62,4,37,21,149.2,305.2,30,279,134.8,,74,279,,74,78,77,74,66,,279,268.7,273.8,263.6,223.5,,4.11,4.14,4.11,4.09,4.04,,,
1,01:33.4,389.1,02:00.4,4.15,30,158,46,-63,4,40,20,159.5,304.9,30,287.6,143.1,,79,287.6,,79,75,68,74,68,,287.6,281.9,241.7,267.1,219.1,,4.15,4.15,4.09,4.02,4.05,,,
1,01:35.4,397.5,01:59.6,4.18,29,158,47,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,77,59,77,62,,303.5,303.5,167.1,303.5,182.5,,4.18,4.13,4.1,4.08,3.96,,,
1,01:37.4,405.9,02:00.4,4.15,29,158,48,-64,5,37,17,163.1,314.9,30,297.6,145.9,,79,297.6,,79,78,56,77,60,,297.6,280.5,181.1,276.1,164.8,,4.15,4.09,4.06,4.12,3.92,,,
1,01:39.8,416,01:59.0,4.2,29.5,159,49,-63,4,36,16,150.9,310,33,284.2,137.3,,79,284.2,,79,75,77,68,59,,284.2,267.3,265,253.7,157.8,,4.2,4.14,4.08,4.11,3.96,,,
1,01:41.6,423.4,01:59.3,4.19,29,159,50,-62,4,36,18,153.3,296.9,31,275.3,139,,76,275.3,,76,73,72,71,61,,275.3,271.5,265.3,237.5,173.4,,4.19,4.1,4.05,4.06,3.89,,,
