Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
2:08.8,411 m,23,3.4,121,Time,Running,Active,39,Recovery,0 m,0:00.0,0 m,105,2:28.4,2:36.8,0 m,0:00,1,91,21,2:36.8,91,21,0:00.0,0 m
2:09.8,415 m,19,3.4,120,Time,Running,Active,39,Recovery,0 m,0:00.0,0 m,105,2:29.7,2:36.6,0 m,0:00,1,91,21,2:36.6,91,21,0:00.0,0 m
2:10.8,418 m,19,3.4,120,Time,Running,Active,39,Recovery,0 m,0:00.0,0 m,105,2:29.7,2:36.6,0 m,0:00,1,91,21,2:36.6,91,21,0:00.0,0 m
2:11.8,421 m,19,3.4,120,Time,Running,Active,39,Dwelling,0 m,0:00.0,0 m,105,2:29.7,2:36.6,0 m,0:00,1,91,21,2:36.6,91,21,0:00.0,0 m
2:12.8,424 m,18,3.3,120,Time,Running,Active,40,Recovery,0 m,0:00.0,0 m,105,2:32.4,2:36.5,0 m,0:00,1,91,22,2:36.5,91,22,0:00.0,0 m
2:13.8,428 m,18,3.3,120,Time,Running,Active,40,Recovery,0 m,0:00.0,0 m,105,2:32.4,2:36.5,0 m,0:00,1,91,22,2:36.5,91,22,0:00.0,0 m
2:14.8,431 m,18,3.3,120,Time,Running,Active,40,Driving,0 m,0:00.0,0 m,105,2:32.4,2:36.5,0 m,0:00,1,91,22,2:36.5,91,22,0:00.0,0 m
2:15.8,434 m,18,3.3,120,Time,Running,Active,41,Recovery,0 m,0:00.0,0 m,105,2:32.4,2:36.5,0 m,0:00,1,91,22,2:36.5,91,22,0:00.0,0 m
2:16.8,438 m,19,3.3,120,Time,Running,Active,41,Recovery,0 m,0:00.0,0 m,105,2:33.2,2:36.4,0 m,0:00,1,92,23,2:36.4,92,23,0:00.0,0 m
2:17.9,441 m,19,3.3,120,Time,Running,Active,41,Driving,0 m,0:00.0,0 m,105,2:33.2,2:36.4,0 m,0:00,1,92,23,2:36.4,92,23,0:00.0,0 m
2:18.9,444 m,19,3.3,122,Time,Running,Active,42,Recovery,0 m,0:00.0,0 m,105,2:33.2,2:36.4,0 m,0:00,1,92,23,2:36.4,92,23,0:00.0,0 m
2:19.9,448 m,19,3.3,121,Time,Running,Active,42,Recovery,0 m,0:00.0,0 m,105,2:30.3,2:36.2,0 m,0:00,1,92,23,2:36.2,92,23,0:00.0,0 m
2:20.9,451 m,19,3.3,119,Time,Running,Active,42,Driving,0 m,0:00.0,0 m,105,2:30.3,2:36.2,0 m,0:00,1,92,23,2:36.2,92,23,0:00.0,0 m
2:21.9,455 m,19,3.3,118,Time,Running,Active,43,Recovery,0 m,0:00.0,0 m,105,2:30.3,2:36.2,0 m,0:00,1,92,23,2:36.2,92,23,0:00.0,0 m
2:22.9,458 m,20,3.4,118,Time,Running,Active,43,Recovery,0 m,0:00.0,0 m,105,2:29.3,2:36.1,0 m,0:00,1,92,24,2:36.1,92,24,0:00.0,0 m
2:23.9,461 m,20,3.4,120,Time,Running,Active,43,Driving,0 m,0:00.0,0 m,105,2:29.3,2:36.1,0 m,0:00,1,92,24,2:36.1,92,24,0:00.0,0 m
2:24.9,465 m,20,3.4,122,Time,Running,Active,44,Recovery,0 m,0:00.0,0 m,105,2:29.3,2:36.1,0 m,0:00,1,92,24,2:36.1,92,24,0:00.0,0 m
2:25.9,468 m,19,3.4,123,Time,Running,Active,44,Recovery,0 m,0:00.0,0 m,105,2:29.0,2:35.9,0 m,0:00,1,93,24,2:35.9,93,24,0:00.0,0 m
2:26.9,471 m,19,3.4,125,Time,Running,Active,44,Recovery,0 m,0:00.0,0 m,105,2:29.0,2:35.9,0 m,0:00,1,93,24,2:35.9,93,24,0:00.0,0 m
2:27.9,475 m,19,3.4,126,Time,Running,Active,45,Recovery,0 m,0:00.0,0 m,105,2:29.0,2:35.9,0 m,0:00,1,93,24,2:35.9,93,24,0:00.0,0 m
2:28.9,478 m,18,3.3,126,Time,Running,Active,45,Recovery,0 m,0:00.0,0 m,105,2:29.9,2:35.7,0 m,0:00,1,93,25,2:35.7,93,25,0:00.0,0 m
2:29.9,481 m,18,3.3,127,Time,Running,Active,45,Recovery,0 m,0:00.0,0 m,105,2:29.9,2:35.7,0 m,0:00,1,93,25,2:35.7,93,25,0:00.0,0 m
2:30.9,485 m,18,3.3,127,Time,Running,Active,46,Recovery,0 m,0:00.0,0 m,105,2:29.9,2:35.7,0 m,0:00,1,93,25,2:35.7,93,25,0:00.0,0 m
2:31.9,488 m,19,3.3,126,Time,Running,Active,46,Recovery,0 m,0:00.0,0 m,105,2:30.6,2:35.6,0 m,0:00,1,93,25,2:35.6,93,25,0:00.0,0 m
2:32.9,491 m,19,3.3,127,Time,Running,Active,46,Recovery,0 m,0:00.0,0 m,105,2:30.6,2:35.6,0 m,0:00,1,93,25,2:35.6,93,25,0:00.0,0 m
2:34.0,495 m,19,3.3,127,Time,Running,Active,46,Driving,0 m,0:00.0,0 m,105,2:30.6,2:35.6,0 m,0:00,1,93,25,2:35.6,93,25,0:00.0,0 m
2:34.9,498 m,19,3.3,126,Time,Running,Active,47,Recovery,0 m,0:00.0,0 m,105,2:30.6,2:35.6,0 m,0:00,1,93,25,2:35.6,93,25,0:00.0,0 m
2:36.0,502 m,18,3.4,127,Time,Running,Active,47,Recovery,0 m,0:00.0,0 m,105,2:29.6,2:35.5,0 m,0:00,1,93,26,2:35.5,93,26,0:00.0,0 m
2:37.0,505 m,18,3.4,128,Time,Running,Active,47,Driving,0 m,0:00.0,0 m,105,2:29.6,2:35.5,0 m,0:00,1,93,26,2:35.5,93,26,0:00.0,0 m
2:38.0,508 m,18,3.4,126,Time,Running,Active,48,Recovery,0 m,0:00.0,0 m,105,2:29.6,2:35.5,0 m,0:00,1,93,26,2:35.5,93,26,0:00.0,0 m
2:39.0,512 m,20,3.4,126,Time,Running,Active,48,Recovery,0 m,0:00.0,0 m,105,2:29.4,2:35.3,0 m,0:00,1,93,27,2:35.3,93,27,0:00.0,0 m
2:40.0,515 m,20,3.4,126,Time,Running,Active,48,Dwelling,0 m,0:00.0,0 m,105,2:29.4,2:35.3,0 m,0:00,1,93,27,2:35.3,93,27,0:00.0,0 m
2:41.0,519 m,20,3.4,126,Time,Running,Active,49,Recovery,0 m,0:00.0,0 m,105,2:28.8,2:35.2,0 m,0:00,1,94,27,2:35.2,94,27,0:00.0,0 m
2:42.0,522 m,20,3.4,126,Time,Running,Active,49,Recovery,0 m,0:00.0,0 m,105,2:28.8,2:35.2,0 m,0:00,1,94,27,2:35.2,94,27,0:00.0,0 m
2:43.0,525 m,20,3.4,125,Time,Running,Active,49,Driving,0 m,0:00.0,0 m,105,2:28.8,2:35.2,0 m,0:00,1,94,27,2:35.2,94,27,0:00.0,0 m
2:44.0,529 m,20,3.4,125,Time,Running,Active,50,Recovery,0 m,0:00.0,0 m,105,2:28.8,2:35.2,0 m,0:00,1,94,27,2:35.2,94,27,0:00.0,0 m
2:45.0,532 m,20,3.4,126,Time,Running,Active,50,Recovery,0 m,0:00.0,0 m,105,2:28.2,2:35.1,0 m,0:00,1,94,28,2:35.1,94,28,0:00.0,0 m
2:46.0,535 m,20,3.4,127,Time,Running,Active,50,Driving,0 m,0:00.0,0 m,105,2:28.2,2:35.1,0 m,0:00,1,94,28,2:35.1,94,28,0:00.0,0 m
2:47.0,539 m,20,3.4,127,Time,Running,Active,51,Recovery,0 m,0:00.0,0 m,105,2:28.2,2:35.1,0 m,0:00,1,94,28,2:35.1,94,28,0:00.0,0 m
2:48.0,542 m,19,3.3,126,Time,Running,Active,51,Recovery,0 m,0:00.0,0 m,105,2:31.7,2:35.0,0 m,0:00,1,94,28,2:35.0,94,28,0:00.0,0 m
2:49.0,545 m,19,3.3,126,Time,Running,Active,51,Driving,0 m,0:00.0,0 m,105,2:31.7,2:35.0,0 m,0:00,1,94,28,2:35.0,94,28,0:00.0,0 m
2:50.0,549 m,19,3.3,127,Time,Running,Active,52,Recovery,0 m,0:00.0,0 m,105,2:31.7,2:35.0,0 m,0:00,1,94,28,2:35.0,94,28,0:00.0,0 m
2:51.0,552 m,20,3.3,127,Time,Running,Active,52,Recovery,0 m,0:00.0,0 m,105,2:31.3,2:34.9,0 m,0:00,1,94,29,2:34.9,94,29,0:00.0,0 m
2:52.0,555 m,20,3.3,127,Time,Running,Active,52,Driving,0 m,0:00.0,0 m,105,2:31.3,2:34.9,0 m,0:00,1,94,29,2:34.9,94,29,0:00.0,0 m
2:53.0,559 m,20,3.3,127,Time,Running,Active,53,Recovery,0 m,0:00.0,0 m,105,2:31.3,2:34.9,0 m,0:00,1,94,29,2:34.9,94,29,0:00.0,0 m
2:54.0,562 m,19,3.3,126,Time,Running,Active,53,Recovery,0 m,0:00.0,0 m,105,2:30.8,2:34.8,0 m,0:00,1,94,29,2:34.8,94,29,0:00.0,0 m
2:55.1,565 m,19,3.3,125,Time,Running,Active,53,Driving,0 m,0:00.0,0 m,105,2:30.8,2:34.8,0 m,0:00,1,94,29,2:34.8,94,29,0:00.0,0 m
2:56.1,569 m,19,3.3,125,Time,Running,Active,54,Recovery,0 m,0:00.0,0 m,105,2:30.8,2:34.8,0 m,0:00,1,94,29,2:34.8,94,29,0:00.0,0 m
2:57.1,572 m,18,3.3,125,Time,Running,Active,54,Recovery,0 m,0:00.0,0 m,105,2:30.9,2:34.7,0 m,0:00,1,95,30,2:34.7,95,30,0:00.0,0 m
2:58.1,575 m,18,3.3,125,Time,Running,Active,54,Recovery,0 m,0:00.0,0 m,105,2:30.9,2:34.7,0 m,0:00,1,95,30,2:34.7,95,30,0:00.0,0 m
2:59.1,579 m,18,3.3,125,Time,Running,Active,54,Dwelling,0 m,0:00.0,0 m,105,2:30.9,2:34.7,0 m,0:00,1,95,30,2:34.7,95,30,0:00.0,0 m
3:00.1,582 m,18,3.3,125,Time,Running,Active,55,Recovery,0 m,0:00.0,0 m,105,2:31.8,2:34.7,0 m,0:00,1,95,31,2:34.7,95,31,0:00.0,0 m
3:01.1,585 m,18,3.3,125,Time,Running,Active,55,Recovery,0 m,0:00.0,0 m,105,2:31.8,2:34.7,0 m,0:00,1,95,31,2:34.7,95,31,0:00.0,0 m
3:02.1,589 m,18,3.3,125,Time,Running,Active,55,Driving,0 m,0:00.0,0 m,105,2:31.8,2:34.7,0 m,0:00,1,95,31,2:34.7,95,31,0:00.0,0 m
3:03.1,592 m,18,3.3,125,Time,Running,Active,56,Recovery,0 m,0:00.0,0 m,105,2:31.8,2:34.7,0 m,0:00,1,95,31,2:34.7,95,31,0:00.0,0 m
3:04.1,595 m,18,3.3,125,Time,Running,Active,56,Recovery,0 m,0:00.0,0 m,105,2:31.8,2:34.6,0 m,0:00,1,95,31,2:34.6,95,31,0:00.0,0 m
3:05.1,598 m,18,3.3,125,Time,Running,Active,56,Driving,0 m,0:00.0,0 m,105,2:31.8,2:34.6,0 m,0:00,1,95,31,2:34.6,95,31,0:00.0,0 m
3:06.1,602 m,18,3.3,125,Time,Running,Active,57,Recovery,0 m,0:00.0,0 m,105,2:31.8,2:34.6,0 m,0:00,1,95,31,2:34.6,95,31,0:00.0,0 m
3:07.1,605 m,19,3.3,125,Time,Running,Active,57,Recovery,0 m,0:00.0,0 m,105,2:31.3,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:08.1,609 m,19,3.3,126,Time,Running,Active,57,Driving,0 m,0:00.0,0 m,105,2:31.3,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:09.1,612 m,19,3.3,125,Time,Running,Active,58,Recovery,0 m,0:00.0,0 m,105,2:31.3,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:10.1,615 m,20,3.3,123,Time,Running,Active,58,Recovery,0 m,0:00.0,0 m,105,2:29.9,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:11.2,619 m,20,3.3,123,Time,Running,Active,58,Driving,0 m,0:00.0,0 m,105,2:29.9,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:12.2,622 m,20,3.3,122,Time,Running,Active,59,Recovery,0 m,0:00.0,0 m,104,2:29.9,2:34.5,0 m,0:00,1,95,32,2:34.5,95,32,0:00.0,0 m
3:13.2,625 m,19,3.3,122,Time,Running,Active,59,Recovery,0 m,0:00.0,0 m,104,2:32.7,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:14.2,628 m,19,3.3,121,Time,Running,Active,59,Driving,0 m,0:00.0,0 m,104,2:32.7,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:15.2,632 m,19,3.3,120,Time,Running,Active,60,Recovery,0 m,0:00.0,0 m,105,2:32.7,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:16.2,635 m,21,3.3,119,Time,Running,Active,60,Recovery,0 m,0:00.0,0 m,105,2:34.2,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:17.2,638 m,21,3.3,119,Time,Running,Active,60,Driving,0 m,0:00.0,0 m,105,2:34.2,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:18.2,642 m,21,3.3,118,Time,Running,Active,61,Recovery,0 m,0:00.0,0 m,106,2:34.2,2:34.4,0 m,0:00,1,95,33,2:34.4,95,33,0:00.0,0 m
3:19.2,645 m,23,3.2,116,Time,Running,Active,61,Recovery,0 m,0:00.0,0 m,106,2:36.8,2:34.4,0 m,0:00,1,95,34,2:34.4,95,34,0:00.0,0 m
3:20.2,648 m,23,3.2,116,Time,Running,Active,61,Recovery,0 m,0:00.0,0 m,105,2:36.8,2:34.4,0 m,0:00,1,95,34,2:34.4,95,34,0:00.0,0 m
3:21.2,652 m,22,3.4,116,Time,Running,Active,62,Recovery,0 m,0:00.0,0 m,105,2:27.7,2:34.3,0 m,0:00,1,95,34,2:34.3,95,34,0:00.0,0 m
3:22.2,655 m,22,3.4,116,Time,Running,Active,62,Recovery,0 m,0:00.0,0 m,105,2:27.7,2:34.3,0 m,0:00,1,95,34,2:34.3,95,34,0:00.0,0 m
3:23.2,658 m,22,3.4,116,Time,Running,Active,63,Recovery,0 m,0:00.0,0 m,104,2:27.7,2:34.3,0 m,0:00,1,95,34,2:34.3,95,34,0:00.0,0 m
3:24.2,662 m,21,3.3,116,Time,Running,Active,63,Recovery,0 m,0:00.0,0 m,104,2:31.3,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:25.2,665 m,21,3.3,116,Time,Running,Active,63,Recovery,0 m,0:00.0,0 m,104,2:31.3,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:26.2,668 m,21,3.3,115,Time,Running,Active,63,Dwelling,0 m,0:00.0,0 m,104,2:31.3,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:27.2,671 m,19,3.2,116,Time,Running,Active,64,Recovery,0 m,0:00.0,0 m,104,2:38.8,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:28.2,674 m,19,3.2,116,Time,Running,Active,64,Recovery,0 m,0:00.0,0 m,104,2:38.8,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:29.2,678 m,19,3.2,116,Time,Running,Active,64,Dwelling,0 m,0:00.0,0 m,105,2:38.8,2:34.3,0 m,0:00,1,95,35,2:34.3,95,35,0:00.0,0 m
3:30.3,681 m,20,3.3,117,Time,Running,Active,65,Recovery,0 m,0:00.0,0 m,105,2:33.7,2:34.3,0 m,0:00,1,95,36,2:34.3,95,36,0:00.0,0 m
3:31.2,684 m,20,3.3,117,Time,Running,Active,65,Recovery,0 m,0:00.0,0 m,105,2:33.7,2:34.3,0 m,0:00,1,95,36,2:34.3,95,36,0:00.0,0 m
3:32.3,687 m,20,3.3,119,Time,Running,Active,65,Driving,0 m,0:00.0,0 m,105,2:33.7,2:34.3,0 m,0:00,1,95,36,2:34.3,95,36,0:00.0,0 m
3:33.3,691 m,20,3.3,119,Time,Running,Active,66,Recovery,0 m,0:00.0,0 m,105,2:33.7,2:34.3,0 m,0:00,1,95,36,2:34.3,95,36,0:00.0,0 m
3:34.3,694 m,19,3.3,119,Time,Running,Active,66,Recovery,0 m,0:00.0,0 m,105,2:33.1,2:34.3,0 m,0:00,1,95,37,2:34.3,95,37,0:00.0,0 m
3:35.3,697 m,19,3.3,120,Time,Running,Active,66,Driving,0 m,0:00.0,0 m,105,2:33.1,2:34.3,0 m,0:00,1,95,37,2:34.3,95,37,0:00.0,0 m
3:36.3,701 m,19,3.3,120,Time,Running,Active,67,Recovery,0 m,0:00.0,0 m,104,2:33.1,2:34.3,0 m,0:00,1,95,37,2:34.3,95,37,0:00.0,0 m
3:37.3,704 m,19,3.3,121,Time,Running,Active,67,Recovery,0 m,0:00.0,0 m,104,2:31.1,2:34.2,0 m,0:00,1,95,37,2:34.2,95,37,0:00.0,0 m
3:38.3,708 m,19,3.3,122,Time,Running,Active,67,Driving,0 m,0:00.0,0 m,104,2:31.1,2:34.2,0 m,0:00,1,95,37,2:34.2,95,37,0:00.0,0 m
3:39.3,711 m,19,3.3,122,Time,Running,Active,68,Recovery,0 m,0:00.0,0 m,104,2:31.1,2:34.2,0 m,0:00,1,95,37,2:34.2,95,37,0:00.0,0 m
3:40.3,715 m,19,3.4,122,Time,Running,Active,68,Recovery,0 m,0:00.0,0 m,104,2:27.8,2:34.1,0 m,0:00,1,96,38,2:34.1,96,38,0:00.0,0 m
3:41.3,718 m,19,3.4,122,Time,Running,Active,68,Recovery,0 m,0:00.0,0 m,104,2:27.8,2:34.1,0 m,0:00,1,96,38,2:34.1,96,38,0:00.0,0 m
3:42.3,722 m,19,3.4,122,Time,Running,Active,69,Recovery,0 m,0:00.0,0 m,105,2:27.8,2:34.1,0 m,0:00,1,96,38,2:34.1,96,38,0:00.0,0 m
3:43.3,725 m,19,3.5,123,Time,Running,Active,69,Recovery,0 m,0:00.0,0 m,105,2:24.5,2:34.0,0 m,0:00,1,96,38,2:34.0,96,38,0:00.0,0 m
3:44.3,729 m,19,3.5,123,Time,Running,Active,69,Recovery,0 m,0:00.0,0 m,105,2:24.5,2:34.0,0 m,0:00,1,96,38,2:34.0,96,38,0:00.0,0 m
3:45.3,732 m,19,3.5,123,Time,Running,Active,69,Dwelling,0 m,0:00.0,0 m,105,2:24.5,2:34.0,0 m,0:00,1,96,38,2:34.0,96,38,0:00.0,0 m
3:46.3,736 m,19,3.5,123,Time,Running,Active,70,Recovery,0 m,0:00.0,0 m,105,2:25.4,2:33.8,0 m,0:00,1,96,39,2:33.8,96,39,0:00.0,0 m
3:47.3,739 m,19,3.5,123,Time,Running,Active,70,Recovery,0 m,0:00.0,0 m,105,2:25.4,2:33.8,0 m,0:00,1,96,39,2:33.8,96,39,0:00.0,0 m
3:48.3,742 m,19,3.5,123,Time,Running,Active,70,Driving,0 m,0:00.0,0 m,105,2:25.4,2:33.8,0 m,0:00,1,96,39,2:33.8,96,39,0:00.0,0 m
3:49.3,746 m,19,3.5,123,Time,Running,Active,71,Recovery,0 m,0:00.0,0 m,105,2:25.4,2:33.8,0 m,0:00,1,96,39,2:33.8,96,39,0:00.0,0 m
3:50.3,749 m,19,3.4,123,Time,Running,Active,71,Recovery,0 m,0:00.0,0 m,105,2:26.4,2:33.7,0 m,0:00,1,96,40,2:33.7,96,40,0:00.0,0 m
3:51.4,753 m,19,3.4,123,Time,Running,Active,71,Dwelling,0 m,0:00.0,0 m,105,2:26.4,2:33.7,0 m,0:00,1,96,40,2:33.7,96,40,0:00.0,0 m
3:52.4,756 m,21,3.4,123,Time,Running,Active,72,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:33.6,0 m,0:00,1,97,40,2:33.6,97,40,0:00.0,0 m
3:53.4,760 m,21,3.4,122,Time,Running,Active,72,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:33.6,0 m,0:00,1,97,40,2:33.6,97,40,0:00.0,0 m
3:54.4,763 m,21,3.4,122,Time,Running,Active,72,Driving,0 m,0:00.0,0 m,105,2:26.2,2:33.6,0 m,0:00,1,97,40,2:33.6,97,40,0:00.0,0 m
3:55.4,767 m,21,3.4,122,Time,Running,Active,73,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:33.6,0 m,0:00,1,97,40,2:33.6,97,40,0:00.0,0 m
3:56.4,770 m,20,3.4,122,Time,Running,Active,73,Recovery,0 m,0:00.0,0 m,105,2:27.7,2:33.5,0 m,0:00,1,97,41,2:33.5,97,41,0:00.0,0 m
3:57.4,773 m,20,3.4,123,Time,Running,Active,73,Recovery,0 m,0:00.0,0 m,105,2:27.7,2:33.5,0 m,0:00,1,97,41,2:33.5,97,41,0:00.0,0 m
3:58.4,777 m,21,3.4,123,Time,Running,Active,74,Recovery,0 m,0:00.0,0 m,105,2:26.1,2:33.4,0 m,0:00,1,97,41,2:33.4,97,41,0:00.0,0 m
3:59.4,780 m,21,3.4,123,Time,Running,Active,74,Recovery,0 m,0:00.0,0 m,105,2:26.1,2:33.4,0 m,0:00,1,97,41,2:33.4,97,41,0:00.0,0 m
4:00.4,784 m,21,3.4,125,Time,Running,Active,74,Dwelling,0 m,0:00.0,0 m,105,2:26.1,2:33.4,0 m,0:00,1,97,41,2:33.4,97,41,0:00.0,0 m
4:01.4,787 m,20,3.4,125,Time,Running,Active,75,Recovery,0 m,0:00.0,0 m,105,2:29.1,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:02.4,790 m,20,3.4,126,Time,Running,Active,75,Recovery,0 m,0:00.0,0 m,105,2:29.1,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:03.4,793 m,20,3.4,126,Time,Running,Active,75,Driving,0 m,0:00.0,0 m,105,2:29.1,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:04.4,797 m,20,3.4,126,Time,Running,Active,76,Recovery,0 m,0:00.0,0 m,104,2:29.1,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:05.4,800 m,16,3.3,126,Time,Running,Active,76,Recovery,0 m,0:00.0,0 m,104,2:34.2,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:06.4,803 m,16,3.3,126,Time,Running,Active,76,Recovery,0 m,0:00.0,0 m,104,2:34.2,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:07.5,806 m,16,3.3,126,Time,Running,Active,76,Driving,0 m,0:00.0,0 m,104,2:34.2,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:08.5,809 m,16,3.3,126,Time,Running,Active,77,Recovery,0 m,0:00.0,0 m,105,2:34.2,2:33.4,0 m,0:00,1,97,42,2:33.4,97,42,0:00.0,0 m
4:09.5,813 m,15,3.1,126,Time,Running,Active,77,Recovery,0 m,0:00.0,0 m,105,2:40.1,2:33.5,0 m,0:00,1,97,43,2:33.5,97,43,0:00.0,0 m
4:10.5,816 m,15,3.1,125,Time,Running,Active,77,Recovery,0 m,0:00.0,0 m,105,2:40.1,2:33.5,0 m,0:00,1,97,43,2:33.5,97,43,0:00.0,0 m
4:11.5,819 m,15,3.1,125,Time,Running,Active,77,Driving,0 m,0:00.0,0 m,105,2:40.1,2:33.5,0 m,0:00,1,97,43,2:33.5,97,43,0:00.0,0 m
4:12.5,822 m,15,3.1,125,Time,Running,Active,78,Recovery,0 m,0:00.0,0 m,105,2:40.1,2:33.5,0 m,0:00,1,97,43,2:33.5,97,43,0:00.0,0 m
4:13.5,825 m,16,3.1,125,Time,Running,Active,78,Recovery,0 m,0:00.0,0 m,105,2:40.0,2:33.6,0 m,0:00,1,97,44,2:33.6,97,44,0:00.0,0 m
4:14.5,828 m,16,3.1,125,Time,Running,Active,78,Recovery,0 m,0:00.0,0 m,105,2:40.0,2:33.6,0 m,0:00,1,97,44,2:33.6,97,44,0:00.0,0 m
4:15.5,831 m,16,3.1,125,Time,Running,Active,78,Dwelling,0 m,0:00.0,0 m,105,2:40.0,2:33.6,0 m,0:00,1,97,44,2:33.6,97,44,0:00.0,0 m
4:16.5,834 m,16,3.1,123,Time,Running,Active,79,Recovery,0 m,0:00.0,0 m,105,2:41.7,2:33.7,0 m,0:00,1,97,44,2:33.7,97,44,0:00.0,0 m
4:17.5,837 m,16,3.1,123,Time,Running,Active,79,Recovery,0 m,0:00.0,0 m,105,2:41.7,2:33.7,0 m,0:00,1,97,44,2:33.7,97,44,0:00.0,0 m
4:18.5,840 m,16,3.1,123,Time,Running,Active,79,Recovery,0 m,0:00.0,0 m,105,2:41.7,2:33.7,0 m,0:00,1,97,44,2:33.7,97,44,0:00.0,0 m
4:19.5,843 m,16,3.1,123,Time,Running,Active,80,Recovery,0 m,0:00.0,0 m,105,2:41.7,2:33.7,0 m,0:00,1,97,44,2:33.7,97,44,0:00.0,0 m
4:20.5,847 m,15,3.1,123,Time,Running,Active,80,Recovery,0 m,0:00.0,0 m,105,2:43.5,2:33.8,0 m,0:00,1,96,45,2:33.8,96,45,0:00.0,0 m
4:21.5,850 m,15,3.1,122,Time,Running,Active,80,Recovery,0 m,0:00.0,0 m,105,2:43.5,2:33.8,0 m,0:00,1,96,45,2:33.8,96,45,0:00.0,0 m
4:22.5,853 m,15,3.1,122,Time,Running,Active,80,Driving,0 m,0:00.0,0 m,105,2:43.5,2:33.8,0 m,0:00,1,96,45,2:33.8,96,45,0:00.0,0 m
4:23.5,856 m,15,3.1,122,Time,Running,Active,81,Recovery,0 m,0:00.0,0 m,105,2:43.5,2:33.8,0 m,0:00,1,96,45,2:33.8,96,45,0:00.0,0 m
4:24.5,859 m,16,3.1,122,Time,Running,Active,81,Recovery,0 m,0:00.0,0 m,105,2:42.3,2:33.9,0 m,0:00,1,96,46,2:33.9,96,46,0:00.0,0 m
4:25.5,862 m,16,3.1,121,Time,Running,Active,81,Recovery,0 m,0:00.0,0 m,105,2:42.3,2:33.9,0 m,0:00,1,96,46,2:33.9,96,46,0:00.0,0 m
4:26.5,865 m,16,3.1,121,Time,Running,Active,81,Driving,0 m,0:00.0,0 m,105,2:42.3,2:33.9,0 m,0:00,1,96,46,2:33.9,96,46,0:00.0,0 m
4:27.5,869 m,16,3.1,121,Time,Running,Active,82,Recovery,0 m,0:00.0,0 m,105,2:42.3,2:33.9,0 m,0:00,1,96,46,2:33.9,96,46,0:00.0,0 m
4:28.5,872 m,16,3.1,121,Time,Running,Active,82,Recovery,0 m,0:00.0,0 m,105,2:40.0,2:34.0,0 m,0:00,1,96,46,2:34.0,96,46,0:00.0,0 m
4:29.5,875 m,16,3.1,122,Time,Running,Active,82,Recovery,0 m,0:00.0,0 m,105,2:40.0,2:34.0,0 m,0:00,1,96,46,2:34.0,96,46,0:00.0,0 m
4:30.6,878 m,16,3.1,124,Time,Running,Active,82,Dwelling,0 m,0:00.0,0 m,105,2:40.0,2:34.0,0 m,0:00,1,96,46,2:34.0,96,46,0:00.0,0 m
4:31.6,881 m,17,3.2,123,Time,Running,Active,83,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.0,0 m,0:00,1,96,47,2:34.0,96,47,0:00.0,0 m
4:32.5,884 m,17,3.2,123,Time,Running,Active,83,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.0,0 m,0:00,1,96,47,2:34.0,96,47,0:00.0,0 m
