Quiske,http://quiskepreprod.azurewebsites.net/#/sessions/1614/sessiondetails,,,,,,,,,,,
timestamp(s),distance(m),SPM (strokes per minute),speed (m/s),latitude,longitude,stroke angle (deg),max drive speed (deg/s),max seat speed (m/s),max seat recovery speed (m/s),boat accelerator curve,oar angle velocity curve,seat curve
1495348433,2.532582149,22,1.01,60.40365325,60.40365325,58.77,35.12,,,"-0.139658959427307,-0.117221570960581,-0.101111878663965,-0.0911628156477774,-0.10073311332189,-0.0599118716527204,-0.0893000671024726,-0.0956223658392804,-0.0917944580017942,-0.0940459544520979,-0.087403190977999,-0.0802800717591715,-0.038054860402256,0.","-2.27614333455845,-2.43456291942586,-2.33729208212418,-1.44126945365763,2.51729462340252,6.26368057815956,10.1882803975195,14.149461890621,17.7730977276223,21.2073122116182,24.2511982409152,27.0315818401264,29.4399531816152,31.3290032815642,33.05537562177",
1495348438,13.84987207,25,2.79,60.40374327,60.40374327,93.01,118.18,,,"-0.527871425782965,-0.519401301843737,-0.488684791438524,-0.430719224256377,-0.336843975123298,-0.24283166737284,-0.127694902771275,-0.0224185105872297,0.0541309419785881,0.105775161264537,0.161763595769539,0.191280713133954,0.197516092929949,0.1883061066","7.72814004113624,13.5819344530816,20.6066773650252,28.4823557144589,37.6376995564028,46.8955238970663,54.493678868908,60.0991138847008,64.2615727073798,66.9704821758906,68.4162062612772,68.985607678034,68.7750190953242,68.0805739416597,67.4984899075927,67.0876830089774,67.0681764936237,67.4766953711798,68.1624945325023,69.0922003068858,70.1097329961674,71.3048967897082,72.6962532180659,74.3383942336651,76.1243566071923,77.9229498862169,79.6820503070827,81.4622249341556,83.2813817358766,85.0784770099365,86.853476710768,88.6351493428056,90.4730992977194,92.378459476042,94.3069025490472,96.16187528765,97.8774314278392,99.500349579192,101.074071885683,102.59655561327,104.058506322059,105.490633113824,107.003209581304,108.67648112681,110.452093647854,112.120326449387,113.524059237959,114.817824843899,116.054496033346,117.133161744591,117.926900102447,118.157048137924,118.005409180821,117.902353248367,117.898744418225,117.853872360421,117.563974354195,117.097107488737,116.470328593304,115.843856107977,115.066970305973,114.083802411225,112.948961513806,111.757945430214,110.616499692724,109.596222129533,108.790635914229,108.045208216483,107.200605780964,106.119863290109,104.872025154562,103.298336893638,101.249236329845,99.5578412946514,97.5023184258535,94.6480399833055,90.685713007812,85.6033963060071,79.5229926139648,73.1262497332822,66.2095898481431,59.6645288623906,53.185922671541,47.4690214509506,41.8970573726172,36.541480339099,30.7400449513308,24.1886323582634,17.586429004888,13.857723600365,8.19555991671239,2.79765028604605,-2.28458814291903,-7.89934510525714,-13.7253952226398,-17.1453141463375,-24.1280999170195,-30.2074464231755,-34.3733121178231,-38.6225901921692,-42.6432198608229,-45.7248913467072,-48.8373198919022,-51.667938895537,-54.159712568557,-56.3276768212092,-58.4156312455679,-60.3746999282401,-61.9606159254452,-63.3647784497908,-64.6177706592945,-65.6056295972729,-66.5259217481614,-67.3649420596325,-67.9939552288702,-68.5880311835377,-69.1792982129151,-69.7155927652102,-70.3090292974609,-70.9335453825229,-71.5027050448137,-72.0339741554645,-72.5695143320379,-73.0342688669985,-73.4586428208428,-73.8595315957568,-74.1389545645497,-74.3335574880367,-74.4890765567195,-74.5768036638314,-74.6387786620432,-74.7589787233196,-74.8120526590517,-74.8150896202544,-74.8430841398573,-74.8610158117455,-74.8428089242315,-74.8593770048685,-74.9891653797769,-75.0859650655755,-75.251241074989,-75.6005264946574,-76.0387872555935,-76.5511030030383,-77.2939428985237,-78.1257449119716,-79.0653987577901,-80.125642312313,-81.2081412134708,-82.2881388002267,-83.5065555406675,-84.7403448137314,-85.9831977340436,-87.2456432404652,-88.6166315677732,-90.1343892922837,-91.6716678661593,-93.267657320146,-94.9056154273618,-96.5801529392389,-98.2281403314645,-99.8194490682481,-101.380659510811,-102.904747000761,-104.329324537361,-105.659666995904,-106.895260690346,-108.002268342242,-109.011543424724,-109.866430714101,-110.588646489142,-111.241386635004,-111.568240020353,-111.40061673281,-111.099732746752,-110.769708869206,-109.782231984846,-108.010757916079,-105.857035416326,-103.832292537815,-101.487002769781,-98.5583861487349,-95.0475044299938,-91.4827858041822,-88.1422561726702,-84.3429219661933,-79.99489269742,-75.9927619528669,-71.6227118583489,-68.4953953472262,-66.9263753412415,-64.9651388509288,-61.5824053217956,-57.1173972512758,-51.8854446844265,-46.0091200474913,-39.4507402512763,-30.4774752863423,-21.3021081411903,-12.6377184129461",
1495348440,25.07178894,25,3.553333333,60.40380479,60.40380479,94.47,127.36,,,"-0.601855820961532,-0.53421529846963,-0.481954690949155,-0.436868930945094,-0.369355636976727,-0.285634157756602,-0.187402421542769,-0.0930384155712685,0.00195043678163879,0.0962361335463085,0.158841568297531,0.213920858311846,0.240813645853794,0.26092229","-19.0692551910346,-20.6417958027894,-20.9930581045007,-19.5339267522897,-12.4959877861413,-2.95741568140428,7.36138913475789,18.2784834086685,29.1351235252367,39.5486920143827,49.0266666154094,57.2316892748067,63.8593748924556,68.660206239633,71.599035213",
1495348443,32.61392511,26,3.68,60.40390043,60.40390043,96.74,129.36,,,"-0.557784434686524,-0.554597364174348,-0.491905621552248,-0.399578439583453,-0.289230182577333,-0.176413410497691,-0.0840444503274158,-0.00188152607743937,0.0773218207719032,0.155914972131145,0.2135100437812,0.227377468395723,0.239344663068343,0.244193701","24.0406219684889,33.4597249648391,43.6683675324684,54.1109764316048,62.6420417168337,68.9131596652805,73.6508298337433,76.3344475602843,77.5083916459102,77.6144234130802,77.1418799713661,76.6166982489227,76.2752869348345,76.1092571409797,76.2323559691919,76.8396533765738,77.9826317658309,79.4496294364871,81.0002242368629,82.6194889466406,84.4039814908451,86.3873870234346,88.5314218908848,90.7723962285116,93.0475863613536,95.2734902524826,97.4089280271772,99.4264096507571,101.325851770281,103.13752559109,104.870270046864,106.535117075421,108.19584811228,109.91706873049,111.672587322871,113.398814987455,115.054209088132,116.673204955326,118.29964623591,119.913764195088,121.452262253179,122.833216209204,124.095832468963,125.303171641136,126.379307414529,127.269004965018,128.038134247585,128.651212737112,129.067845954895,129.317457489047,129.307788547911,129.077988012019,128.731871382171,128.139518425282,127.149478021864,125.864410471396,124.521162568235,123.160956450563,121.845278413067,120.52929513945,119.211715246122,117.904656607098,116.612197646554,115.3293324921,114.049465695546,112.726625175065,111.255711090175,109.293204840016,107.028074585342,104.852119869097,102.091509724395,98.4228481095541,93.6901024740078,87.9599550004094,81.3991239212335,74.9083417029676,68.8024694866963,62.2436067812741,55.6996199944248,49.3749155464032,43.4011261807091,36.9547746156351,29.2335884057634,20.1183709953022,13.9378912527021,8.65384469219659,2.62960895156191,-3.198749246543,-9.45812054208513,-15.4652205537619,-19.2629447779613,-23.6891822192707,-31.3377762885755,-36.2627703787159,-40.6079255217865,-44.8263496137537,-48.3933375127243,-51.3342114058762,-54.2382670619013,-56.8934535172292,-59.4516933846621,-61.9296640208284,-64.2111376954691,-66.3529089538986,-68.3669172303331,-70.3987722052212,-72.3051802914019,-74.0006177100641,-75.4005159496951,-76.5977279092684,-77.7778243349938,-78.8897784337063,-79.8755911858593,-80.857958701958,-81.4891867145664,-82.0434507455744,-83.0515188550808,-83.6866327643504,-83.9676726526967,-84.2525494972234,-84.2841813612492,-84.0112007141883,-83.9451798935782,-83.6889190912827,-83.1621456190003,-82.7114513121573,-82.4216120155963,-82.2414217136136,-82.1922456979553,-82.3957799049249,-82.6557649214752,-82.9896314193548,-83.548379794978,-84.1677398495708,-84.6972252238754,-85.2105620040789,-85.7394095364952,-86.3358046796723,-86.9467536501942,-87.5895818175454,-88.4253332269984,-89.3098070951505,-90.2975711654377,-91.4800681134261,-92.763812767788,-94.0493945267198,-95.4461317450087,-96.9192913261404,-98.402276503753,-99.865249162868,-101.31066287792,-102.735311592801,-104.073840482068,-105.328786473956,-106.469415889392,-107.456872555754,-108.338237598286,-109.170076326313,-109.922546781522,-110.628107830945,-111.314109489075,-111.960651871178,-112.463212490207,-112.824530260512,-113.058430201748,-113.26059715905,-113.103278850099,-112.4635034519,-111.690263352718,-110.697210606157,-109.272146130725,-107.400114452465,-105.301512834591,-102.879612228144,-100.117849102037,-96.6523671663558,-92.8876958892496,-89.3607886946503,-85.6717962015159,-81.5603801572619,-77.2639219058253,-73.5714836676569,-70.8565752485759,-67.7303143550005,-64.0067502593022,-59.3870532184357,-54.0180249794252,-47.9354324216579,-41.3125614380987,-33.3458713469643,-24.4864890582933,-15.6872919293955,-6.80296465915955,2.7876260588942,13.2980628545488,24.0838510575836,34.7936999562952,45.1062994445892,54.7285131505793,63.2181586520483",
1495348445,44.35269542,26,3.78,60.40396765,60.40396765,97.21,131.66,,,"-0.523090382669467,-0.490333464406535,-0.466891557181093,-0.391803804313979,-0.293858850698462,-0.192086681647992,-0.0979730059314664,-0.021800746326563,0.0537250186099465,0.126521809676423,0.181276328795512,0.20780311153752,0.216463772286861,0.2237696099","22.2899734182016,31.2336299381127,40.9927531727266,51.3171834291369,60.5604746902026,67.7716209720527,73.2725122612946,76.6714031625553,78.1744557914055,78.5917371463593,78.3317857104019,77.8200124442311,77.4110576835662,77.2884378895296,77.5128457531441,78.234314737704,79.3991625656544,80.8231567782637,82.4004126875735,83.9583113874346,85.5174061422719,87.1280634292506,88.9001146947448,90.8918597764717,92.9779898752541,95.0108795455047,96.9479596370113,98.8260992691856,100.734697047162,102.72180791762,104.765967711367,106.77831853824,108.716076567683,110.595937508063,112.435922020136,114.254904579914,115.996904165026,117.604915115326,119.041385021326,120.347982535415,121.643479410491,123.001073021735,124.372003277815,125.6841091863,126.976184853531,128.227224313106,129.493218399654,130.605501209608,131.296400842757,131.583672434165,131.645397791174,131.557765838778,131.147960682282,130.352277712979,129.190263249322,127.9468724461,126.708074969733,125.397029825978,123.830042892345,122.053898873906,120.31956355556,118.787881577957,117.337231767479,115.946083945189,114.613576713632,113.301904328616,111.955692343818,110.469697584918,108.723288727154,106.494656520327,103.994570084558,101.607954175976,98.7788822999049,95.2559450084714,90.8661922439238,85.595094816357,79.511423139604,73.0016290692529,66.4680062206044,59.7682030359581,53.0066245781381,46.4655965030728,39.7880645154247,32.4618407875827,26.0174470879134,21.9672932499262,17.4069451589431,11.5723095920761,5.42675012102618,-0.747820879683225,-6.47597732776415,-11.2616411805236,-17.5492928964526,-25.3374473838271,-31.3007457723595,-36.6483516235273,-41.3099673139482,-45.4557155194613,-49.0927389684058,-52.3737621502302,-55.448790758648,-58.260924641987,-60.7887524228223,-63.110919256151,-65.3017480550151,-67.3314091904405,-69.2562340732761,-71.1075497083577,-72.8493452839237,-74.481898827272,-75.977158174931,-77.3849873695449,-78.717703488305,-79.8744881838134,-80.8830892841636,-81.7839055611685,-82.5739660269963,-83.2781865379127,-83.9181792011246,-84.5038654580004,-85.0146680644311,-85.4606044546046,-85.8461456361436,-86.0453388124497,-86.0319997899486,-85.9710975549992,-85.9462443370942,-85.9273749381537,-85.5181661231837,-84.9865169112767,-84.6157027380866,-84.5571959574433,-84.822696094098,-85.1428690851147,-85.4317793245662,-85.9185075313518,-86.8728922176374,-87.9833338570849,-89.1170768553425,-90.2795999863518,-91.3645688125421,-92.5421180931997,-93.7645561664248,-94.9684734900756,-96.1889055940592,-97.412180800811,-98.6369997883928,-99.8447803076051,-101.035229678828,-102.201973928762,-103.384662728249,-104.602073396151,-105.791573879956,-106.927419525665,-107.987659659269,-108.994867051883,-109.969063453454,-110.880729476043,-111.68856594502,-112.402137682147,-113.081215872684,-113.706390675402,-114.275530233358,-114.771541979522,-115.157589572503,-115.428433374085,-115.604180413854,-115.732701063292,-115.647510951369,-115.15589754129,-114.155760186302,-112.990782374504,-111.520601375821,-109.356907472882,-106.147914389571,-102.306403953629,-98.2973265795657,-94.2432624873125,-90.0291062902918,-85.2037593400542,-81.7271487059875,-79.7470359659,-78.4251647808686,-76.8127788943258,-75.0502736671904,-72.2170247425881,-68.5142799772182,-64.1259009157301,-58.8513976587378,-52.2166703602904,-44.7413511824219,-37.7292300481975,-30.6485630276872,-23.0970942348309,-14.8141565571166,-5.83519886413505,3.94134572425425,14.3707456721742,25.0747124870549,35.7194019785236",
1495348447,52.14287189,26,3.8,60.40406962,60.40406962,96.43,131.1,,,"-0.560880615652468,-0.472363712402526,-0.433582191743351,-0.394158824193756,-0.309525187833413,-0.182866012007233,-0.0887366151667011,-0.0109664360590774,0.0780315986477937,0.161122281841524,0.222595077196922,0.251116690614045,0.262695643377024,0.25243845","19.9333536495099,28.7535147072657,38.511740879681,48.9503607288494,58.5647433592368,66.2543347715447,71.9095309337108,75.4155745751436,77.3360606379352,78.1865106229667,78.1359953507181,77.5312223700797,76.8736056197713,76.694467242717,77.0720537166731,77.8185685246054,78.8291536669591,80.0275928582253,81.4524022009745,83.0599059282006,84.8444665635399,86.745237634177,88.6932522124843,90.7113008708588,92.8439715627152,95.1174934627556,97.4395373402204,99.758012303036,102.067283222809,104.366831198132,106.641908628406,108.855218007575,110.957481311823,112.953420309148,114.889084564392,116.781933583696,118.674712163895,120.601146548425,122.510217693592,124.328313212798,125.980740653173,127.424167051352,128.658452703112,129.635106154641,130.287858296028,130.692070751644,130.913200233721,131.018210851337,131.099232257786,131.028689842179,130.697222198184,130.107005894145,129.337515024173,128.406990968472,127.329572029385,126.039296681093,124.524257192911,122.874262249627,121.172219851717,119.481143648458,117.678989672679,115.79937381322,113.892737513113,111.993328265171,110.141679078335,108.369508681551,106.561381469676,104.60788085908,102.370522395506,99.9760801810581,97.5167673507485,94.5278022625518,90.7656551202777,86.0531267791835,80.5661620921644,74.5688071577539,68.4832311686583,62.6034538332808,56.4413643216513,50.2809753102416,44.3322929234166,38.3997781225869,32.2070858357749,25.9211950732641,17.7745961115421,10.0428149754641,5.55906247172977,-0.195982088814247,-6.20988160818705,-12.178446074463,-17.9513039947108,-23.3479094184118,-26.6694566723374,-32.5379893884798,-38.403250142904,-42.6749428163646,-47.1609833543794,-50.465954525916,-53.374030664747,-56.0604264588599,-58.3053743455601,-60.3540628721938,-62.3352388087071,-63.7738216976173,-65.2973681804838,-67.4731209895815,-69.3013900659933,-70.9516378421664,-72.8732910211262,-74.7155813216862,-76.1535147849272,-77.4332061681913,-78.4610231280909,-79.1549624679558,-79.6351984376614,-79.9896685445717,-80.185354161615,-80.3102247884487,-80.5734488930554,-80.6991143197831,-80.4474499019898,-80.1913922404914,-80.151928012674,-79.9423481468604,-79.5104397975713,-79.0663349956848,-78.6662256110911,-78.5565632791518,-78.7338488974087,-78.9450962797394,-79.2347676564706,-79.9243747882142,-80.8515567759925,-81.914201405878,-83.0996486936199,-84.2517431306188,-85.3642134016949,-86.648260574426,-87.8991753965208,-88.8775219543293,-89.8754160767199,-90.9007387535738,-91.9921342359857,-93.1074795306049,-94.225486883056,-95.3020442793859,-96.4442768462535,-97.6471725250048,-98.8152304465472,-99.9325304524063,-100.925005290226,-101.814512097658,-102.626637883171,-103.43460165328,-104.134290114208,-104.75533096475,-105.325827684269,-106.023356759843,-106.784546588376,-107.527493065978,-108.12411993839,-108.638174651966,-109.32591007348,-110.084838200364,-110.551498654035,-110.803378703599,-111.112866028768,-111.217975149803,-111.043643694367,-110.731237588728,-109.947008115656,-108.721561953486,-107.044758881395,-104.920182001934,-102.555039737818,-100.180877773083,-97.2128515608158,-93.8528183195145,-90.5505710709141,-87.0517673536271,-83.1549662569112,-79.156460307904,-75.4715961978488,-72.9743782428343,-70.8774944297999,-67.8618719057345,-63.4369530777938,-58.2231820179087,-52.1946430532847,-45.1846496919125,-36.8477140178373,-27.2903030412104,-18.0325577038163,-8.65115411171464,1.26348307694697,11.9978630242152,22.9424734896291,33.7653049233453,44.136144232134,53.9978578287302",
1495348450,59.6932858,25,3.823333333,60.40413269,60.40413269,99.56,132.68,,,"-0.592255796663858,-0.571011966165868,-0.522902004958007,-0.445410810177249,-0.327208605538676,-0.230543696163778,-0.116607586043926,-0.00932420715475965,0.0924789009993055,0.171525236745618,0.224944036375353,0.247554684473801,0.263468468711054,0.25245599","15.126407030122,22.9750362715234,32.0579223946887,42.0554480474566,52.1096186597292,61.478303410671,69.2568467475509,75.0468197309827,78.9133525980171,81.1919053022938,82.2555060672856,82.4074105798137,81.9433836941744,81.4493383247161,81.3099489627561,81.6208377273301,82.3778855394096,83.4639079907029,84.8498129265732,86.3531252329827,87.9211536718609,89.5555574937744,91.2833693138458,93.1670576775978,95.2222015469132,97.3815005134472,99.5634874460819,101.718777293526,103.816539693835,105.850147785975,107.858564621125,109.816324549512,111.658289418505,113.374171961517,114.984833563739,116.527528043994,118.029014493869,119.511969579233,120.967710376532,122.46894648283,124.072615270388,125.719260574458,127.336255376586,128.889013581683,130.285774127806,131.402831649073,132.183645874928,132.56201889391,132.664915319259,132.55464259577,132.132710084261,131.229115372961,130.027105903225,128.720569153024,127.48093918646,126.332728956919,125.179425365623,124.165549093473,123.365224729264,122.819153966108,122.437072153402,122.129794536967,121.836052713747,121.523949753853,121.082530863449,120.453624771992,119.449106684628,117.821574706959,116.035309172592,113.616076518628,110.197488636551,105.58660594289,99.7783225927533,92.6789986182865,86.0208754675936,79.20932550572,71.3849920665228,63.3199840112397,55.7394354054969,48.5972899230673,41.0557129754819,32.5971694539289,21.888423515313,11.8317644851285,5.06744765782543,-1.70281346054244,-9.02879052229455,-16.3384872907171,-23.7061843150875,-30.0542320404108,-34.7200695586754,-40.711948586978,-46.919584231383,-51.9107610950764,-56.340910117612,-59.3316497280873,-61.9669847238355,-64.3342987371207,-66.2559205964301,-68.0157313920227,-69.4938632278461,-70.7965048725427,-72.0053052513758,-73.0374740088382,-73.9014438317384,-74.7075289082124,-75.4441749706624,-76.0964412397315,-76.6016285436205,-76.9977384895066,-77.3665007287436,-77.6065744845776,-77.7774602951026,-77.8939981668739,-77.8856578705569,-77.8238173846288,-77.7552078744786,-77.6419623861244,-77.4817040595347,-77.2637119042608,-76.9596507230065,-76.6163380283381,-76.2408906123226,-75.8094522642921,-75.3683489072698,-74.9086296406044,-74.4716822285207,-74.1192142175076,-73.8716332013519,-73.7770973645984,-73.8152987768105,-73.9562123111873,-74.2885129057258,-74.9188469950284,-75.7547319063654,-76.7806641457333,-77.9894440562298,-79.1450857983267,-80.2384208758933,-81.3824506152474,-82.354919697175,-83.4683341520385,-84.7786836169064,-85.9647500685917,-87.2204182578916,-88.7323514295762,-90.3574077541304,-92.1697840092229,-93.994867766288,-95.4878619714643,-97.0820175742542,-98.805492235904,-100.505437562728,-102.301057625533,-104.040267661661,-105.864932225477,-107.785258806291,-109.598124203177,-111.260373301514,-112.844599757812,-114.333178148541,-115.665789884629,-116.827186623896,-117.782500636322,-118.559028253052,-119.146089006208,-119.504186257059,-119.605919774292,-119.515596412119,-119.064315263843,-118.158423530239,-116.870422074179,-115.48489456698,-113.63696200014,-111.085430143011,-107.74318502226,-103.579694888663,-99.9328619256432,-96.1680259533875,-91.1674311542466,-85.8376960613194,-80.7926435305168,-75.6143785154548,-70.3101219103126,-64.5168398553184,-59.1649896438495,-55.1930134008694,-50.9285690881453,-46.0042769034824,-40.054253049085,-33.5209686473502,-26.6100342360207,-19.1903780473128,-9.48659910427487,0.508944845936762,10.2312660731036,19.7391874754623,29.1019453527417,38.1573659266093,46.5905424144148",
1495348452,71.17726684,26,3.816666667,60.40419795,60.40419795,98.08,130.77,,,"-0.56763505708393,-0.556638387944986,-0.4918655210941,-0.455011850590386,-0.384567723577957,-0.270126562744255,-0.164777462570018,-0.0595685354965264,0.0207062955212263,0.0943408548226479,0.158970523320242,0.202397211873591,0.23136778539442,0.232109203219","13.5840111560772,20.3026465780424,27.8228330623565,35.9956821119574,44.3393645877454,52.2401594251736,59.2238028320171,64.7396303525485,68.5371705552954,70.9855759118815,72.5691008493663,73.5983765688134,74.0790699712315,73.9654294912817,73.5204855652311,73.2857390346093,73.6815024858181,74.6138174505672,75.793840130067,76.9286400522894,78.0867084627298,79.5078990951615,81.2735609705969,83.2673597827281,85.3142633529171,87.4146262973833,89.6155218855707,91.9997573734129,94.4741407030614,96.8842020134217,99.1823175814956,101.315881582496,103.286552005426,105.130039035006,106.885425476145,108.578606748938,110.229247332071,111.800673822426,113.25562711261,114.674498428425,116.087776629967,117.519749162171,118.97500223412,120.464546122048,121.970158915203,123.440187462106,124.816008007327,126.099932636566,127.262185638911,128.271253473077,129.133055849751,129.779283501515,130.225786598357,130.532333790896,130.726593881609,130.645706132841,130.156549363262,129.172301952868,127.660625433262,125.923227404515,124.081461935749,122.294536042536,120.673947451599,119.384508946886,118.447632478684,117.809955084944,117.368973998357,116.937807977686,116.414394437695,115.684183602126,114.619732065906,113.229376775008,111.435200079808,109.327401643684,107.096201310581,104.25454144759,100.614744431121,96.1834894956851,91.1053920775168,85.4855951839683,79.7647147496254,73.9572488377174,68.4283743716829,62.9160124594216,57.4416343003596,51.9845229894197,45.9047940416886,37.7985180552763,32.3628668186203,28.0724946596178,21.2546533190952,14.9254795295714,8.48524351501388,1.37544700746426,-4.83864451304365,-10.145926549232,-18.7434786251709,-26.3060289871502,-31.872997388525,-37.4942294965617,-42.6728411051029,-47.2187198413773,-51.5305495317674,-55.6265896661318,-59.3169961386509,-62.7745609836484,-66.1200732573519,-69.2182718324927,-72.1136450544196,-74.8053923579941,-77.2475565481178,-79.4485189870425,-81.4968370994594,-83.3453732594699,-84.9588616323016,-86.3211730185762,-87.437936589236,-88.4035423383738,-89.2066437980151,-89.7878996787928,-90.2372449637944,-90.5346109250386,-90.7013559768692,-90.7981656993998,-90.886985661193,-90.9140646101027,-90.8419719914624,-90.7270910951201,-90.5953031775464,-90.4720485264717,-90.3612935344841,-90.281113710195,-90.2257993369658,-90.23572901904,-90.340051613122,-90.5075799148116,-90.7835064266894,-91.1396266044821,-91.5061096846608,-91.7932058359218,-92.133262020391,-92.5632073756575,-92.9520372808217,-93.4695770934953,-94.1358160361035,-94.8999782245119,-95.8176006221052,-96.9262892987505,-98.1158618277218,-99.4721626856796,-100.984062111865,-102.47208511029,-103.960739480457,-105.521059474767,-107.10099433871,-108.649773734225,-110.122838465382,-111.473662899571,-112.728041352368,-113.951818594582,-115.0106725725,-116.014451876506,-117.045953664593,-117.83505239466,-118.390840960147,-118.74724852478,-119.025294549608,-119.035296941082,-118.676572939653,-118.068836447876,-117.262712091181,-116.098391311424,-114.767643372662,-113.369421268931,-111.740748063211,-110.01916815958,-108.01403668241,-105.646322250119,-103.307782814773,-100.671051599632,-97.4806828864425,-93.9550765482819,-90.4751773434787,-87.2343905960092,-83.9740495705037,-80.0128770377217,-76.4294076051923,-73.4042160569018,-69.6703637789428,-64.8786275577727,-59.1926330605671,-52.6232100204852,-45.2516469089599,-37.2659441038229,-27.5511435064557,-16.7289113576895,-5.56014308703292,6.06680779954951,18.2470340474175,30.2907067372081",
1495348454,78.25195914,26,3.836666667,60.40428964,60.40428964,98.16,132.68,,,"-0.5829219320765,-0.559899084591619,-0.561945993001916,-0.538362126708919,-0.468526497584722,-0.417651269946313,-0.352351961632868,-0.271056424837863,-0.156067408339444,-0.0579947957453666,0.0287213854548953,0.107481610674816,0.162481703140571,0.200554981","-1.32108955176686,2.87331328462008,8.87700906381271,16.4693032497395,26.5770792174931,38.2137056175406,49.116423517713,58.8717360321093,66.8589140697975,73.0024674981171,77.1549439015053,79.3997274676091,80.1737501087617,79.8669316917213,78.9735478845196,",
1495348457,86.00143405,26,3.886666667,60.40435398,60.40435398,99.26,135.23,,,"-0.661025708592488,-0.644478304264343,-0.651611178928905,-0.591049206275949,-0.518449846064432,-0.424425771458145,-0.334375139637842,-0.241321098944702,-0.109542664145547,0.00516320353830371,0.0831094990217711,0.169740782162684,0.238762155829478,0.2770755","-7.55022741197886,-5.78410349962144,-2.32819104022328,3.13662889780456,11.9297744643037,23.3227417685949,34.6210076409027,45.2931608716398,54.9884048204731,63.2208217664354,69.8596084357925,74.5959842414364,77.3932732399866,78.5289898226769,78.51276732696",
