Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
122,358,1142,261.3,94,91.1,154,156,20.4,120
123,361,1151,270.0,91,91.1,156,156,20.9,121
124,364,1161,262.5,92,91.1,156,156,20.5,121
125,367,1170,257.8,91,91.1,156,156,20.9,121
126,370,1180,273.4,91,91.1,156,156,21.2,121
127,373,1190,262.7,93,91.1,155,156,20.4,120
128,375,1197,262.9,90,91.1,157,156,20.6,120
129,378,1206,274.2,92,91.2,156,156,20.9,121
130,381,1216,260.7,93,91.1,155,156,20.4,120
131,384,1225,245.2,90,91.1,157,156,20.6,120
132,387,1235,281.8,85,91.1,160,156,20.9,120
133,390,1244,267.6,98,91.1,152,156,20.8,121
134,393,1253,249.7,91,91.1,156,156,20.4,121
135,396,1263,274.1,87,91.2,159,156,20.9,120
136,398,1271,284.8,99,91.2,152,156,21.5,120
137,401,1280,248.9,99,91.2,152,156,20.9,120
138,404,1289,249.9,85,91.2,160,156,20.4,120
139,406,1299,272.4,88,91.2,158,156,21.2,120
140,410,1308,278.0,96,91.2,153,156,21.1,120
141,413,1318,278.0,98,91.2,152,156,21.1,121
142,416,1327,263.8,95,91.3,154,156,20.4,121
143,419,1337,257.4,91,91.2,156,156,20.7,120
144,422,1346,255.3,88,91.2,158,156,20.4,121
145,424,1354,264.4,88,91.2,158,156,20.7,121
146,427,1363,265.9,91,91.2,156,156,20.5,121
147,430,1373,277.6,90,91.2,157,156,20.4,121
148,433,1382,270.7,95,91.2,154,156,20.6,121
149,436,1392,261.6,94,91.2,154,156,20.9,121
150,439,1401,271.5,89,91.2,157,156,20.4,121
151,442,1411,258.4,92,91.2,156,156,20.3,122
152,445,1420,272.3,90,91.2,157,156,20.8,121
153,448,1430,267.8,95,91.3,154,156,20.8,121
154,451,1439,264.2,92,91.3,156,156,20.6,122
155,453,1447,278.3,91,91.3,156,156,20.6,122
156,456,1456,277.2,98,91.3,152,156,21.0,122
157,459,1466,260.8,95,91.3,154,156,20.5,122
158,462,1475,258.0,89,91.3,157,156,20.4,122
159,465,1485,265.7,89,91.3,157,156,20.6,121
160,468,1494,289.1,91,91.3,156,156,20.4,121
161,471,1504,274.6,100,91.3,151,156,20.8,121
162,474,1513,277.8,94,91.3,154,156,20.5,121
163,477,1523,259.0,95,91.4,154,156,20.5,121
164,480,1533,281.4,90,91.4,157,156,20.7,121
165,483,1542,263.1,93,91.4,155,156,19.9,121
166,486,1552,283.1,92,91.4,156,156,20.9,121
167,488,1559,257.1,99,91.4,152,156,20.9,123
168,491,1568,253.8,90,91.4,157,156,21.0,123
169,494,1578,264.8,88,91.4,158,156,20.7,122
170,497,1587,269.6,93,91.4,155,156,20.9,123
171,500,1597,246.1,94,91.4,154,156,20.9,123
172,503,1606,256.5,85,91.4,160,156,20.8,123
173,506,1616,261.4,91,91.4,156,156,21.2,123
174,508,1623,255.0,90,91.4,157,156,20.7,123
175,511,1632,280.3,87,91.4,159,156,20.4,123
176,514,1642,271.0,96,91.4,153,156,20.6,123
177,517,1651,261.1,93,91.4,155,156,20.6,123
178,520,1661,251.6,89,91.4,157,156,20.4,123
179,523,1670,248.4,87,91.4,159,156,20.8,124
180,526,1679,265.1,86,91.3,159,156,20.6,125
181,529,1689,285.3,93,91.4,155,156,20.9,125
182,532,1698,254.9,97,91.3,153,156,20.4,123
183,535,1708,270.4,87,91.4,159,156,20.5,123
184,537,1716,287.0,95,91.4,154,156,21.0,123
185,540,1725,264.2,99,91.4,152,156,20.6,124
186,543,1734,256.6,90,91.4,157,156,20.4,125
187,546,1744,251.2,89,91.4,157,156,20.9,124
188,549,1753,273.3,86,91.4,159,156,20.6,122
189,552,1763,284.5,94,91.4,154,156,20.5,121
190,555,1773,282.4,95,91.4,154,156,20.1,120
191,558,1782,279.6,97,91.4,153,156,20.6,122
192,561,1792,272.2,96,91.5,153,156,20.5,124
193,564,1802,284.0,94,91.5,154,156,20.7,125
194,567,1811,277.5,94,91.5,154,156,19.8,123
195,570,1821,290.5,94,91.5,154,156,20.4,123
196,573,1831,266.9,99,91.5,152,156,20.5,124
197,576,1841,277.2,92,91.5,156,156,20.6,124
198,578,1848,300.2,95,91.5,154,156,20.6,124
199,581,1858,282.9,103,91.6,150,156,20.5,123
200,584,1867,261.0,95,91.6,154,156,20.1,124
201,587,1877,280.5,86,91.6,159,156,19.8,124
202,590,1886,271.1,93,91.6,155,156,19.9,123
203,593,1896,258.1,92,91.6,156,156,20.4,123
204,596,1905,285.6,89,91.6,157,156,20.6,124
205,599,1915,302.2,98,91.7,152,156,20.5,124
206,602,1925,276.5,104,91.7,149,156,20.5,123
207,605,1934,259.9,95,91.7,154,156,20.5,123
208,608,1944,247.1,90,91.7,157,156,20.7,123
209,611,1953,283.6,84,91.7,160,156,20.4,123
210,614,1963,278.8,96,91.7,153,156,20.2,123
211,617,1973,273.9,100,91.7,151,156,21.4,124
212,620,1982,259.4,91,91.7,156,156,20.0,124
213,623,1992,286.8,88,91.7,158,156,20.3,123
214,626,2001,272.9,96,91.7,153,156,20.0,123
215,629,2011,269.2,91,91.7,156,156,20.0,123
216,632,2021,282.8,90,91.7,157,156,20.1,123
217,635,2031,297.9,94,91.7,154,156,20.0,124
218,638,2040,285.3,100,91.8,151,156,20.2,124
219,640,2047,277.6,95,91.8,154,156,19.9,124
220,643,2057,278.0,93,91.8,155,156,20.2,123
221,646,2067,266.8,91,91.8,156,156,19.7,123
222,649,2076,302.3,92,91.8,156,156,20.7,123
223,652,2086,287.1,104,91.8,149,156,20.6,123
224,655,2096,273.0,96,91.8,153,156,20.0,122
225,658,2105,277.9,92,91.8,156,156,20.2,123
226,661,2115,270.0,93,91.8,155,156,20.0,123
227,664,2124,270.0,94,91.8,154,156,20.9,123
228,667,2134,284.0,94,91.9,154,156,20.9,124
229,670,2144,279.2,99,91.9,152,156,20.9,124
230,673,2154,276.2,99,91.9,152,156,21.3,124
231,675,2161,281.9,95,91.9,154,156,20.6,124
232,678,2171,276.6,97,92.0,153,156,20.6,124
233,681,2180,277.2,96,92.0,153,156,20.7,124
234,684,2190,263.1,98,92.0,152,156,21.1,124
235,686,2199,258.9,91,92.0,156,156,20.8,124
236,690,2209,262.6,90,92.0,157,156,20.7,124
237,693,2218,263.1,90,92.0,157,156,20.5,124
238,696,2228,277.4,91,92.0,156,156,20.8,124
239,699,2237,274.2,96,92.0,153,156,20.8,124
240,702,2247,262.5,92,92.0,156,156,20.2,123
241,704,2254,273.7,91,92.0,156,156,20.7,123
242,707,2264,274.8,95,92.0,154,156,20.9,124
243,710,2273,275.4,93,92.0,155,156,20.3,124
244,713,2283,251.1,93,92.0,155,156,20.2,124
