index,index,TimeStamp (sec),DistanceMeters, Cadence (stokes/min), lapIdx, WorkoutState, Horizontal (meters), Stroke500mPace (sec/500m), ElapsedTime (sec), HRCur (bpm), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
63,63,1606255173.782,5.8,20.0,1.0,4.0,5.8,inf,254.88199996948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
64,64,1606255176.844,8.9,21.0,1.0,4.0,8.9,inf,257.94400000572205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
65,65,1606255179.29,5.9,23.0,1.0,4.0,5.9,inf,260.3899998664856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
66,66,1606255182.92,6.1,23.0,1.0,4.0,6.1,inf,264.0199999809265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
67,67,1606255185.632,9.4,22.0,1.0,4.0,9.4,inf,266.731999874115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
68,68,1606255188.2659998,8.5,21.0,1.0,4.0,8.5,inf,269.3659996986389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
69,69,1606255191.302,8.2,21.0,1.0,4.0,8.2,inf,272.40199995040894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
70,70,1606255194.54,8.4,18.0,1.0,4.0,8.4,inf,275.6399998664856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
71,71,1606255198.1599998,7.9,20.0,1.0,4.0,7.9,inf,279.2599997520447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,49.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
72,72,1606255200.216,9.8,23.0,1.0,4.0,9.8,inf,281.3159999847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
73,73,1606255203.85,11.8,17.0,1.0,4.0,11.8,inf,284.94999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,53.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
74,74,1606255208.7540002,3.0,16.0,1.0,4.0,3.0,inf,289.85400009155273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,56.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
75,75,1606255211.264,8.8,26.0,1.0,4.0,8.8,inf,292.3639998435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
76,76,1606255213.768,4.3,23.0,1.0,4.0,4.3,inf,294.867999792099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
77,77,1606255216.0619998,9.4,21.0,1.0,4.0,9.4,inf,297.1619997024536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
78,78,1606255219.442,8.9,21.0,1.0,4.0,8.9,inf,300.54199981689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
79,79,1606255222.264,5.5,22.0,1.0,4.0,5.5,inf,303.3639998435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.09999999999998,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
80,80,1606255225.748,9.4,20.0,1.0,4.0,9.4,inf,306.8479998111725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
81,81,1606255228.3400002,5.8,20.0,1.0,4.0,5.8,inf,309.44000005722046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
82,82,1606255231.618,10.2,19.0,1.0,4.0,10.2,inf,312.71799993515015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
83,83,1606255235.6339998,8.5,17.0,1.0,4.0,8.5,inf,316.7339997291565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
84,84,1606255239.044,7.3,18.0,1.0,4.0,7.3,inf,320.1439998149872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
85,85,1606255242.064,9.4,21.0,1.0,4.0,9.4,inf,323.1639997959137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
86,86,1606255245.132,9.0,19.0,1.0,4.0,9.0,inf,326.231999874115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.59999999999998,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
87,87,1606255249.1620002,10.3,16.0,1.0,4.0,10.3,inf,330.26200008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
88,88,1606255252.75,11.4,16.0,1.0,4.0,11.4,inf,333.84999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,73.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
89,89,1606255256.314,9.4,16.0,1.0,4.0,9.4,inf,337.4139997959137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
90,90,1606255260.294,6.6,19.0,1.0,4.0,6.6,inf,341.3939998149872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.19999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
91,91,1606255263.354,7.7,19.0,1.0,4.0,7.7,inf,344.4539999961853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,70.29999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
92,92,1606255267.21,6.0,18.0,1.0,4.0,6.0,inf,348.30999994277954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
93,93,1606255270.466,9.9,20.0,1.0,4.0,9.9,inf,351.5659999847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.49999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
94,94,1606255273.1020002,8.9,0.0,1.0,4.0,8.9,inf,354.2020001411438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.49999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
95,95,1606255276.742,8.6,20.0,1.0,4.0,8.6,inf,357.8420000076294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.19999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
96,96,1606255279.5900002,9.3,20.0,1.0,4.0,9.3,inf,360.69000005722046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
97,97,1606255282.0100002,10.2,20.0,1.0,4.0,10.2,inf,363.1100001335144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
98,98,1606255285.4299998,6.1,20.0,1.0,4.0,6.1,inf,366.5299997329712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.69999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
99,99,1606255288.492,10.1,21.0,1.0,4.0,10.1,inf,369.5920000076294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.69999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
100,100,1606255291.732,6.2,20.0,1.0,4.0,6.2,inf,372.83200001716614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,68.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
101,101,1606255294.764,8.5,22.0,1.0,4.0,8.5,inf,375.8639998435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
102,102,1606255297.216,3.8,22.0,1.0,4.0,3.8,inf,378.3159999847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.89999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
103,103,1606255300.06,7.1,22.0,1.0,4.0,7.1,inf,381.1599998474121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.19999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
104,104,1606255303.9439998,9.6,21.0,1.0,4.0,9.6,inf,385.04399967193604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,80.69999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
105,105,1606255306.788,6.5,22.0,1.0,4.0,6.5,inf,387.8880000114441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,77.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
106,106,1606255309.446,8.8,22.0,1.0,4.0,8.8,inf,390.5460000038147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,79.89999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
107,107,1606255311.716,6.2,23.0,1.0,4.0,6.2,inf,392.8159999847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,77.29999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
108,108,1606255314.344,6.2,23.0,1.0,4.0,6.2,inf,395.44400000572205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,77.29999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
109,109,1606255317.8319998,6.7,23.0,1.0,4.0,6.7,inf,398.9319996833801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,77.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
110,110,1606255320.3379998,7.5,22.0,1.0,4.0,7.5,inf,401.4379997253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
111,111,1606255323.5359998,7.3,20.0,1.0,4.0,7.3,inf,404.63599967956543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.39999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
112,112,1606255326.3779998,7.7,22.0,1.0,4.0,7.7,inf,407.4779996871948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
113,113,1606255328.624,9.2,23.0,1.0,4.0,9.2,inf,409.7239999771118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,80.29999999999997,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
114,114,1606255331.4580002,3.1,23.0,1.0,4.0,3.1,inf,412.55800008773804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.39999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
