Workout #,Workout Name,Interval #,Interval Type,Interval Start,Time,Distance (m),Strokes,Avg Speed (m/s),Avg Pace (/500m),Avg SR,Max SR,Avg HR,Max HR
1,Just Go,1,Just Go,10:15:07,11:05,1877,197,2.90,2:52.4,18.3,44.0,142,164
2,6000 m,1,Distance (6000 m),10:34:55,27:22,6000,728,3.65,2:16.8,26.6,31.4,175,180
3,Just Go,1,Just Go,11:03:01,17:24,2342,298,2.26,3:41.3,17.2,30.0,137,152
