"Stroke Number","Time (seconds)","Distance (meters)","Pace (seconds per 500m","Stroke Rate","Heart Rate"
"155","454.7","1728.0","140.2","18","130"
"156","458.0","1740.0","141.8","19","129"
"157","461.1","1751.0","138.0","18","129"
"158","464.2","1762.0","137.8","19","127"
"159","467.3","1774.0","135.2","19","126"
"160","470.0","1784.0","137.6","20","126"
"161","472.9","1795.0","136.5","22","126"
"162","475.6","1805.0","130.0","21","126"
"163","478.2","1816.0","128.5","22","126"
"164","480.9","1826.0","127.6","23","127"
"165","483.6","1836.0","129.9","22","127"
"166","486.1","1846.0","129.9","22","127"
"167","488.6","1856.0","127.2","24","127"
"168","491.1","1866.0","127.6","23","128"
"169","493.6","1876.0","125.8","24","128"
"170","496.2","1887.0","125.4","24","128"
"171","498.7","1896.0","125.6","24","129"
"172","501.2","1907.0","125.7","24","129"
"173","503.9","1917.0","125.3","24","129"
"174","506.6","1927.0","129.1","22","129"
"175","509.3","1937.0","135.3","22","129"
"176","512.2","1948.0","135.3","22","130"
"177","515.1","1959.0","131.3","21","130"
"178","518.0","1970.0","134.5","21","130"
"179","520.9","1981.0","134.5","21","130"
"180","523.9","1992.0","133.4","20","130"
