Interval,Type,Distance(m),Time,Stroke,Rate,Speed(m/s),Split,Time(sec),Split(sec),HR
405,D,8100,0:44:28.9,971,18.8,2.735,3:02.8,2668.9,182.8,126
406,D,8120,0:44:36.0,973,17.5,2.826,2:56.10,2676.0,177.0,125
407,D,8140,0:44:43.4,976,19.6,2.695,3:05.6,2683.4,185.6,124
408,D,8160,0:44:51.1,978,17.5,2.596,3:12.6,2691.1,192.6,125
409,D,8180,0:44:58.4,980,17.1,2.747,3:02.0,2698.4,182.0,124
410,D,8200,0:45:07.9,982,13.9,2.105,3:57.5,2707.9,237.5,122
411,D,8220,0:45:16.0,985,18.6,2.447,3:24.3,2716.1,204.3,122
412,D,8240,0:45:23.6,987,20.2,2.634,3:09.9,2723.7,189.9,123
413,D,8260,0:45:30.7,989,19.3,2.851,2:55.4,2730.7,175.4,123
414,D,8280,0:45:37.4,992,19.9,2.963,2:48.8,2737.5,168.8,125
415,D,8300,0:45:44.0,994,22.4,3.019,2:45.6,2744.1,165.6,128
416,D,8320,0:45:50.8,996,19.8,2.963,2:48.8,2750.8,168.8,129
417,D,8340,0:45:57.4,999,21.0,3.026,2:45.2,2757.4,165.2,130
418,D,8360,0:46:04.0,1001,21.6,3.040,2:44.5,2764.0,164.5,132
419,D,8380,0:46:10.5,1003,20.2,3.047,2:44.1,2770.6,164.1,132
420,D,8400,0:46:17.2,1005,19.8,2.998,2:46.8,2777.3,166.8,133
421,D,8420,0:46:23.6,1008,20.9,3.137,2:39.4,2783.6,159.4,133
422,D,8440,0:46:30.4,1010,20.4,2.942,2:49.9,2790.4,169.9,135
423,D,8460,0:46:37.6,1012,15.9,2.765,3:00.9,2797.7,180.9,134
424,D,8480,0:46:44.7,1014,19.6,2.832,2:56.6,2804.7,176.6,134
425,D,8500,0:46:51.7,1016,18.7,2.857,2:55.0,2811.7,175.0,134
426,D,8520,0:46:58.7,1019,19.5,2.838,2:56.2,2818.8,176.2,132
427,D,8540,0:47:05.7,1021,20.2,2.876,2:53.8,2825.7,173.8,132
428,D,8560,0:47:12.3,1023,19.0,3.005,2:46.4,2832.4,166.4,132
429,D,8580,0:47:18.8,1025,19.2,3.077,2:42.5,2838.9,162.5,133
430,D,8600,0:47:25.9,1027,19.7,2.826,2:56.10,2846.0,177.0,131
431,D,8620,0:47:33.5,1030,19.1,2.634,3:09.9,2853.5,189.9,130
432,D,8640,0:47:40.3,1032,19.8,2.942,2:49.9,2860.3,169.9,130
433,D,8660,0:47:47.0,1034,17.6,3.005,2:46.4,2867.0,166.4,131
434,D,8680,0:47:53.8,1036,19.3,2.936,2:50.3,2873.8,170.3,129
435,D,8700,0:48:00.9,1038,14.7,2.807,2:58.1,2880.9,178.1,127
436,D,8720,0:48:08.4,1040,19.0,2.661,3:07.9,2888.5,187.9,127
437,D,8740,0:48:15.5,1042,19.8,2.807,2:58.1,2895.6,178.1,126
438,D,8760,0:48:22.5,1045,20.1,2.851,2:55.4,2902.6,175.4,127
439,D,8780,0:48:30.3,1047,16.9,2.596,3:12.6,2910.3,192.6,128
440,D,8800,0:48:37.7,1049,20.4,2.701,3:05.2,2917.7,185.2,127
441,D,8820,0:48:44.8,1052,21.0,2.795,2:58.9,2924.9,178.9,128
442,D,8840,0:48:51.4,1054,20.3,3.019,2:45.6,2931.5,165.6,132
443,D,8860,0:48:58.7,1056,14.2,2.741,3:02.4,2938.8,182.4,130
444,D,8880,0:49:07.1,1058,15.9,2.397,3:28.6,2947.1,208.6,129
445,D,8900,0:49:15.1,1060,16.9,2.490,3:20.8,2955.2,200.8,127
446,D,8920,0:49:22.0,1062,19.1,2.896,2:52.7,2962.1,172.7,127
447,D,8940,0:49:28.8,1064,19.2,2.936,2:50.3,2968.9,170.3,127
448,D,8960,0:49:35.8,1067,20.6,2.864,2:54.6,2975.9,174.6,127
449,D,8980,0:49:42.5,1069,20.3,2.984,2:47.6,2982.6,167.6,127
450,D,9000,0:49:49.1,1071,19.2,3.055,2:43.7,2989.1,163.7,127
451,D,9020,0:49:55.7,1073,19.3,3.012,2:46.0,2995.8,166.0,129
452,D,9040,0:50:02.8,1076,20.6,2.826,2:56.10,3002.8,177.0,132
453,D,9060,0:50:09.0,1078,21.1,3.216,2:35.5,3009.1,155.5,134
454,D,9080,0:50:15.0,1080,20.7,3.360,2:28.8,3015.0,148.8,135
455,D,9100,0:50:21.0,1082,21.3,3.324,2:30.4,3021.0,150.4,137
456,D,9120,0:50:26.8,1084,22.5,3.414,2:26.5,3026.9,146.5,138
457,D,9140,0:50:32.7,1087,22.7,3.404,2:26.9,3032.8,146.9,139
458,D,9160,0:50:39.0,1089,22.5,3.192,2:36.7,3039.0,156.7,140
459,D,9180,0:50:45.0,1091,22.5,3.333,2:30.0,3045.0,150.0,142
460,D,9200,0:50:50.9,1093,22.2,3.351,2:29.2,3051.0,149.2,143
461,D,9220,0:50:56.8,1096,21.9,3.395,2:27.3,3056.9,147.3,144
462,D,9240,0:51:03.0,1098,21.8,3.216,2:35.5,3063.1,155.5,145
463,D,9260,0:51:10.6,1099,24.3,2.656,3:08.3,3070.6,188.3,143
464,D,9280,0:51:20.2,1100,16.3,2.071,4:01.4,3080.3,241.4,123
465,D,9300,0:51:33.3,1100,0.0,1.529,5:26.10,3093.4,327.0,117
466,D,9320,0:51:42.0,1102,14.8,2.311,3:36.4,3102.0,216.4,118
467,D,9340,0:51:51.2,1103,21.4,2.162,3:51.3,3111.3,231.3,120
468,D,9360,0:51:59.3,1105,16.6,2.476,3:21.10,3119.3,202.0,122
469,D,9380,0:52:07.1,1107,16.6,2.550,3:16.1,3127.2,196.1,124
470,D,9400,0:52:15.4,1109,15.8,2.429,3:25.9,3135.4,205.9,125
471,D,9420,0:52:32.7,1111,17.9,1.154,7:13.2,3152.8,433.2,104
472,D,9440,0:52:40.5,1114,21.3,2.575,3:14.2,3160.5,194.2,115
473,D,9460,0:52:47.6,1116,19.3,2.795,2:58.9,3167.7,178.9,116
474,D,9480,0:52:54.4,1118,16.6,2.936,2:50.3,3174.5,170.3,123
475,D,9500,0:53:04.4,1119,18.1,2.000,4:10.0,3184.5,250.0,127
476,D,9520,0:53:13.4,1121,16.1,2.222,3:45.0,3193.5,225.0,127
