index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
130,0.0,22,3,680,172,842,0.0,193,122.0,10,1873,0,1459445666.0
131,0.0,23,3,673,172,852,0.0,195,121.5,11,2023,0,1459445669.0
132,0.0,23,3,532,172,863,0.0,190,122.5,11,2092,0,1459445671.0
133,0.0,23,3,680,172,874,0.0,194,122.0,11,2025,0,1459445674.0
134,0.0,23,3,522,172,885,0.0,190,122.5,11,2102,0,1459445677.0
135,0.0,22,3,672,172,896,0.0,194,122.0,11,2032,0,1459445679.0
136,0.0,23,3,671,172,907,0.0,192,122.0,11,2100,0,1459445682.0
137,0.0,22,3,525,172,918,0.0,194,121.5,11,2024,0,1459445685.0
138,0.0,23,3,677,172,929,0.0,196,121.5,11,2093,0,1459445687.0
139,0.0,23,2,455,172,940,0.0,195,121.5,11,2102,0,1459445690.0
140,0.0,22,3,672,172,951,0.0,191,122.5,11,2031,0,1459445693.0
141,0.0,23,3,750,172,962,0.0,191,122.5,11,1876,0,1459445695.0
142,0.0,23,3,672,172,973,0.0,192,122.0,10,1873,0,1459445698.0
143,0.0,23,3,671,171,983,0.0,194,122.0,11,2104,0,1459445700.0
144,0.0,23,3,677,171,994,0.0,188,123.0,11,2024,0,1459445703.0
145,0.0,21,3,672,171,1005,0.0,184,124.0,12,2250,0,1459445706.0
146,0.0,21,2,532,171,1017,0.0,178,125.5,11,2251,0,1459445709.0
147,0.0,22,3,672,171,1028,0.0,178,125.5,11,2022,0,1459445712.0
148,0.0,21,3,679,171,1039,0.0,177,125.5,11,2094,0,1459445714.0
149,0.0,21,3,681,171,1050,0.0,183,124.0,12,2250,0,1459445717.0
150,0.0,21,3,670,171,1062,0.0,181,124.5,11,2032,0,1459445720.0
151,0.0,21,2,672,171,1073,0.0,179,125.0,11,2101,0,1459445723.0
152,0.0,22,3,672,171,1084,0.0,181,124.5,11,2251,0,1459445725.0
153,0.0,22,3,680,171,1095,0.0,186,123.5,11,2022,0,1459445728.0
154,0.0,21,3,671,172,1106,0.0,179,125.0,11,2103,0,1459445731.0
155,0.0,22,3,680,171,1117,0.0,177,125.5,11,2024,0,1459445734.0
156,0.0,22,3,669,171,1128,0.0,183,124.0,11,2102,0,1459445737.0
157,0.0,22,3,681,171,1139,0.0,183,124.0,12,2240,0,1459445739.0
158,0.0,22,2,534,171,1151,0.0,178,125.5,10,2024,0,1459445742.0
159,0.0,22,3,671,172,1161,0.0,179,125.0,11,2102,0,1459445745.0
160,0.0,22,3,680,171,1172,0.0,178,125.5,12,2173,0,1459445748.0
161,0.0,22,3,747,171,1184,0.0,174,126.5,11,2022,0,1459445750.0
162,0.0,21,3,675,171,1195,0.0,176,126.0,11,2109,0,1459445753.0
163,0.0,22,3,671,171,1206,0.0,175,126.0,10,2023,0,1459445756.0
164,0.0,22,3,680,171,1216,0.0,171,127.0,11,2093,0,1459445759.0
165,0.0,22,3,680,171,1227,0.0,178,125.0,11,2024,0,1459445761.0
166,0.0,22,3,673,171,1238,0.0,182,124.5,11,2100,0,1459445764.0
167,0.0,22,3,679,170,1249,0.0,181,124.5,11,2025,0,1459445767.0
168,0.0,22,3,750,171,1260,0.0,176,125.5,11,2021,0,1459445770.0
169,0.0,22,3,671,170,1271,0.0,179,125.0,11,2104,0,1459445772.0
170,0.0,22,3,678,170,1282,0.0,182,124.5,11,2025,0,1459445775.0
171,0.0,22,3,672,171,1293,0.0,179,125.0,11,2101,0,1459445778.0
172,0.0,23,3,532,170,1304,0.0,180,125.0,10,2024,0,1459445781.0
173,0.0,22,3,672,170,1314,0.0,179,125.0,12,2100,0,1459445783.0
174,0.0,22,3,672,170,1326,0.0,184,124.0,11,2022,0,1459445786.0
175,0.0,22,2,682,170,1337,0.0,181,124.5,11,2100,0,1459445789.0
176,0.0,22,2,670,170,1348,0.0,178,125.5,10,2024,0,1459445791.0
177,0.0,22,3,681,170,1358,0.0,179,125.0,11,2102,0,1459445794.0
178,0.0,22,3,522,170,1369,0.0,178,125.5,11,2024,0,1459445797.0
179,0.0,23,3,673,170,1380,0.0,184,124.0,11,2031,0,1459445799.0
180,0.0,24,2,444,170,1391,0.0,186,123.5,9,1954,0,1459445802.0
181,0.0,23,3,671,171,1400,0.0,183,124.0,12,2181,0,1459445805.0
182,0.0,22,3,748,170,1412,0.0,183,124.0,10,1876,0,1459445807.0
183,0.0,22,3,671,171,1422,0.0,184,124.0,12,2250,0,1459445810.0
184,0.0,22,2,454,171,1434,0.0,183,124.0,11,2249,0,1459445813.0
185,0.0,22,2,524,171,1445,0.0,174,126.0,10,2024,0,1459445816.0
186,0.0,23,3,749,170,1455,0.0,177,125.5,11,1875,0,1459445818.0
187,0.0,23,2,679,170,1466,0.0,182,124.5,11,2251,0,1459445821.0
188,0.0,22,3,670,169,1477,0.0,183,124.0,11,2033,0,1459445824.0
189,0.0,21,3,671,169,1488,0.0,175,126.0,11,2101,0,1459445826.0
190,0.0,22,2,523,169,1499,0.0,177,125.5,12,2398,0,1459445829.0
191,0.0,21,3,682,169,1511,0.0,169,127.5,10,2024,0,1459445832.0
192,0.0,21,3,670,170,1521,0.0,162,129.0,12,2252,0,1459445835.0
193,0.0,21,2,678,170,1533,0.0,166,128.5,11,2101,0,1459445838.0
194,0.0,22,2,672,171,1544,0.0,174,126.5,11,2173,0,1459445841.0
195,0.0,21,3,750,171,1555,0.0,164,129.0,10,2029,0,1459445843.0
196,0.0,22,3,671,171,1565,0.0,162,129.5,11,2103,0,1459445846.0
197,0.0,22,3,672,171,1576,0.0,169,127.5,11,2031,0,1459445849.0
198,0.0,21,2,671,171,1587,0.0,165,128.5,10,2102,0,1459445852.0
199,0.0,22,3,673,170,1597,0.0,163,129.0,12,2250,0,1459445854.0
200,0.0,22,2,454,170,1609,0.0,169,127.5,10,2092,0,1459445857.0
201,0.0,22,3,680,170,1619,0.0,165,128.5,11,2250,0,1459445860.0
202,0.0,21,2,524,170,1630,0.0,167,128.0,11,2180,0,1459445863.0
203,0.0,22,3,672,170,1641,0.0,170,127.0,11,2101,0,1459445866.0
204,0.0,22,3,672,169,1652,0.0,170,127.0,10,2032,0,1459445868.0
205,0.0,22,4,750,169,1662,0.0,170,127.0,11,2024,0,1459445871.0
206,0.0,22,3,670,170,1673,0.0,170,127.0,11,2102,0,1459445874.0
207,0.0,21,3,675,170,1684,0.0,176,126.0,12,2177,0,1459445877.0
208,0.0,21,3,748,170,1696,0.0,179,125.0,11,2025,0,1459445879.0
209,0.0,21,2,672,170,1707,0.0,174,126.5,11,2102,0,1459445882.0
210,0.0,22,2,679,171,1718,0.0,171,127.0,11,2148,0,1459445885.0
211,0.0,22,3,671,171,1729,0.0,174,126.5,11,2103,0,1459445888.0
212,0.0,22,3,679,171,1740,0.0,179,125.0,11,2023,0,1459445891.0
213,0.0,22,3,751,171,1751,0.0,174,126.0,11,2021,0,1459445893.0
214,0.0,21,2,681,170,1762,0.0,174,126.0,11,2094,0,1459445896.0
215,0.0,22,2,680,170,1773,0.0,171,127.0,11,2172,0,1459445899.0
216,0.0,21,3,750,170,1784,0.0,173,126.5,11,2023,0,1459445902.0
217,0.0,22,2,680,169,1795,0.0,168,127.5,11,2092,0,1459445904.0
218,0.0,22,2,681,169,1806,0.0,171,127.0,10,2023,0,1459445907.0
219,0.0,21,3,679,168,1816,0.0,167,128.0,11,2094,0,1459445910.0
220,0.0,22,3,681,168,1827,0.0,160,130.0,10,2024,0,1459445913.0
221,0.0,22,3,677,168,1837,0.0,168,127.5,11,2094,0,1459445915.0
222,0.0,22,3,534,168,1848,0.0,174,126.0,11,2170,0,1459445918.0
223,0.0,22,2,524,168,1859,0.0,168,128.0,10,2100,0,1459445921.0
224,0.0,22,3,672,168,1869,0.0,170,127.5,11,2022,0,1459445924.0
225,0.0,22,3,682,168,1880,0.0,170,127.0,11,2099,0,1459445926.0
226,0.0,22,3,673,168,1891,0.0,170,127.0,10,2032,0,1459445929.0
227,0.0,22,4,750,168,1901,0.0,170,127.5,11,1876,0,1459445932.0
228,0.0,22,2,669,168,1912,0.0,170,127.0,10,2024,0,1459445934.0
229,0.0,22,3,681,168,1922,0.0,170,127.0,11,2094,0,1459445937.0
230,0.0,23,2,529,168,1933,0.0,170,127.0,10,2025,0,1459445940.0
231,0.0,22,3,672,168,1943,0.0,172,126.5,11,2101,0,1459445942.0
232,0.0,22,3,672,168,1954,0.0,170,127.5,12,2257,0,1459445945.0
233,0.0,22,2,444,168,1966,0.0,168,127.5,10,2103,0,1459445948.0
234,0.0,22,3,680,168,1976,0.0,173,126.5,10,1868,0,1459445951.0
235,0.0,23,3,676,168,1986,0.0,178,125.5,11,2104,0,1459445953.0
236,0.0,22,3,673,167,1997,0.0,172,127.0,11,2250,0,1459445956.0
237,0.0,21,3,671,168,2008,0.0,161,129.5,11,2180,0,1459445959.0
238,0.0,21,3,749,168,2019,0.0,157,130.5,11,2171,0,1459445962.0
