Session Information:,,,,Device Information:

Name:,JustGo-2440M,,,Name:,Sander's SpeedCoach
Start Time:,07/30/16 10:13am,,,Model:,SpeedCoach GPS Pro
Type:,Just Go,,,Serial:,2136923
System of Units:,Meters/Split500,,,Firmware Version:,2.11
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.26

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,141,259

Summary for Session Intervals:

Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,139,259

Session Detail Data:

Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:04:07.2,770.0,00:02:30.1,3.33,20.5,144,77
1,00:04:10.2,779.8,00:02:29.2,3.35,20,146,78
1,00:04:13.2,789.6,00:02:28.3,3.37,20.5,146,79
1,00:04:16.2,799.6,00:02:27.4,3.39,20.5,147,80
1,00:04:19.2,809.5,00:02:27.0,3.40,20.5,148,81
1,00:04:22.2,819.5,00:02:29.2,3.35,20.5,149,82
1,00:04:25.2,829.2,00:02:32.4,3.28,20.5,150,83
1,00:04:27.7,838.4,00:02:34.7,3.23,20.5,150,84
1,00:04:30.7,848.2,00:02:34.7,3.23,20,150,85
1,00:04:33.7,857.8,00:02:36.2,3.20,20,150,86
1,00:04:36.7,867.6,00:02:37.7,3.17,20,151,87
1,00:04:39.7,877.1,00:02:37.7,3.17,20,150,88
1,00:04:42.7,887.1,00:02:37.2,3.18,20,148,89
1,00:04:45.5,896.1,00:02:36.2,3.20,20,148,90
1,00:04:48.6,905.8,00:02:36.2,3.20,20,148,91
1,00:04:51.5,915.7,00:02:35.7,3.21,20,148,92
1,00:04:54.6,925.6,00:02:35.2,3.22,20,149,93
1,00:04:57.5,935.4,00:02:35.2,3.22,20,150,94
1,00:05:00.5,945.2,00:02:36.2,3.20,20,149,95
1,00:05:03.5,954.8,00:02:36.7,3.19,20.5,149,96
1,00:05:06.3,964.1,00:02:37.7,3.17,20.5,148,97
1,00:05:09.3,973.6,00:02:38.7,3.15,21,148,98
1,00:05:12.1,982.1,00:02:42.3,3.08,20.5,148,99
1,00:05:15.2,991.2,00:02:44.4,3.04,20.5,146,100
1,00:05:18.1,1000.8,00:02:40.7,3.11,20,145,101
1,00:05:21.0,1010.0,00:02:37.2,3.18,21,146,102
1,00:05:23.9,1019.8,00:02:35.7,3.21,21,147,103
1,00:05:26.8,1028.9,00:02:34.3,3.24,21,147,104
1,00:05:29.5,1038.2,00:02:32.9,3.27,20.5,148,105
1,00:05:32.5,1048.1,00:02:31.9,3.29,20.5,150,106
1,00:05:35.3,1057.5,00:02:31.5,3.30,20.5,151,107
1,00:05:38.3,1067.2,00:02:32.4,3.28,20,151,108
1,00:05:41.3,1076.9,00:02:33.3,3.26,21,151,109
1,00:05:44.2,1086.1,00:02:33.8,3.25,20.5,151,110
1,00:05:47.2,1095.9,00:02:33.3,3.26,20.5,151,111
1,00:05:50.1,1105.7,00:02:32.9,3.27,20.5,151,112
1,00:05:53.0,1114.6,00:02:35.2,3.22,20.5,152,113
1,00:05:55.9,1124.3,00:02:36.2,3.20,20.5,151,114
1,00:05:58.7,1133.0,00:02:35.7,3.21,20.5,150,115
1,00:06:01.7,1142.7,00:02:36.7,3.19,20.5,150,116
1,00:06:04.7,1152.1,00:02:36.7,3.19,20.5,151,117
1,00:06:07.7,1161.5,00:02:37.7,3.17,20.5,151,118
1,00:06:10.6,1170.4,00:02:37.7,3.17,20.5,151,119
1,00:06:13.6,1179.8,00:02:36.7,3.19,20,151,120
1,00:06:16.4,1189.1,00:02:35.2,3.22,20.5,150,121
1,00:06:19.4,1198.8,00:02:32.9,3.27,20.5,148,122
1,00:06:22.6,1208.8,00:02:33.8,3.25,19.5,148,123
1,00:06:25.6,1218.6,00:02:35.7,3.21,20.5,148,124
1,00:06:28.4,1227.5,00:02:36.2,3.20,20.5,147,125
1,00:06:31.3,1236.8,00:02:35.2,3.22,20.5,147,126
1,00:06:34.2,1246.0,00:02:32.9,3.27,20.5,149,127
1,00:06:37.2,1255.8,00:02:30.6,3.32,21,150,128
1,00:06:39.6,1264.3,00:02:28.8,3.36,23,151,129
1,00:06:41.6,1271.8,00:02:24.0,3.47,30.5,151,130
1,00:06:43.4,1279.3,00:02:10.2,3.84,33.5,152,131
1,00:06:45.2,1287.2,00:01:56.8,4.28,33.5,153,132
1,00:06:47.2,1296.0,00:01:52.6,4.44,32,155,133
1,00:06:49.2,1304.1,00:01:52.3,4.45,33,157,134
1,00:06:50.8,1312.2,00:01:51.3,4.49,32,158,135
1,00:06:52.6,1320.2,00:01:51.3,4.49,32.5,162,136
1,00:06:54.4,1328.2,00:01:51.6,4.48,33,166,137
1,00:06:56.6,1337.6,00:01:53.3,4.41,30.5,168,138
1,00:06:59.6,1347.8,00:02:04.6,4.01,22,169,139
1,00:07:02.2,1355.7,00:02:28.3,3.37,20.5,170,140
1,00:07:05.0,1363.8,00:02:49.4,2.95,20.5,171,141
1,00:07:08.3,1373.1,00:02:57.3,2.82,18.5,167,142
1,00:07:11.6,1382.1,00:02:59.8,2.78,18.5,166,143
1,00:07:14.6,1390.3,00:03:01.8,2.75,19.5,165,144
1,00:07:17.6,1398.7,00:02:59.8,2.78,19.5,162,145
1,00:07:20.6,1408.1,00:02:50.0,2.94,20,161,146
1,00:07:23.6,1417.2,00:02:42.3,3.08,21,160,147
1,00:07:26.6,1426.5,00:02:41.2,3.10,19.5,159,148
1,00:07:29.6,1435.8,00:02:41.8,3.09,20.5,157,149
1,00:07:32.6,1445.1,00:02:42.3,3.08,20,157,150
1,00:07:35.6,1454.5,00:02:41.8,3.09,20,157,151
1,00:07:38.6,1464.0,00:02:39.7,3.13,19.5,157,152
1,00:07:41.6,1473.5,00:02:38.7,3.15,19.5,156,153
1,00:07:44.6,1483.1,00:02:38.2,3.16,19.5,158,154
1,00:07:47.8,1493.2,00:02:36.7,3.19,20,157,155
1,00:07:50.8,1502.9,00:02:35.2,3.22,20,157,156
1,00:07:53.8,1512.3,00:02:36.7,3.19,20,158,157
1,00:07:56.8,1521.6,00:02:39.2,3.14,20,157,158
1,00:07:59.8,1531.4,00:02:37.2,3.18,19.5,157,159
1,00:08:03.0,1541.5,00:02:35.7,3.21,19.5,157,160
1,00:08:06.0,1551.1,00:02:37.2,3.18,20,157,161
1,00:08:09.0,1560.8,00:02:37.7,3.17,19.5,155,162
1,00:08:12.2,1570.9,00:02:37.2,3.18,19.5,155,163
1,00:08:15.2,1580.3,00:02:39.2,3.14,20,156,164
1,00:08:18.2,1589.6,00:02:42.3,3.08,19.5,157,165
1,00:08:21.2,1599.0,00:02:42.3,3.08,20,155,166
1,00:08:24.2,1608.5,00:02:41.2,3.10,19.5,154,167
1,00:08:27.2,1618.4,00:02:37.7,3.17,20,154,168
1,00:08:30.4,1628.7,00:02:35.2,3.22,19.5,154,169
1,00:08:33.4,1638.3,00:02:36.7,3.19,19.5,154,170
1,00:08:36.4,1647.9,00:02:38.2,3.16,19.5,154,171
1,00:08:39.4,1657.5,00:02:39.2,3.14,20,155,172
1,00:08:42.4,1667.1,00:02:39.7,3.13,20,154,173
1,00:08:45.6,1676.8,00:02:41.2,3.10,19.5,153,174
1,00:08:48.6,1686.2,00:02:42.3,3.08,20,152,175
1,00:08:51.6,1695.7,00:02:41.8,3.09,20,151,176
1,00:08:54.6,1705.2,00:02:41.2,3.10,20,152,177
1,00:08:57.6,1714.6,00:02:41.2,3.10,19.5,152,178
