index,Interval,Type, Horizontal (meters),Time,Stroke, Cadence (stokes/min),Speed(m/s),Split,TimeStamp (sec), Stroke500mPace (sec/500m), HRCur (bpm), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
13,14,D,280.0,0:02:19.4,40,27.8,3.798,2:11.7,1712902956.661661,131.7,161.0,122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.796507213363706,0.0,0.0,0.0,0,1.0,4.0,48,0.0,0.0,0.0,0.0,161.0,0.0,0.0,142,146,160,167,180,192,280.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,15,D,300.0,0:02:25.1,42,26.9,3.507,2:22.6,1712902962.361661,142.6,162.0,128.20000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.506311360448808,0.0,0.0,0.0,0,1.0,4.0,50,0.0,0.0,0.0,0.0,162.0,0.0,0.0,142,146,160,167,180,192,300.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,16,D,320.0,0:02:30.7,45,26.9,3.606,2:18.7,1712902967.861661,138.7,162.0,133.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6049026676279743,0.0,0.0,0.0,0,1.0,4.0,53,0.0,0.0,0.0,0.0,162.0,0.0,0.0,142,146,160,167,180,192,320.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,17,D,340.0,0:02:36.6,47,26.3,3.368,2:28.5,1712902973.7616608,148.5,163.0,139.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367003367003367,0.0,0.0,0.0,0,1.0,4.0,55,0.0,0.0,0.0,0.0,163.0,0.0,0.0,142,146,160,167,180,192,340.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,18,D,360.0,0:02:42.7,50,26.5,3.274,2:32.7,1712902979.9616609,152.7,164.0,145.79999995231628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.274394237066143,0.0,0.0,0.0,0,1.0,4.0,58,0.0,0.0,0.0,0.0,164.0,0.0,0.0,142,146,160,167,180,192,360.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,19,D,380.0,0:02:48.6,53,25.6,3.404,2:26.9,1712902985.7616608,146.9,165.0,151.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4036759700476513,0.0,0.0,0.0,0,1.0,4.0,60,0.0,0.0,0.0,0.0,165.0,0.0,0.0,142,146,160,167,180,192,380.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,20,D,400.0,0:02:54.6,55,25.3,3.299,2:31.6,1712902991.861661,151.6,166.0,157.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2981530343007917,0.0,0.0,0.0,0,1.0,4.0,63,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,400.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,21,D,420.0,0:03:00.3,58,26.2,3.545,2:21.0,1712902997.4616609,141.0,166.0,163.29999995231628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5460992907801416,0.0,0.0,0.0,0,1.0,4.0,65,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,420.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,22,D,440.0,0:03:06.4,60,25.9,3.257,2:33.5,1712903003.661661,153.5,166.0,169.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257328990228013,0.0,0.0,0.0,0,1.0,4.0,68,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,440.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,23,D,460.0,0:03:12.6,63,26.3,3.224,2:35.1,1712903009.861661,155.1,166.0,175.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2237266279819474,0.0,0.0,0.0,0,1.0,4.0,71,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,460.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
