Total elapsed time (s),Total distance (m),Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Workout type,Interval type,Workout state,Rowing state,Stroke state,Total work distance (m),Piece duration (s),Piece distance (m),Drag factor,Current pace (/500m),Average pace (/500m),Rest distance (m),Rest time (s),Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time (s),Last split distance (m),Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (lbs),Ave. drive force (lbs),Work per stroke (J),Stroke count,Stroke power (W),Stroke calories (cal/hr),Projected work time (s),Projected work distance (m),Split/interval time (s),Split/interval distance (m),Split/interval rest time (s),Split/interval rest distance (s),Split/interval type,Split/interval number,Split/interval ave. stroke rate (/min),Split/interval ave. pace (/500m,Split/interval total calories (cals),Split/interval average calories (cal/hr),Split/interval speed (m/s),Split/interval power (W),Split/interval ave. drag factor
1.11,4.8,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
1.11,4.8,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
1.49,6.5,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
2.35,10.1,0,4.139,81,6,0,4,1,4,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
2.73,11.6,0,4.139,81,6,0,4,1,2,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,0.00,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
3.17,13.5,0,4.139,81,6,0,4,1,2,0.00,600.00,600.00,0,120.8,120.4,0.0,0.00,0,201,0,0.0,0.0,0,0.0,0,1.39,0.78,1.75,3.25,228.4,139.5,655.3,1,201,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
3.88,17.1,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
4.28,19.0,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
4.64,20.6,22,4.386,81,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
5.39,23.6,22,4.386,85,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
5.77,25.1,22,4.386,85,6,0,4,1,4,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,1.75,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
6.17,26.7,22,4.386,89,6,0,4,1,2,0.00,600.00,600.00,131,114.0,115.0,0.0,0.00,0,230,1,0.0,0.0,0,0.0,0,1.48,0.73,2.22,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
6.66,29.1,19,4.383,89,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
7.07,31.2,19,4.383,93,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
7.85,34.6,19,4.383,93,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
8.21,36.1,19,4.383,99,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
8.60,37.6,19,4.383,99,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,2.22,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
9.03,39.3,19,4.383,101,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.4,0.0,0.00,0,234,2,0.0,0.0,0,0.0,0,1.45,0.71,1.99,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
9.83,43.2,21,4.382,101,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.45,0.71,1.99,12.67,196.3,131.0,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
10.25,45.1,21,4.382,105,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
10.63,46.8,21,4.382,105,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
11.02,48.4,21,4.382,108,6,0,4,1,4,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
11.77,51.2,21,4.382,108,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,1.99,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
12.14,52.7,21,4.382,109,6,0,4,1,2,0.00,600.00,600.00,132,114.1,114.1,0.0,0.00,0,236,2,0.0,0.0,0,0.0,0,1.42,0.70,2.06,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
12.55,54.8,20,4.289,109,6,0,4,1,4,0.00,600.00,600.00,131,116.6,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,2.06,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
13.28,58.1,20,4.289,111,6,0,4,1,4,0.00,600.00,600.00,131,116.6,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,2.06,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
13.70,59.9,20,4.289,111,6,0,4,1,4,0.00,600.00,600.00,131,116.6,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,2.06,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
14.06,61.3,20,4.289,112,6,0,4,1,4,0.00,600.00,600.00,131,116.6,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,2.06,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
14.50,63.0,20,4.289,112,6,0,4,1,2,0.00,600.00,600.00,131,116.6,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,1.91,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
15.32,66.6,21,4.283,113,6,0,4,1,3,0.00,600.00,600.00,131,116.8,114.6,0.0,0.00,0,233,3,0.0,0.0,0,0.0,0,1.48,0.75,1.91,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
15.71,68.6,21,4.283,113,6,0,4,1,4,0.00,600.00,600.00,131,116.8,114.9,0.0,0.00,0,231,4,0.0,0.0,0,0.0,0,1.48,0.73,1.91,12.21,188.9,124.4,6.3,6,223,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
16.09,70.3,21,4.283,114,6,0,4,1,4,0.00,600.00,600.00,131,116.8,114.9,0.0,0.00,0,231,4,0.0,0.0,0,0.0,0,1.48,0.73,1.91,12.21,188.9,124.4,6.3,6,223,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
16.85,73.5,21,4.283,114,6,0,4,1,4,0.00,600.00,600.00,131,116.8,114.9,0.0,0.00,0,231,4,0.0,0.0,0,0.0,0,1.48,0.73,1.91,12.21,188.9,124.4,6.3,6,223,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
17.26,75.1,21,4.283,115,6,0,4,1,4,0.00,600.00,600.00,131,116.8,114.9,0.0,0.00,0,231,4,0.0,0.0,0,0.0,0,1.48,0.73,1.91,12.21,188.9,124.4,6.3,6,223,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
17.68,76.8,21,4.283,115,6,0,4,1,2,0.00,600.00,600.00,131,116.8,114.9,0.0,0.00,0,231,4,0.0,0.0,0,0.0,0,1.48,0.73,1.93,12.21,188.9,124.4,6.3,6,223,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
18.08,78.7,21,4.283,115,6,0,4,1,4,0.00,600.00,600.00,131,116.8,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.48,0.73,1.93,12.42,188.9,124.4,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
18.89,82.4,21,4.352,115,6,0,4,1,4,0.00,600.00,600.00,131,114.9,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.45,0.72,1.93,12.42,160.4,108.6,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
19.25,84.0,21,4.352,116,6,0,4,1,4,0.00,600.00,600.00,131,114.9,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.45,0.72,1.93,12.42,160.4,108.6,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
19.63,85.5,21,4.352,116,6,0,4,1,4,0.00,600.00,600.00,131,114.9,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.45,0.72,1.93,12.42,160.4,108.6,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
20.36,88.2,21,4.352,117,6,0,4,1,2,0.00,600.00,600.00,131,114.9,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.45,0.72,1.93,12.42,160.4,108.6,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
20.75,89.9,21,4.352,117,6,0,4,1,2,0.00,600.00,600.00,131,114.9,114.8,0.0,0.00,0,231,5,0.0,0.0,0,0.0,0,1.45,0.72,1.94,12.42,160.4,108.6,6.6,7,234,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
21.14,91.8,21,4.244,117,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.94,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
21.49,93.4,21,4.244,117,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.94,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
22.31,96.9,21,4.244,118,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.94,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
22.66,98.3,21,4.244,118,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.94,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
23.08,99.9,21,4.244,119,6,0,4,1,2,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.85,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
23.51,101.6,21,4.244,119,6,0,4,1,2,0.00,600.00,600.00,131,117.8,115.2,0.0,0.00,0,229,6,0.0,0.0,0,0.0,0,1.51,0.77,1.85,12.35,171.9,107.5,6.3,8,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
24.32,105.6,21,4.255,119,6,0,4,1,4,0.00,600.00,600.00,131,117.5,115.4,0.0,0.00,0,228,7,0.0,0.0,0,0.0,0,1.51,0.76,1.85,11.97,170.2,109.9,6.1,9,218,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
24.68,107.2,21,4.255,119,6,0,4,1,4,0.00,600.00,600.00,131,117.5,115.4,0.0,0.00,0,228,7,0.0,0.0,0,0.0,0,1.51,0.76,1.85,11.97,170.2,109.9,6.1,9,218,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
25.06,108.7,21,4.255,119,6,0,4,1,4,0.00,600.00,600.00,131,117.5,115.4,0.0,0.00,0,228,7,0.0,0.0,0,0.0,0,1.51,0.76,1.85,11.97,170.2,109.9,6.1,9,218,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
25.81,111.6,21,4.255,119,6,0,4,1,4,0.00,600.00,600.00,131,117.5,115.4,0.0,0.00,0,228,7,0.0,0.0,0,0.0,0,1.51,0.76,1.85,11.97,170.2,109.9,6.1,9,218,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
26.17,113.0,21,4.255,119,6,0,4,1,2,0.00,600.00,600.00,131,117.5,115.4,0.0,0.00,0,228,7,0.0,0.0,0,0.0,0,1.51,0.76,1.87,11.97,170.2,109.9,6.1,9,218,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
26.60,115.0,21,4.255,119,6,0,4,1,4,0.00,600.00,600.00,131,117.5,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.51,0.76,1.87,12.05,170.2,109.9,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
27.35,118.5,21,4.261,120,6,0,4,1,4,0.00,600.00,600.00,132,117.3,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.48,0.75,1.87,12.05,160.5,109.3,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
27.77,120.4,21,4.261,120,6,0,4,1,4,0.00,600.00,600.00,132,117.3,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.48,0.75,1.87,12.05,160.5,109.3,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
28.15,121.9,21,4.261,120,6,0,4,1,4,0.00,600.00,600.00,132,117.3,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.48,0.75,1.87,12.05,160.5,109.3,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
28.57,123.5,21,4.261,120,6,0,4,1,4,0.00,600.00,600.00,132,117.3,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.48,0.75,1.87,12.05,160.5,109.3,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
29.39,126.9,21,4.261,120,6,0,4,1,2,0.00,600.00,600.00,132,117.3,115.6,0.0,0.00,0,227,8,0.0,0.0,0,0.0,0,1.48,0.75,1.92,12.05,160.5,109.3,6.2,10,219,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
29.75,128.6,21,4.245,120,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.48,0.75,1.92,12.14,160.5,109.3,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
30.14,130.4,21,4.245,120,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.45,0.73,1.92,12.14,165.0,113.1,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
30.53,132.1,21,4.245,120,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.45,0.73,1.92,12.14,165.0,113.1,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
31.27,135.1,21,4.245,120,6,0,4,1,4,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.45,0.73,1.92,12.14,165.0,113.1,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
31.66,136.5,21,4.245,120,6,0,4,1,2,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.45,0.73,1.89,12.14,165.0,113.1,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
32.02,138.0,21,4.245,120,6,0,4,1,3,0.00,600.00,600.00,131,117.8,115.7,0.0,0.00,0,226,8,0.0,0.0,0,0.0,0,1.45,0.73,1.89,12.14,165.0,113.1,6.2,11,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
32.81,141.7,21,4.247,120,6,0,4,1,4,0.00,600.00,600.00,132,117.7,115.9,0.0,0.00,0,225,9,0.0,0.0,0,0.0,0,1.42,0.74,1.89,12.04,160.3,107.2,6.1,12,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
33.17,143.3,21,4.247,121,6,0,4,1,4,0.00,600.00,600.00,132,117.7,115.9,0.0,0.00,0,225,9,0.0,0.0,0,0.0,0,1.42,0.74,1.89,12.04,160.3,107.2,6.1,12,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
33.55,144.9,21,4.247,121,6,0,4,1,4,0.00,600.00,600.00,132,117.7,115.9,0.0,0.00,0,225,9,0.0,0.0,0,0.0,0,1.42,0.74,1.89,12.04,160.3,107.2,6.1,12,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
34.06,146.9,21,4.247,120,6,0,4,1,4,0.00,600.00,600.00,132,117.7,115.9,0.0,0.00,0,225,9,0.0,0.0,0,0.0,0,1.42,0.74,1.89,12.04,160.3,107.2,6.1,12,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
34.82,149.8,21,4.247,120,6,0,4,1,2,0.00,600.00,600.00,132,117.7,115.9,0.0,0.00,0,225,9,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.04,160.3,107.2,6.1,12,217,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
35.21,151.7,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
35.56,153.4,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
35.95,155.1,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
36.73,158.3,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
37.16,159.9,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.95,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
37.56,161.4,21,4.209,121,6,0,4,1,2,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.93,12.14,160.8,110.2,6.1,13,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
37.97,163.3,21,4.209,121,6,0,4,1,4,0.00,600.00,600.00,132,118.8,116.1,0.0,0.00,0,224,10,0.0,0.0,0,0.0,0,1.42,0.74,1.93,12.14,160.8,110.2,6.1,14,211,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
38.74,166.9,21,4.222,121,6,0,4,1,4,0.00,600.00,600.00,132,118.4,116.2,0.0,0.00,0,223,11,0.0,0.0,0,0.0,0,1.48,0.75,1.93,12.14,171.8,112.8,6.1,14,213,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
39.13,168.6,21,4.222,121,6,0,4,1,4,0.00,600.00,600.00,132,118.4,116.2,0.0,0.00,0,223,11,0.0,0.0,0,0.0,0,1.48,0.75,1.93,12.14,171.8,112.8,6.1,14,213,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
39.56,170.4,21,4.222,121,6,0,4,1,4,0.00,600.00,600.00,132,118.4,116.2,0.0,0.00,0,223,11,0.0,0.0,0,0.0,0,1.48,0.75,1.93,12.14,171.8,112.8,6.1,14,213,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
40.25,172.9,21,4.222,121,6,0,4,1,2,0.00,600.00,600.00,132,118.4,116.2,0.0,0.00,0,223,11,0.0,0.0,0,0.0,0,1.48,0.75,1.93,12.14,171.8,112.8,6.1,14,213,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
40.63,174.6,21,4.222,121,6,0,4,1,3,0.00,600.00,600.00,132,118.4,116.2,0.0,0.00,0,223,11,0.0,0.0,0,0.0,0,1.48,0.75,1.88,12.14,171.8,112.8,6.1,14,213,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
41.07,176.7,21,4.264,121,6,0,4,1,4,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.88,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
41.84,180.2,21,4.264,121,6,0,4,1,4,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.88,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
42.22,181.8,21,4.264,122,6,0,4,1,4,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.88,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
42.69,183.6,21,4.264,122,6,0,4,1,4,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.88,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
43.13,185.2,21,4.264,123,6,0,4,1,2,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
43.52,186.9,21,4.264,123,6,0,4,1,3,0.00,600.00,600.00,131,117.3,116.2,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.06,168.3,110.6,6.2,15,220,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
44.35,190.8,21,4.235,125,6,0,4,1,4,0.00,600.00,600.00,132,118.0,116.3,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.44,165.6,109.8,6.3,16,215,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
44.77,192.7,21,4.235,125,6,0,4,1,4,0.00,600.00,600.00,132,118.0,116.3,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.44,165.6,109.8,6.3,16,215,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
45.16,194.3,21,4.235,126,6,0,4,1,4,0.00,600.00,600.00,132,118.0,116.3,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.44,165.6,109.8,6.3,16,215,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
45.69,196.3,21,4.235,126,6,0,4,1,4,0.00,600.00,600.00,132,118.0,116.3,0.0,0.00,0,223,12,0.0,0.0,0,0.0,0,1.48,0.75,1.98,12.44,165.6,109.8,6.3,16,215,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.000,0,0
