index, Cadence (stokes/min), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), Power (watts), Stroke500mPace (sec/500m), lapIdx,TimeStamp (sec)
1162,23.0,3272.60800004,169.0,3539.961,190.1812,122.5463,2.0,1452629863.49
1163,23.0,3275.20600009,169.0,3550.573,192.065,122.1443,2.0,1452629866.08
1164,22.0,3277.9059999,170.0,3561.63,191.8362,122.19285,2.0,1452629868.78
1165,22.0,3280.5999999,169.0,3572.682,193.4501,121.8521,2.0,1452629871.48
1166,22.0,3283.29699993,170.0,3583.664,189.9083,122.60495,2.0,1452629874.17
1167,21.0,3286.10699987,170.0,3594.995,183.148,124.0953,2.0,1452629876.98
1168,22.0,3288.90299988,170.0,3606.259,182.616,124.2157,2.0,1452629879.78
1169,22.0,3291.59599996,169.0,3617.16,185.4344,123.58315,2.0,1452629882.47
1170,22.0,3294.20700002,169.0,3627.703,185.9434,123.47025,2.0,1452629885.09
1171,23.0,3296.89299989,169.0,3638.607,185.3774,123.5958,2.0,1452629887.77
1172,23.0,3299.50399995,169.0,3649.153,184.8815,123.7062,2.0,1452629890.38
1173,22.0,3302.204,169.0,3660.132,187.5601,123.1145,2.0,1452629893.08
1174,23.0,3304.7980001,169.0,3670.824,196.8448,121.14755,2.0,1452629895.68
1175,23.0,3307.38899994,168.0,3681.512,197.9318,120.9254,2.0,1452629898.27
1176,23.0,3310.10299993,168.0,3692.702,194.4827,121.63605,2.0,1452629900.98
1177,22.0,3312.80800009,168.0,3703.745,191.6799,122.22605,2.0,1452629903.69
1178,22.0,3315.59800005,168.0,3715.233,194.3055,121.67305,2.0,1452629906.48
1179,22.0,3318.296,168.0,3726.289,192.2424,122.10675,2.0,1452629909.17
1180,22.0,3320.99000001,168.0,3737.338,194.4523,121.6424,2.0,1452629911.87
1181,22.0,3323.79399991,168.0,3748.897,194.9908,121.5303,2.0,1452629914.67
1182,22.0,3326.48799992,168.0,3759.95,194.5063,121.63115,2.0,1452629917.37
1183,22.0,3329.30299997,169.0,3771.516,192.7608,121.9972,2.0,1452629920.18
1184,22.0,3331.99300003,169.0,3782.424,188.0386,123.01,2.0,1452629922.87
1185,22.0,3334.79200006,169.0,3793.766,185.5057,123.5673,2.0,1452629925.67
1186,22.0,3337.48799992,169.0,3804.675,187.1336,123.20795,2.0,1452629928.37
1187,22.0,3340.204,169.0,3815.654,185.0149,123.6765,2.0,1452629931.08
1188,22.0,3342.898,169.0,3826.566,186.112,123.433,2.0,1452629933.78
1189,22.0,3345.69199991,168.0,3837.835,182.7723,124.18025,2.0,1452629936.57
1190,21.0,3348.50099993,168.0,3849.109,182.2782,124.29235,2.0,1452629939.38
1191,22.0,3351.30200005,167.0,3860.373,180.4012,124.72195,2.0,1452629942.18
1192,22.0,3354.00099993,167.0,3871.282,184.9896,123.6821,2.0,1452629944.88
1193,22.0,3356.8039999,166.0,3882.407,174.4242,126.1306,2.0,1452629947.68
1194,22.0,3359.48900008,167.0,3893.243,184.0199,123.899,2.0,1452629950.37
1195,22.0,3362.19799995,168.0,3904.292,189.9216,122.6021,2.0,1452629953.08
1196,21.0,3364.9849999,168.0,3915.632,189.5305,122.6864,2.0,1452629955.86
1197,21.0,3367.79699993,168.0,3926.977,184.8318,123.7173,2.0,1452629958.67
1198,21.0,3370.7019999,168.0,3938.76,185.2224,123.63025,2.0,1452629961.58
1199,21.0,3373.49699998,168.0,3950.028,184.1992,123.8588,2.0,1452629964.38
1200,21.0,3376.28900003,169.0,3961.363,187.7338,123.0765,2.0,1452629967.17
1201,21.0,3379.09399986,169.0,3972.847,192.6648,122.01745,2.0,1452629969.97
1202,21.0,3381.89499998,169.0,3984.258,189.6455,122.66155,2.0,1452629972.77
1203,22.0,3384.68799996,169.0,3995.601,186.4563,123.35695,2.0,1452629975.57
1204,21.0,3387.49300003,169.0,4006.868,182.2306,124.3032,2.0,1452629978.37
1205,21.0,3390.38999987,169.0,4018.577,183.2387,124.0748,2.0,1452629981.27
1206,21.0,3393.18700004,169.0,4029.836,182.8918,124.1532,2.0,1452629984.07
1207,21.0,3395.99300003,169.0,4041.185,186.1986,123.41385,2.0,1452629986.87
1208,21.0,3398.78900003,169.0,4052.465,184.7358,123.73875,2.0,1452629989.67
1209,22.0,3401.58999991,169.0,4063.738,180.9287,124.6006,2.0,1452629992.47
1210,22.0,3404.29399991,169.0,4074.578,180.6319,124.6688,2.0,1452629995.17
1211,21.0,3407.09500003,169.0,4085.993,189.3584,122.7235,2.0,1452629997.97
1212,22.0,3409.90199995,170.0,4097.562,194.6405,121.6032,2.0,1452630000.78
1213,21.0,3412.69499993,169.0,4108.978,192.654,122.0197,2.0,1452630003.57
1214,22.0,3415.49900007,170.0,4120.393,188.0629,123.00465,2.0,1452630006.38
1215,22.0,3418.18899989,170.0,4131.376,191.8779,122.184,2.0,1452630009.07
1216,21.0,3420.99900007,170.0,4142.788,187.9496,123.0294,2.0,1452630011.88
1217,22.0,3423.69199991,170.0,4153.763,189.2207,122.7533,2.0,1452630014.57
1218,21.0,3426.49300003,170.0,4165.103,185.7547,123.5121,2.0,1452630017.37
1219,21.0,3429.28399992,170.0,4176.378,184.5448,123.7814,2.0,1452630020.16
1220,21.0,3432.09399986,170.0,4187.717,184.5415,123.78215,2.0,1452630022.97
1221,22.0,3434.89599991,170.0,4199.128,188.6599,122.8748,2.0,1452630025.77
1222,21.0,3437.69099998,169.0,4210.47,187.0229,123.23225,2.0,1452630028.57
1223,21.0,3440.49000001,169.0,4221.823,187.7334,123.0766,2.0,1452630031.37
1224,21.0,3443.39400005,169.0,4233.67,188.8538,122.83275,2.0,1452630034.27
1225,21.0,3446.29299998,168.0,4245.374,184.0094,123.90135,2.0,1452630037.17
1226,21.0,3449.102,168.0,4256.718,184.7295,123.74015,2.0,1452630039.98
1227,21.0,3451.8829999,168.0,4267.99,187.2643,123.1793,2.0,1452630042.76
1228,21.0,3454.69199991,168.0,4279.34,185.2179,123.6313,2.0,1452630045.57
1229,21.0,3457.59399986,169.0,4291.199,189.7816,122.63225,2.0,1452630048.47
1230,22.0,3460.28799987,169.0,4302.184,191.2184,122.32435,2.0,1452630051.17
1231,22.0,3463.08899999,169.0,4313.601,188.5296,122.9031,2.0,1452630053.97
1232,22.0,3465.89499998,169.0,4325.089,191.8949,122.1804,2.0,1452630056.77
1233,22.0,3468.68700004,169.0,4336.5,190.7942,122.4149,2.0,1452630059.57
1234,22.0,3471.39100003,169.0,4347.476,188.5541,122.89775,2.0,1452630062.27
1235,22.0,3474.18300009,170.0,4358.891,190.9859,122.37395,2.0,1452630065.06
1236,22.0,3476.98799992,170.0,4370.315,187.9757,123.0237,2.0,1452630067.87
1237,22.0,3479.69000006,169.0,4381.289,188.6807,122.8703,2.0,1452630070.57
1238,21.0,3482.48399997,169.0,4392.703,191.6815,122.22575,2.0,1452630073.36
1239,22.0,3485.18799996,169.0,4403.822,194.6536,121.60045,2.0,1452630076.07
1240,22.0,3487.98900008,169.0,4415.316,192.1654,122.12305,2.0,1452630078.87
1241,22.0,3490.68599987,170.0,4426.515,200.019,120.5033,2.0,1452630081.56
1242,22.0,3493.38899994,170.0,4437.641,197.0411,121.10735,2.0,1452630084.27
1243,21.0,3496.18799996,171.0,4449.132,193.8405,121.77025,2.0,1452630087.07
1244,22.0,3498.98900008,171.0,4460.631,191.9608,122.1664,2.0,1452630089.87
1245,22.0,3501.68499994,170.0,4471.685,193.0248,121.9415,2.0,1452630092.56
1246,21.0,3504.48900008,171.0,4483.105,189.1583,122.7668,2.0,1452630095.37
1247,21.0,3507.28999996,171.0,4494.516,190.3695,122.50585,2.0,1452630098.17
1248,22.0,3510.08500004,171.0,4505.924,189.8389,122.6199,2.0,1452630100.96
1249,22.0,3512.79099989,171.0,4517.045,195.6254,121.39875,2.0,1452630103.67
1250,22.0,3515.58999991,171.0,4528.606,195.1028,121.50705,2.0,1452630106.47
1251,22.0,3518.29099989,171.0,4539.799,199.7885,120.54965,2.0,1452630109.17
1252,22.0,3520.98399997,172.0,4550.919,197.1212,121.0909,2.0,1452630111.86
1253,22.0,3523.69300008,171.0,4562.038,194.0185,121.733,2.0,1452630114.57
1254,22.0,3526.47900009,171.0,4573.515,194.9758,121.53345,2.0,1452630117.36
1255,22.0,3529.19599986,171.0,4584.641,193.532,121.8349,2.0,1452630120.07
1256,22.0,3531.98099995,171.0,4596.128,195.3563,121.4545,2.0,1452630122.86
1257,22.0,3534.69199991,171.0,4607.176,190.4034,122.4986,2.0,1452630125.57
1258,23.0,3537.28699994,171.0,4617.787,192.7447,122.0006,2.0,1452630128.16
1259,22.0,3540.09200001,171.0,4629.359,194.3046,121.67325,2.0,1452630130.97
1260,23.0,3542.69000006,171.0,4639.981,192.1845,122.119,2.0,1452630133.57
1261,22.0,3545.37800002,171.0,4650.964,190.8461,122.4038,2.0,1452630136.26
1262,22.0,3548.08100009,171.0,4662.156,198.4571,120.8186,2.0,1452630138.96
1263,22.0,3550.796,171.0,4673.42,199.8853,120.53015,2.0,1452630141.67
1264,21.0,3553.57999992,171.0,4684.842,193.761,121.7869,2.0,1452630144.46
1265,22.0,3556.28900003,171.0,4695.891,190.7293,122.4288,2.0,1452630147.17
1266,22.0,3558.98399997,171.0,4706.776,184.2818,123.84025,2.0,1452630149.86
1267,22.0,3561.6789999,171.0,4717.834,194.2535,121.6839,2.0,1452630152.56
1268,22.0,3564.38700008,172.0,4729.04,198.2415,120.8624,2.0,1452630155.27
1269,23.0,3567.08399987,172.0,4740.252,200.1365,120.4797,2.0,1452630157.96
1270,22.0,3569.69199991,171.0,4750.947,194.8691,121.5556,2.0,1452630160.57
1271,22.0,3572.48900008,171.0,4762.511,196.1766,121.28495,2.0,1452630163.37
1272,22.0,3575.18499994,172.0,4773.629,196.3406,121.2512,2.0,1452630166.06
1273,22.0,3577.79299998,172.0,4784.391,198.5337,120.80305,2.0,1452630168.67
1274,23.0,3580.47399998,172.0,4795.441,194.8346,121.5628,2.0,1452630171.35
1275,22.0,3583.18300009,172.0,4806.488,189.0577,122.78855,2.0,1452630174.06
1276,23.0,3585.79099989,172.0,4817.107,189.1824,122.76155,2.0,1452630176.67
1277,23.0,3588.39299989,172.0,4827.788,195.0511,121.5178,2.0,1452630179.27
1278,22.0,3591.18000007,173.0,4839.206,192.1388,122.1287,2.0,1452630182.06
1279,23.0,3593.77999997,173.0,4849.83,191.0962,122.3504,2.0,1452630184.66
1280,23.0,3596.38800001,172.0,4860.457,189.8516,122.61715,2.0,1452630187.27
1281,22.0,3599.18199992,173.0,4871.725,182.3854,124.268,2.0,1452630190.06
1282,0.0,3600.0,120.0,4875.149,44.02776,199.57855,2.0,1452630190.88
1283,20.0,3603.96499991,121.0,10.63423,57.05256,183.06175,3.0,1452630194.84
1284,19.0,3607.06699991,120.0,19.88057,74.03526,167.83265,3.0,1452630197.94
1285,20.0,3610.06900001,120.0,29.99693,106.3268,148.7562,3.0,1452630200.95
1286,20.0,3613.07200003,121.0,40.34072,113.9638,145.35625,3.0,1452630203.95
1287,20.0,3616.05999994,122.0,50.53851,112.4788,145.99315,3.0,1452630206.94
1288,20.0,3619.07399988,121.0,60.52422,101.9757,150.8425,3.0,1452630209.95
1289,21.0,3621.86199999,121.0,69.7024,100.1017,151.778,3.0,1452630212.74
1290,21.0,3624.86800003,122.0,80.12048,115.2062,144.83185,3.0,1452630215.75
1291,21.0,3627.76300001,122.0,90.16605,117.2897,143.9691,3.0,1452630218.64
1292,20.0,3630.75999999,125.0,100.5695,117.3227,143.95565,3.0,1452630221.64
1293,20.0,3633.75499988,128.0,110.9755,117.31,143.96085,3.0,1452630224.63
1294,20.0,3636.66799998,129.0,120.9482,112.6546,145.91715,3.0,1452630227.55
1295,20.0,3639.66000009,129.0,131.0705,109.2222,147.42995,3.0,1452630230.54
1296,20.0,3642.77600002,129.0,141.6942,109.4555,147.32515,3.0,1452630233.65
1297,21.0,3645.55900002,128.0,151.3703,118.8322,143.3435,3.0,1452630236.44
1298,20.0,3648.57599998,129.0,161.9109,118.3543,143.53615,3.0,1452630239.45
1299,20.0,3651.46000004,130.0,171.9473,119.08,143.244,3.0,1452630242.34
1300,20.0,3654.46899986,130.0,182.423,117.5195,143.8752,3.0,1452630245.35
1301,20.0,3657.47199988,131.0,192.9593,120.9762,142.49165,3.0,1452630248.35
1302,20.0,3660.47900009,132.0,203.5042,120.5285,142.66785,3.0,1452630251.36
1303,20.0,3663.46399999,134.0,213.9049,119.4524,143.095,3.0,1452630254.34
1304,20.0,3666.56399989,135.0,224.8113,121.5207,142.2785,3.0,1452630257.44
1305,20.0,3669.66299987,135.0,235.648,119.0537,143.25455,3.0,1452630260.54
1306,20.0,3672.67499995,136.0,246.2725,123.6674,141.45045,3.0,1452630263.55
1307,20.0,3675.66499996,136.0,256.893,125.2232,140.8622,3.0,1452630266.54
1308,20.0,3678.66599989,137.0,267.5887,127.3602,140.06985,3.0,1452630269.54
1309,20.0,3681.66700006,136.0,278.2881,126.2452,140.48105,3.0,1452630272.55
1310,20.0,3684.66299987,136.0,288.9886,127.8182,139.90235,3.0,1452630275.54
1311,21.0,3687.56900001,136.0,299.3897,128.7649,139.5587,3.0,1452630278.45
1312,20.0,3690.66499996,136.0,310.4427,126.5312,140.3751,3.0,1452630281.54
1313,20.0,3693.67000008,137.0,321.1321,126.3724,140.4339,3.0,1452630284.55
1314,20.0,3696.67400002,137.0,331.7519,123.9044,141.3602,3.0,1452630287.55
1315,20.0,3699.76799989,138.0,342.8893,129.463,139.3074,3.0,1452630290.65
1316,20.0,3702.67000008,138.0,353.3691,132.4565,138.2499,3.0,1452630293.55
1317,19.0,3705.76399994,138.0,364.4273,127.9297,139.8617,3.0,1452630296.64
1318,20.0,3708.76099992,138.0,375.0525,124.6738,141.0688,3.0,1452630299.64
1319,20.0,3711.77200007,138.0,385.8152,128.2492,139.7455,3.0,1452630302.65
1320,20.0,3714.87199998,138.0,396.8689,126.002,140.5714,3.0,1452630305.75
1321,20.0,3717.86400008,138.0,407.6308,130.4544,138.9536,3.0,1452630308.74
1322,19.0,3720.87199998,138.0,418.4717,132.3374,138.29135,3.0,1452630311.75
1323,20.0,3723.87599993,139.0,429.46,135.9393,137.05905,3.0,1452630314.75
1324,20.0,3726.85899997,139.0,440.4489,140.2981,135.6247,3.0,1452630317.74
1325,20.0,3729.86500001,139.0,451.5143,139.7863,135.79,3.0,1452630320.74
1326,20.0,3732.86599994,140.0,462.5,137.141,136.6575,3.0,1452630323.74
1327,20.0,3735.87199998,140.0,473.4171,134.3582,137.59455,3.0,1452630326.75
1328,20.0,3738.97000003,141.0,484.6222,131.9013,138.44365,3.0,1452630329.85
1329,20.0,3741.97600007,142.0,495.4642,131.2754,138.6633,3.0,1452630332.85
1330,20.0,3744.97399998,142.0,506.1653,128.1905,139.76685,3.0,1452630335.85
1331,20.0,3747.97000003,142.0,516.8692,127.3004,140.0918,3.0,1452630338.85
1332,20.0,3750.95899987,141.0,527.6403,131.0377,138.7471,3.0,1452630341.84
1333,20.0,3753.96899986,141.0,538.5566,133.1893,137.9959,3.0,1452630344.85
1334,20.0,3756.96799994,141.0,549.469,134.6826,137.484,3.0,1452630347.85
1335,19.0,3760.06800008,141.0,560.6027,129.5664,139.2703,3.0,1452630350.95
1336,20.0,3762.95700002,141.0,571.2293,140.1554,135.6707,3.0,1452630353.84
1337,20.0,3765.97000003,141.0,582.3589,140.2639,135.6357,3.0,1452630356.85
1338,20.0,3768.86899996,141.0,593.0474,141.9169,135.10705,3.0,1452630359.75
1339,20.0,3771.86500001,141.0,604.1774,142.989,134.76855,3.0,1452630362.74
1340,20.0,3774.76999998,141.0,614.7959,137.3522,136.58745,3.0,1452630365.65
1341,19.0,3777.86299992,141.0,626.1339,137.877,136.41395,3.0,1452630368.74
1342,20.0,3780.85800004,141.0,637.0518,135.7574,137.12025,3.0,1452630371.74
1343,20.0,3783.8599999,141.0,647.9636,133.787,137.7901,3.0,1452630374.74
1344,21.0,3786.76900005,142.0,658.5815,136.5088,136.8682,3.0,1452630377.65
1345,20.0,3789.86100006,142.0,669.8639,134.8921,137.4128,3.0,1452630380.74
1346,20.0,3792.85500002,143.0,680.71,134.2732,137.6236,3.0,1452630383.73
1347,20.0,3795.97000003,144.0,692.1342,136.9958,136.7058,3.0,1452630386.85
1348,20.0,3798.95600009,144.0,702.9072,132.1064,138.37195,3.0,1452630389.83
1349,20.0,3801.8599999,145.0,713.3949,132.821,138.12335,3.0,1452630392.74
1350,21.0,3804.86500001,145.0,724.3935,135.9167,137.0666,3.0,1452630395.74
1351,20.0,3807.76799989,145.0,734.9496,135.7769,137.11365,3.0,1452630398.65
1352,20.0,3810.75699997,144.0,745.9336,137.9864,136.37785,3.0,1452630401.63
1353,20.0,3813.76300001,144.0,756.9185,136.5696,136.84785,3.0,1452630404.64
1354,20.0,3816.7579999,144.0,767.9026,138.7788,136.1178,3.0,1452630407.64
1355,20.0,3819.76300001,144.0,778.8961,137.4703,136.54835,3.0,1452630410.64
1356,20.0,3822.8599999,145.0,790.3239,139.4095,135.91225,3.0,1452630413.74
1357,20.0,3825.75099993,145.0,800.8793,137.9873,136.37755,3.0,1452630416.63
1358,20.0,3828.7579999,145.0,811.8678,135.3218,137.2672,3.0,1452630419.64
1359,20.0,3831.66599989,144.0,822.5662,140.6024,135.5268,3.0,1452630422.54
1360,20.0,3834.66100001,144.0,833.8453,148.627,133.0424,3.0,1452630425.54
1361,20.0,3837.66899991,144.0,845.0536,144.6416,134.2533,3.0,1452630428.55
1362,20.0,3840.67000008,145.0,856.1788,143.2574,134.6843,3.0,1452630431.55
1363,20.0,3843.65700006,145.0,867.3801,146.7913,133.5947,3.0,1452630434.54
1364,20.0,3846.66000009,145.0,878.7263,150.7619,132.4114,3.0,1452630437.54
1365,20.0,3849.56999993,145.0,889.6989,151.1085,132.3101,3.0,1452630440.45
1366,20.0,3852.56900001,145.0,901.0513,151.878,132.0863,3.0,1452630443.45
1367,20.0,3855.56200004,145.0,912.4023,152.7347,131.83885,3.0,1452630446.44
1368,20.0,3858.55900002,146.0,923.7471,151.9434,132.06735,3.0,1452630449.44
1369,20.0,3861.45300007,146.0,934.6513,150.4383,132.5063,3.0,1452630452.33
1370,20.0,3864.454,146.0,945.9937,151.1101,132.30965,3.0,1452630455.33
1371,20.0,3867.46300006,146.0,957.2675,147.3147,133.4363,3.0,1452630458.34
1372,20.0,3870.46600008,146.0,968.6157,150.4289,132.50905,3.0,1452630461.34
1373,20.0,3873.45300007,146.0,979.8929,149.9694,132.64425,3.0,1452630464.33
1374,20.0,3876.36100006,147.0,990.8032,148.6583,133.0331,3.0,1452630467.24
1375,58.0,3889.12400007,143.0,1011.739,34.16161,217.1917,3.0,1452630480.0
1376,21.0,3891.93300009,142.0,1019.442,56.36843,183.79935,3.0,1452630482.81
1377,21.0,3894.74000001,141.0,1029.031,111.0849,146.60125,3.0,1452630485.62
1378,21.0,3897.53699994,140.0,1039.142,133.1004,138.0266,3.0,1452630488.41
1379,20.0,3900.54099989,141.0,1050.281,141.4158,135.26645,3.0,1452630491.42
1380,21.0,3903.34800005,140.0,1060.826,149.3884,132.816,3.0,1452630494.23
1381,21.0,3906.24600005,141.0,1071.65,145.612,133.9544,3.0,1452630497.12
1382,21.0,3909.15100002,142.0,1082.503,145.6245,133.9506,3.0,1452630500.03
1383,21.0,3912.05099988,143.0,1093.425,149.5678,132.76285,3.0,1452630502.93
1384,21.0,3914.93700004,144.0,1104.264,148.9084,132.95855,3.0,1452630505.82
1385,21.0,3917.84100008,144.0,1115.261,152.1728,132.0009,3.0,1452630508.72
1386,20.0,3920.83100009,144.0,1126.541,149.682,132.7291,3.0,1452630511.71
1387,20.0,3923.74099994,143.0,1137.372,144.7367,134.2239,3.0,1452630514.62
1388,20.0,3926.72900009,142.0,1148.495,144.0416,134.43945,3.0,1452630517.61
1389,20.0,3929.64899993,142.0,1159.408,146.4442,133.7002,3.0,1452630520.53
1390,20.0,3932.64299989,142.0,1170.693,149.3185,132.8367,3.0,1452630523.52
1391,20.0,3935.63899994,142.0,1181.974,149.1639,132.8826,3.0,1452630526.52
1392,20.0,3938.64100003,142.0,1193.26,149.203,132.87095,3.0,1452630529.52
1393,20.0,3941.54299998,143.0,1204.17,149.357,132.8253,3.0,1452630532.42
1394,20.0,3944.53500009,144.0,1215.523,152.3601,131.94685,3.0,1452630535.41
1395,20.0,3947.44400001,145.0,1226.51,151.343,132.24175,3.0,1452630538.32
1396,21.0,3950.35100007,144.0,1237.651,157.5443,130.48335,3.0,1452630541.23
1397,20.0,3953.34100008,144.0,1248.86,147.4311,133.4012,3.0,1452630544.22
1398,21.0,3956.13700008,145.0,1259.482,154.5198,131.3292,3.0,1452630547.02
1399,21.0,3959.0309999,145.0,1270.539,155.9367,130.9302,3.0,1452630549.91
1400,21.0,3961.93499994,146.0,1281.599,153.9573,131.48895,3.0,1452630552.81
1401,21.0,3964.75,147.0,1292.289,153.9887,131.48,3.0,1452630555.63
1402,21.0,3967.7349999,147.0,1303.712,155.5484,131.03905,3.0,1452630558.61
1403,21.0,3970.63999987,148.0,1314.773,154.9228,131.21525,3.0,1452630561.52
1404,21.0,3973.5309999,149.0,1325.763,154.1762,131.4267,3.0,1452630564.41
1405,20.0,3976.43799996,149.0,1336.753,152.4122,131.9318,3.0,1452630567.32
1406,20.0,3979.44400001,149.0,1348.182,152.7599,131.8316,3.0,1452630570.32
1407,21.0,3982.33699989,150.0,1359.169,153.5776,131.5972,3.0,1452630573.21
1408,21.0,3985.24000001,150.0,1370.078,148.8869,132.96495,3.0,1452630576.12
1409,21.0,3988.13700008,150.0,1380.987,149.5995,132.7535,3.0,1452630579.02
1410,21.0,3991.03200006,150.0,1391.821,146.3055,133.7424,3.0,1452630581.91
1411,20.0,3993.94199991,150.0,1402.733,148.3123,133.13645,3.0,1452630584.82
1412,20.0,3996.92799997,150.0,1414.081,153.0178,131.7575,3.0,1452630587.81
1413,21.0,3999.83999991,150.0,1425.139,153.2574,131.6888,3.0,1452630590.72
1414,21.0,4002.73199987,150.0,1436.048,150.9985,132.34225,3.0,1452630593.61
1415,21.0,4005.63400006,151.0,1447.037,152.0476,132.03715,3.0,1452630596.51
1416,21.0,4008.5309999,152.0,1458.022,153.1087,131.73145,3.0,1452630599.41
1417,21.0,4011.44199991,152.0,1469.016,150.8074,132.3981,3.0,1452630602.32
1418,20.0,4014.53600001,153.0,1480.654,147.6851,133.32465,3.0,1452630605.41
1419,19.0,4017.6329999,153.0,1492.214,145.261,134.0622,3.0,1452630608.51
1420,20.0,4020.52699995,153.0,1503.058,147.897,133.26095,3.0,1452630611.4
1421,20.0,4023.5480001,152.0,1514.41,148.6079,133.0481,3.0,1452630614.43
1422,20.0,4026.54099989,152.0,1525.62,147.4002,133.4105,3.0,1452630617.42
1423,20.0,4029.63499999,152.0,1537.267,148.3809,133.11595,3.0,1452630620.51
1424,20.0,4032.63599992,152.0,1548.553,149.9385,132.65335,3.0,1452630623.51
1425,20.0,4035.63899994,152.0,1559.759,145.699,133.9277,3.0,1452630626.52
1426,20.0,4038.63199997,152.0,1570.888,143.6559,134.55965,3.0,1452630629.51
1427,20.0,4041.53600001,151.0,1581.652,143.09,134.7368,3.0,1452630632.41
1428,20.0,4044.53699994,151.0,1592.858,145.4999,133.9888,3.0,1452630635.41
1429,20.0,4047.53900003,150.0,1604.069,144.8479,134.1895,3.0,1452630638.42
1430,20.0,4050.54299998,150.0,1615.276,145.7892,133.9001,3.0,1452630641.42
1431,20.0,4053.54299998,149.0,1626.414,143.9557,134.4662,3.0,1452630644.42
1432,20.0,4056.54399991,149.0,1637.55,142.7135,134.8552,3.0,1452630647.42
1433,20.0,4059.53200006,149.0,1648.537,139.6046,135.8489,3.0,1452630650.41
1434,20.0,4062.53500009,149.0,1659.673,143.0652,134.7446,3.0,1452630653.41
1435,20.0,4065.64199996,149.0,1671.304,146.1841,133.7794,3.0,1452630656.52
1436,20.0,4068.73300004,148.0,1682.934,148.8434,132.9779,3.0,1452630659.61
1437,20.0,4071.727,149.0,1694.138,147.3803,133.4165,3.0,1452630662.61
1438,20.0,4074.73699999,149.0,1705.409,146.2825,133.7494,3.0,1452630665.62
1439,20.0,4077.74099994,149.0,1716.616,146.7671,133.60205,3.0,1452630668.62
1440,20.0,4080.73000002,149.0,1727.825,147.7509,133.30485,3.0,1452630671.61
1441,20.0,4083.83299994,150.0,1739.471,146.9408,133.5494,3.0,1452630674.71
1442,20.0,4086.93899989,150.0,1751.118,146.9454,133.548,3.0,1452630677.82
1443,20.0,4089.83999991,150.0,1762.026,150.5186,132.4827,3.0,1452630680.72
1444,20.0,4092.93400002,150.0,1773.742,150.7405,132.4177,3.0,1452630683.81
1445,20.0,4095.93300009,150.0,1784.938,146.5146,133.67875,3.0,1452630686.81
1446,20.0,4098.94099998,150.0,1796.063,142.0258,135.0725,3.0,1452630689.82
1447,20.0,4102.02999997,150.0,1807.482,141.0635,135.37895,3.0,1452630692.91
1448,20.0,4105.04200006,149.0,1818.672,142.908,134.794,3.0,1452630695.92
1449,20.0,4108.03699994,149.0,1829.797,143.8287,134.50575,3.0,1452630698.91
1450,20.0,4111.02999997,149.0,1840.85,142.0755,135.05675,3.0,1452630701.91
1451,20.0,4114.13100004,149.0,1852.422,144.8004,134.2042,3.0,1452630705.01
1452,20.0,4117.02999997,149.0,1863.274,147.5777,133.35695,3.0,1452630707.91
1453,20.0,4120.02699995,149.0,1874.399,142.8899,134.79965,3.0,1452630710.9
1454,19.0,4123.13400006,148.0,1886.033,146.9601,133.54355,3.0,1452630714.01
1455,20.0,4126.23600006,148.0,1897.593,144.355,134.34205,3.0,1452630717.11
1456,19.0,4129.32999992,148.0,1909.093,143.3774,134.6467,3.0,1452630720.21
1457,20.0,4132.32999992,148.0,1920.295,146.1095,133.8022,3.0,1452630723.21
1458,20.0,4135.32099986,148.0,1931.429,145.0343,134.132,3.0,1452630726.2
1459,20.0,4138.33599997,148.0,1942.708,146.3324,133.7342,3.0,1452630729.21
1460,21.0,4141.23799992,147.0,1953.552,146.3203,133.7379,3.0,1452630732.12
1461,21.0,4144.23000002,147.0,1964.83,148.8316,132.9814,3.0,1452630735.11
1462,20.0,4147.13999987,147.0,1975.669,145.72,133.9213,3.0,1452630738.02
1463,21.0,4150.03699994,148.0,1986.433,143.8558,134.4973,3.0,1452630740.91
1464,51.0,4165.26399994,143.0,2007.446,25.49435,239.44625,3.0,1452630756.14
1465,21.0,4168.16799998,142.0,2014.717,43.58047,200.259,3.0,1452630759.05
1466,20.0,4171.16299987,142.0,2024.167,87.03779,159.0206,3.0,1452630762.04
1467,21.0,4174.07099986,141.0,2034.348,118.9756,143.28585,3.0,1452630764.95
1468,20.0,4176.96600008,140.0,2044.827,133.9616,137.73025,3.0,1452630767.84
1469,20.0,4179.97399998,139.0,2055.803,135.7492,137.123,3.0,1452630770.85
1470,20.0,4182.97099996,139.0,2066.715,135.5071,137.2046,3.0,1452630773.85
1471,20.0,4185.96700001,140.0,2077.639,135.5865,137.1778,3.0,1452630776.85
1472,20.0,4188.96000004,139.0,2088.627,137.9137,136.40185,3.0,1452630779.84
1473,20.0,4191.9749999,139.0,2099.833,143.6618,134.5578,3.0,1452630782.85
1474,20.0,4194.87700009,138.0,2110.601,144.0196,134.4463,3.0,1452630785.76
1475,20.0,4197.87800002,138.0,2121.733,142.6324,134.88075,3.0,1452630788.76
1476,20.0,4200.86999989,138.0,2133.015,149.8569,132.67745,3.0,1452630791.75
1477,20.0,4203.86699986,139.0,2144.293,148.1507,133.18485,3.0,1452630794.74
1478,20.0,4206.76799989,139.0,2155.14,147.7517,133.3046,3.0,1452630797.65
1479,20.0,4209.76900005,139.0,2166.352,144.6728,134.24365,3.0,1452630800.65
