index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,139.5,0,1.39,780.0,1.11,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11
1,139.5,0,1.39,780.0,1.11,81,4.8,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.11
2,139.5,0,1.39,780.0,1.49,81,6.5,228.4,198.548788525,120.8,3.25,0.0,0,1464703623.49
3,139.5,0,1.39,780.0,2.35,81,10.1,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.35
4,139.5,0,1.39,780.0,2.73,81,11.6,228.4,198.548788525,120.8,3.25,0.0,0,1464703624.73
5,139.5,0,1.39,780.0,3.17,81,13.5,228.4,198.548788525,120.8,3.25,1750.0,0,1464703625.17
6,142.9,22,1.48,730.0,3.88,81,17.1,211.6,236.240030671,114.0,11.79,1750.0,0,1464703625.88
7,142.9,22,1.48,730.0,4.28,81,19.0,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.28
8,142.9,22,1.48,730.0,4.64,81,20.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703626.64
9,142.9,22,1.48,730.0,5.39,85,23.6,211.6,236.240030671,114.0,11.79,1750.0,0,1464703627.39
10,142.9,22,1.48,730.0,5.77,85,25.1,211.6,236.240030671,114.0,11.79,1750.0,0,1464703627.77
11,142.9,22,1.48,730.0,6.17,89,26.7,211.6,236.240030671,114.0,11.79,2220.0,0,1464703628.17
12,131.0,19,1.45,710.0,6.66,89,29.1,196.3,235.619435461,114.1,13.72,2220.0,0,1464703628.66
13,131.0,19,1.45,710.0,7.07,93,31.2,196.3,235.619435461,114.1,13.72,2220.0,0,1464703629.07
14,131.0,19,1.45,710.0,7.85,93,34.6,196.3,235.619435461,114.1,13.72,2220.0,0,1464703629.85
15,131.0,19,1.45,710.0,8.21,99,36.1,196.3,235.619435461,114.1,13.72,2220.0,0,1464703630.21
16,131.0,19,1.45,710.0,8.6,99,37.6,196.3,235.619435461,114.1,13.72,2220.0,0,1464703630.6
17,131.0,19,1.45,710.0,9.03,101,39.3,196.3,235.619435461,114.1,13.72,1990.0,0,1464703631.03
18,131.0,21,1.45,710.0,9.83,101,43.2,196.3,235.619435461,114.1,12.67,1990.0,0,1464703631.83
19,120.7,21,1.42,700.0,10.25,105,45.1,182.1,235.619435461,114.1,12.67,1990.0,0,1464703632.25
20,120.7,21,1.42,700.0,10.63,105,46.8,182.1,235.619435461,114.1,12.67,1990.0,0,1464703632.63
21,120.7,21,1.42,700.0,11.02,108,48.4,182.1,235.619435461,114.1,12.67,1990.0,0,1464703633.02
22,120.7,21,1.42,700.0,11.77,108,51.2,182.1,235.619435461,114.1,12.67,1990.0,0,1464703633.77
23,120.7,21,1.42,700.0,12.14,109,52.7,182.1,235.619435461,114.1,12.67,2060.0,0,1464703634.14
24,111.3,20,1.48,750.0,12.55,109,54.8,176.4,220.786438063,116.6,12.91,2060.0,0,1464703634.55
25,111.3,20,1.48,750.0,13.28,111,58.1,176.4,220.786438063,116.6,12.91,2060.0,0,1464703635.28
26,111.3,20,1.48,750.0,13.7,111,59.9,176.4,220.786438063,116.6,12.91,2060.0,0,1464703635.7
27,111.3,20,1.48,750.0,14.06,112,61.3,176.4,220.786438063,116.6,12.91,2060.0,0,1464703636.06
28,111.3,20,1.48,750.0,14.5,112,63.0,176.4,220.786438063,116.6,12.91,1910.0,0,1464703636.5
29,111.3,21,1.48,750.0,15.32,113,66.6,176.4,219.65420213,116.8,12.91,1910.0,0,1464703637.32
30,124.4,21,1.48,730.0,15.71,113,68.6,188.9,219.65420213,116.8,12.21,1910.0,0,1464703637.71
31,124.4,21,1.48,730.0,16.09,114,70.3,188.9,219.65420213,116.8,12.21,1910.0,0,1464703638.09
32,124.4,21,1.48,730.0,16.85,114,73.5,188.9,219.65420213,116.8,12.21,1910.0,0,1464703638.85
33,124.4,21,1.48,730.0,17.26,115,75.1,188.9,219.65420213,116.8,12.21,1910.0,0,1464703639.26
34,124.4,21,1.48,730.0,17.68,115,76.8,188.9,219.65420213,116.8,12.21,1930.0,0,1464703639.68
35,124.4,21,1.48,730.0,18.08,115,78.7,188.9,219.65420213,116.8,12.42,1930.0,0,1464703640.08
36,108.6,21,1.45,720.0,18.89,115,82.4,160.4,230.732067845,114.9,12.42,1930.0,0,1464703640.89
37,108.6,21,1.45,720.0,19.25,116,84.0,160.4,230.732067845,114.9,12.42,1930.0,0,1464703641.25
38,108.6,21,1.45,720.0,19.63,116,85.5,160.4,230.732067845,114.9,12.42,1930.0,0,1464703641.63
39,108.6,21,1.45,720.0,20.36,117,88.2,160.4,230.732067845,114.9,12.42,1930.0,0,1464703642.36
40,108.6,21,1.45,720.0,20.75,117,89.9,160.4,230.732067845,114.9,12.42,1940.0,0,1464703642.75
41,107.5,21,1.51,770.0,21.14,117,91.8,171.9,214.107644192,117.8,12.35,1940.0,0,1464703643.14
42,107.5,21,1.51,770.0,21.49,117,93.4,171.9,214.107644192,117.8,12.35,1940.0,0,1464703643.49
43,107.5,21,1.51,770.0,22.31,118,96.9,171.9,214.107644192,117.8,12.35,1940.0,0,1464703644.31
44,107.5,21,1.51,770.0,22.66,118,98.3,171.9,214.107644192,117.8,12.35,1940.0,0,1464703644.66
45,107.5,21,1.51,770.0,23.08,119,99.9,171.9,214.107644192,117.8,12.35,1850.0,0,1464703645.08
46,107.5,21,1.51,770.0,23.51,119,101.6,171.9,214.107644192,117.8,12.35,1850.0,0,1464703645.51
47,109.9,21,1.51,760.0,24.32,119,105.6,170.2,215.751808366,117.5,11.97,1850.0,0,1464703646.32
48,109.9,21,1.51,760.0,24.68,119,107.2,170.2,215.751808366,117.5,11.97,1850.0,0,1464703646.68
49,109.9,21,1.51,760.0,25.06,119,108.7,170.2,215.751808366,117.5,11.97,1850.0,0,1464703647.06
50,109.9,21,1.51,760.0,25.81,119,111.6,170.2,215.751808366,117.5,11.97,1850.0,0,1464703647.81
51,109.9,21,1.51,760.0,26.17,119,113.0,170.2,215.751808366,117.5,11.97,1870.0,0,1464703648.17
52,109.9,21,1.51,760.0,26.6,119,115.0,170.2,215.751808366,117.5,12.05,1870.0,0,1464703648.6
53,109.3,21,1.48,750.0,27.35,120,118.5,160.5,216.857280902,117.3,12.05,1870.0,0,1464703649.35
54,109.3,21,1.48,750.0,27.77,120,120.4,160.5,216.857280902,117.3,12.05,1870.0,0,1464703649.77
55,109.3,21,1.48,750.0,28.15,120,121.9,160.5,216.857280902,117.3,12.05,1870.0,0,1464703650.15
56,109.3,21,1.48,750.0,28.57,120,123.5,160.5,216.857280902,117.3,12.05,1870.0,0,1464703650.57
57,109.3,21,1.48,750.0,29.39,120,126.9,160.5,216.857280902,117.3,12.05,1920.0,0,1464703651.39
58,109.3,21,1.48,750.0,29.75,120,128.6,160.5,214.107644192,117.8,12.14,1920.0,0,1464703651.75
59,113.1,21,1.45,730.0,30.14,120,130.4,165.0,214.107644192,117.8,12.14,1920.0,0,1464703652.14
60,113.1,21,1.45,730.0,30.53,120,132.1,165.0,214.107644192,117.8,12.14,1920.0,0,1464703652.53
61,113.1,21,1.45,730.0,31.27,120,135.1,165.0,214.107644192,117.8,12.14,1920.0,0,1464703653.27
62,113.1,21,1.45,730.0,31.66,120,136.5,165.0,214.107644192,117.8,12.14,1890.0,0,1464703653.66
63,113.1,21,1.45,730.0,32.02,120,138.0,165.0,214.107644192,117.8,12.14,1890.0,0,1464703654.02
64,107.2,21,1.42,740.0,32.81,120,141.7,160.3,214.653836898,117.7,12.04,1890.0,0,1464703654.81
65,107.2,21,1.42,740.0,33.17,121,143.3,160.3,214.653836898,117.7,12.04,1890.0,0,1464703655.17
66,107.2,21,1.42,740.0,33.55,121,144.9,160.3,214.653836898,117.7,12.04,1890.0,0,1464703655.55
67,107.2,21,1.42,740.0,34.06,120,146.9,160.3,214.653836898,117.7,12.04,1890.0,0,1464703656.06
68,107.2,21,1.42,740.0,34.82,120,149.8,160.3,214.653836898,117.7,12.04,1950.0,0,1464703656.82
69,110.2,21,1.42,740.0,35.21,121,151.7,160.8,208.746269239,118.8,12.14,1950.0,0,1464703657.21
70,110.2,21,1.42,740.0,35.56,121,153.4,160.8,208.746269239,118.8,12.14,1950.0,0,1464703657.56
71,110.2,21,1.42,740.0,35.95,121,155.1,160.8,208.746269239,118.8,12.14,1950.0,0,1464703657.95
72,110.2,21,1.42,740.0,36.73,121,158.3,160.8,208.746269239,118.8,12.14,1950.0,0,1464703658.73
73,110.2,21,1.42,740.0,37.16,121,159.9,160.8,208.746269239,118.8,12.14,1950.0,0,1464703659.16
74,110.2,21,1.42,740.0,37.56,121,161.4,160.8,208.746269239,118.8,12.14,1930.0,0,1464703659.56
75,110.2,21,1.42,740.0,37.97,121,163.3,160.8,208.746269239,118.8,12.14,1930.0,0,1464703659.97
76,112.8,21,1.48,750.0,38.74,121,166.9,171.8,210.869096475,118.4,12.14,1930.0,0,1464703660.74
77,112.8,21,1.48,750.0,39.13,121,168.6,171.8,210.869096475,118.4,12.14,1930.0,0,1464703661.13
78,112.8,21,1.48,750.0,39.56,121,170.4,171.8,210.869096475,118.4,12.14,1930.0,0,1464703661.56
79,112.8,21,1.48,750.0,40.25,121,172.9,171.8,210.869096475,118.4,12.14,1930.0,0,1464703662.25
80,112.8,21,1.48,750.0,40.63,121,174.6,171.8,210.869096475,118.4,12.14,1880.0,0,1464703662.63
81,110.6,21,1.48,750.0,41.07,121,176.7,168.3,216.857280902,117.3,12.06,1880.0,0,1464703663.07
82,110.6,21,1.48,750.0,41.84,121,180.2,168.3,216.857280902,117.3,12.06,1880.0,0,1464703663.84
83,110.6,21,1.48,750.0,42.22,122,181.8,168.3,216.857280902,117.3,12.06,1880.0,0,1464703664.22
84,110.6,21,1.48,750.0,42.69,122,183.6,168.3,216.857280902,117.3,12.06,1880.0,0,1464703664.69
85,110.6,21,1.48,750.0,43.13,123,185.2,168.3,216.857280902,117.3,12.06,1980.0,0,1464703665.13
86,110.6,21,1.48,750.0,43.52,123,186.9,168.3,216.857280902,117.3,12.06,1980.0,0,1464703665.52
87,109.8,21,1.48,750.0,44.35,125,190.8,165.6,213.020805438,118.0,12.44,1980.0,0,1464703666.35
88,109.8,21,1.48,750.0,44.77,125,192.7,165.6,213.020805438,118.0,12.44,1980.0,0,1464703666.77
89,109.8,21,1.48,750.0,45.16,126,194.3,165.6,213.020805438,118.0,12.44,1980.0,0,1464703667.16
90,109.8,21,1.48,750.0,45.69,126,196.3,165.6,213.020805438,118.0,12.44,1980.0,0,1464703667.69
91,109.8,21,1.48,750.0,46.27,127,198.5,165.6,213.020805438,118.0,12.44,1930.0,0,1464703668.27
92,109.8,21,1.48,750.0,46.82,127,201.2,165.6,211.941310172,118.2,12.44,1930.0,0,1464703668.82
93,113.4,21,1.48,750.0,47.21,127,203.0,168.3,211.941310172,118.2,12.22,1930.0,0,1464703669.21
94,113.4,21,1.48,750.0,47.6,127,204.7,168.3,211.941310172,118.2,12.22,1930.0,0,1464703669.6
95,113.4,21,1.48,750.0,48.31,126,207.6,168.3,211.941310172,118.2,12.22,1930.0,0,1464703670.31
96,113.4,21,1.48,750.0,48.7,126,209.1,168.3,211.941310172,118.2,12.22,1930.0,0,1464703670.7
97,113.4,21,1.48,750.0,49.1,126,210.6,168.3,211.941310172,118.2,12.22,1950.0,0,1464703671.1
98,113.4,21,1.48,750.0,49.81,126,214.0,168.3,215.751808366,117.5,12.22,1950.0,0,1464703671.81
99,112.2,21,1.48,740.0,50.24,127,216.0,163.2,215.751808366,117.5,12.36,1950.0,0,1464703672.24
100,112.2,21,1.48,740.0,50.59,127,217.5,163.2,215.751808366,117.5,12.36,1950.0,0,1464703672.59
101,112.2,21,1.48,740.0,50.98,127,219.1,163.2,215.751808366,117.5,12.36,1950.0,0,1464703672.98
102,112.2,21,1.48,740.0,51.82,127,222.2,163.2,215.751808366,117.5,12.36,1950.0,0,1464703673.82
103,112.2,21,1.48,740.0,52.25,128,224.1,163.2,215.751808366,117.5,12.36,1940.0,0,1464703674.25
104,110.9,21,1.45,730.0,52.64,128,226.0,165.3,214.107644192,117.8,12.2,1940.0,0,1464703674.64
105,110.9,21,1.45,730.0,53.0,129,227.7,165.3,214.107644192,117.8,12.2,1940.0,0,1464703675.0
106,110.9,21,1.45,730.0,53.77,129,231.0,165.3,214.107644192,117.8,12.2,1940.0,0,1464703675.77
107,110.9,21,1.45,730.0,54.18,129,232.6,165.3,214.107644192,117.8,12.2,1940.0,0,1464703676.18
108,110.9,21,1.45,730.0,54.76,129,234.7,165.3,214.107644192,117.8,12.2,1940.0,0,1464703676.76
109,110.9,21,1.45,730.0,55.13,129,236.3,165.3,214.107644192,117.8,12.2,1990.0,0,1464703677.13
110,110.9,20,1.48,750.0,55.49,129,238.0,170.6,209.274294965,118.7,12.43,1990.0,0,1464703677.49
111,110.9,20,1.48,750.0,56.34,129,241.9,170.6,209.274294965,118.7,12.43,1990.0,0,1464703678.34
112,110.9,20,1.48,750.0,56.73,129,243.5,170.6,209.274294965,118.7,12.43,1990.0,0,1464703678.73
113,110.9,20,1.48,750.0,57.23,129,245.4,170.6,209.274294965,118.7,12.43,1990.0,0,1464703679.23
114,110.9,20,1.48,750.0,57.7,129,247.1,170.6,209.274294965,118.7,12.43,1970.0,0,1464703679.7
115,110.9,20,1.48,750.0,58.13,130,249.0,170.6,209.274294965,118.7,12.35,1970.0,0,1464703680.13
116,114.2,21,1.48,750.0,58.54,130,251.1,171.3,210.335701037,118.5,12.35,1970.0,0,1464703680.54
117,114.2,21,1.48,750.0,59.38,131,254.8,171.3,210.335701037,118.5,12.35,1970.0,0,1464703681.38
118,114.2,21,1.48,750.0,59.73,131,256.2,171.3,210.335701037,118.5,12.35,1970.0,0,1464703681.73
119,114.2,21,1.48,750.0,60.13,131,257.7,171.3,210.335701037,118.5,12.35,1970.0,0,1464703682.13
120,114.2,21,1.48,750.0,60.56,131,259.3,171.3,210.335701037,118.5,12.35,1890.0,0,1464703682.56
121,114.2,21,1.48,750.0,61.03,132,261.5,171.3,210.335701037,118.5,12.13,1890.0,0,1464703683.03
122,116.1,21,1.48,740.0,61.88,132,265.5,175.1,218.529694751,117.0,12.13,1890.0,0,1464703683.88
123,116.1,21,1.48,740.0,62.23,132,267.1,175.1,218.529694751,117.0,12.13,1890.0,0,1464703684.23
124,116.1,21,1.48,740.0,62.6,132,268.6,175.1,218.529694751,117.0,12.13,1890.0,0,1464703684.6
125,116.1,21,1.48,740.0,63.34,131,271.4,175.1,218.529694751,117.0,12.13,1890.0,0,1464703685.34
126,116.1,21,1.48,740.0,63.69,131,272.7,175.1,218.529694751,117.0,12.13,2160.0,0,1464703685.69
127,116.1,21,1.48,740.0,64.09,131,274.5,175.1,218.529694751,117.0,13.18,2160.0,0,1464703686.09
128,114.0,19,1.48,750.0,64.51,131,276.5,169.4,210.869096475,118.4,13.18,2160.0,0,1464703686.51
129,114.0,19,1.48,750.0,64.94,132,278.5,169.4,210.869096475,118.4,13.18,2160.0,0,1464703686.94
130,114.0,19,1.48,750.0,65.77,132,281.9,169.4,210.869096475,118.4,13.18,2160.0,0,1464703687.77
131,114.0,19,1.48,750.0,66.15,132,283.3,169.4,210.869096475,118.4,13.18,2160.0,0,1464703688.15
132,114.0,19,1.48,750.0,66.59,132,284.9,169.4,210.869096475,118.4,13.18,2020.0,0,1464703688.59
133,114.0,19,1.48,750.0,67.04,133,286.9,169.4,210.869096475,118.4,13.18,2020.0,0,1464703689.04
134,111.7,20,1.48,750.0,67.82,133,290.6,162.2,209.274294965,118.7,12.58,2020.0,0,1464703689.82
135,111.7,20,1.48,750.0,68.2,133,292.3,162.2,209.274294965,118.7,12.58,2020.0,0,1464703690.2
136,111.7,20,1.48,750.0,68.56,133,293.7,162.2,209.274294965,118.7,12.58,2020.0,0,1464703690.56
137,111.7,20,1.48,750.0,69.3,133,296.6,162.2,209.274294965,118.7,12.58,2020.0,0,1464703691.3
138,111.7,20,1.48,750.0,69.73,133,298.2,162.2,209.274294965,118.7,12.58,1990.0,0,1464703691.73
139,111.7,20,1.48,750.0,70.13,134,300.1,162.2,209.274294965,118.7,12.44,1990.0,0,1464703692.13
140,105.9,20,1.45,760.0,70.48,134,301.8,161.0,209.274294965,118.7,12.44,1990.0,0,1464703692.48
141,105.9,20,1.45,760.0,71.25,134,305.1,161.0,209.274294965,118.7,12.44,1990.0,0,1464703693.25
142,105.9,20,1.45,760.0,71.62,134,306.6,161.0,209.274294965,118.7,12.44,1990.0,0,1464703693.62
143,105.9,20,1.45,760.0,71.98,134,307.9,161.0,209.274294965,118.7,12.44,1990.0,0,1464703693.98
144,105.9,20,1.45,760.0,72.76,134,310.9,161.0,209.274294965,118.7,12.44,2030.0,0,1464703694.76
145,108.4,20,1.48,780.0,73.13,135,312.6,169.8,209.274294965,118.7,12.5,2030.0,0,1464703695.13
146,108.4,20,1.48,780.0,73.58,135,314.8,169.8,201.536931233,120.2,12.5,2030.0,0,1464703695.58
147,108.4,20,1.48,780.0,74.37,135,318.2,169.8,201.536931233,120.2,12.5,2030.0,0,1464703696.37
148,108.4,20,1.48,780.0,74.8,135,319.8,169.8,201.536931233,120.2,12.5,2030.0,0,1464703696.8
149,108.4,20,1.48,780.0,75.15,135,321.1,169.8,201.536931233,120.2,12.5,2030.0,0,1464703697.15
150,108.4,20,1.48,780.0,75.54,135,322.6,169.8,201.536931233,120.2,12.5,2010.0,0,1464703697.54
151,108.4,20,1.48,780.0,76.31,135,326.1,169.8,204.58533774,119.6,12.29,2010.0,0,1464703698.31
152,109.3,20,1.42,740.0,76.66,135,327.7,163.7,204.58533774,119.6,12.29,2010.0,0,1464703698.66
153,109.3,20,1.42,740.0,77.42,135,330.9,163.7,204.58533774,119.6,12.29,2010.0,0,1464703699.42
154,109.3,20,1.42,740.0,77.77,135,332.3,163.7,204.58533774,119.6,12.29,2010.0,0,1464703699.77
155,109.3,20,1.42,740.0,78.17,135,333.7,163.7,204.58533774,119.6,12.29,2010.0,0,1464703700.17
156,109.3,20,1.42,740.0,78.88,135,336.7,163.7,204.58533774,119.6,12.29,2010.0,0,1464703700.88
157,109.3,20,1.42,740.0,79.27,136,338.6,163.7,204.073020772,119.7,12.35,2010.0,0,1464703701.27
158,108.5,20,1.45,760.0,79.66,136,340.3,170.0,204.073020772,119.7,12.35,2010.0,0,1464703701.66
159,108.5,20,1.45,760.0,80.01,136,341.8,170.0,204.073020772,119.7,12.35,2010.0,0,1464703702.01
160,108.5,20,1.45,760.0,80.82,136,345.0,170.0,204.073020772,119.7,12.35,2010.0,0,1464703702.82
161,108.5,20,1.45,760.0,81.18,136,346.3,170.0,204.073020772,119.7,12.35,1990.0,0,1464703703.18
162,108.5,20,1.45,760.0,81.58,136,347.9,170.0,204.073020772,119.7,12.35,1990.0,0,1464703703.58
163,103.2,20,1.51,790.0,82.03,137,350.0,161.2,205.099371012,119.5,12.44,1990.0,0,1464703704.03
164,103.2,20,1.51,790.0,82.49,137,352.1,161.2,205.099371012,119.5,12.44,1990.0,0,1464703704.49
165,103.2,20,1.51,790.0,83.26,137,355.4,161.2,205.099371012,119.5,12.44,1990.0,0,1464703705.26
166,103.2,20,1.51,790.0,83.62,137,356.8,161.2,205.099371012,119.5,12.44,1990.0,0,1464703705.62
167,103.2,20,1.51,790.0,84.38,137,359.6,161.2,205.099371012,119.5,12.44,1990.0,0,1464703706.38
168,103.2,20,1.51,790.0,84.73,137,361.2,161.2,205.099371012,119.5,12.44,1960.0,0,1464703706.73
169,106.2,21,1.48,780.0,85.2,138,363.4,161.0,202.546296296,120.0,12.21,1960.0,0,1464703707.2
170,106.2,21,1.48,780.0,85.63,138,365.3,161.0,202.546296296,120.0,12.21,1960.0,0,1464703707.63
171,106.2,21,1.48,780.0,86.02,138,367.0,161.0,202.546296296,120.0,12.21,1960.0,0,1464703708.02
172,106.2,21,1.48,780.0,86.79,138,370.0,161.0,202.546296296,120.0,12.21,1960.0,0,1464703708.79
173,106.2,21,1.48,780.0,87.15,138,371.3,161.0,202.546296296,120.0,12.21,2010.0,0,1464703709.15
174,106.2,21,1.48,780.0,87.52,138,372.8,161.0,202.546296296,120.0,12.21,2010.0,0,1464703709.52
175,105.5,20,1.45,760.0,88.31,138,376.5,163.8,202.546296296,120.0,12.35,2010.0,0,1464703710.31
176,105.5,20,1.45,760.0,88.73,138,378.3,163.8,202.546296296,120.0,12.35,2010.0,0,1464703710.73
177,105.5,20,1.45,760.0,89.16,138,380.1,163.8,202.546296296,120.0,12.35,2010.0,0,1464703711.16
178,105.5,20,1.45,760.0,89.55,138,381.6,163.8,202.546296296,120.0,12.35,2010.0,0,1464703711.55
179,105.5,20,1.45,760.0,90.34,138,384.4,163.8,202.546296296,120.0,12.35,2010.0,0,1464703712.34
180,105.5,20,1.45,760.0,90.7,138,386.0,163.8,202.546296296,120.0,12.5,2050.0,0,1464703712.7
181,105.8,20,1.48,780.0,91.13,139,388.1,156.3,197.076851297,121.1,12.5,2050.0,0,1464703713.13
182,105.8,20,1.48,780.0,91.87,139,391.3,156.3,197.076851297,121.1,12.5,2050.0,0,1464703713.87
183,105.8,20,1.48,780.0,92.37,139,393.3,156.3,197.076851297,121.1,12.5,2050.0,0,1464703714.37
184,105.8,20,1.48,780.0,92.77,139,394.8,156.3,197.076851297,121.1,12.5,2050.0,0,1464703714.77
185,105.8,20,1.48,780.0,93.13,140,396.1,156.3,197.076851297,121.1,12.5,1960.0,0,1464703715.13
186,105.8,20,1.48,780.0,93.55,140,397.9,156.3,197.076851297,121.1,12.5,1960.0,0,1464703715.55
187,107.6,21,1.48,770.0,94.27,140,401.3,162.8,201.536931233,120.2,12.18,1960.0,0,1464703716.27
188,107.6,21,1.48,770.0,94.65,140,403.0,162.8,201.536931233,120.2,12.18,1960.0,0,1464703716.65
189,107.6,21,1.48,770.0,95.06,140,404.7,162.8,201.536931233,120.2,12.18,1960.0,0,1464703717.06
190,107.6,21,1.48,770.0,95.79,140,407.5,162.8,201.536931233,120.2,12.18,1960.0,0,1464703717.79
191,107.6,21,1.48,770.0,96.21,139,409.0,162.8,201.536931233,120.2,12.18,2050.0,0,1464703718.21
192,107.6,21,1.48,770.0,96.65,139,411.0,162.8,201.536931233,120.2,12.5,2050.0,0,1464703718.65
193,112.2,20,1.48,750.0,97.06,140,412.9,171.4,203.56241295,119.8,12.5,2050.0,0,1464703719.06
194,112.2,20,1.48,750.0,97.51,140,415.0,171.4,203.56241295,119.8,12.5,2050.0,0,1464703719.51
195,112.2,20,1.48,750.0,98.38,140,418.5,171.4,203.56241295,119.8,12.5,2050.0,0,1464703720.38
196,112.2,20,1.48,750.0,98.76,140,420.0,171.4,203.56241295,119.8,12.5,2050.0,0,1464703720.76
197,112.2,20,1.48,750.0,99.2,141,421.6,171.4,203.56241295,119.8,12.5,1990.0,0,1464703721.2
198,112.2,20,1.48,750.0,99.59,141,423.4,171.4,203.56241295,119.8,12.43,1990.0,0,1464703721.59
199,111.1,20,1.48,750.0,99.95,141,425.1,160.9,208.220018388,118.9,12.43,1990.0,0,1464703721.95
200,111.1,20,1.48,750.0,100.81,141,428.9,160.9,208.220018388,118.9,12.43,1990.0,0,1464703722.81
201,111.1,20,1.48,750.0,101.2,140,430.5,160.9,208.220018388,118.9,12.43,1990.0,0,1464703723.2
202,111.1,20,1.48,750.0,101.62,140,432.1,160.9,208.220018388,118.9,12.43,1990.0,0,1464703723.62
203,111.1,20,1.48,750.0,102.34,140,434.8,160.9,208.220018388,118.9,12.43,2010.0,0,1464703724.34
204,104.0,20,1.48,780.0,102.71,140,436.6,166.4,208.220018388,118.9,12.58,2010.0,0,1464703724.71
205,104.0,20,1.48,780.0,103.09,140,438.4,166.4,206.132615276,119.3,12.58,2010.0,0,1464703725.09
206,104.0,20,1.48,780.0,103.87,140,441.7,166.4,206.132615276,119.3,12.58,2010.0,0,1464703725.87
207,104.0,20,1.48,780.0,104.26,140,443.2,166.4,206.132615276,119.3,12.58,2010.0,0,1464703726.26
208,104.0,20,1.48,780.0,104.71,140,444.9,166.4,206.132615276,119.3,12.58,2010.0,0,1464703726.71
209,104.0,20,1.48,780.0,105.09,141,446.3,166.4,206.132615276,119.3,12.58,2000.0,0,1464703727.09
210,104.0,20,1.48,780.0,105.58,141,448.5,166.4,206.132615276,119.3,12.43,2000.0,0,1464703727.58
211,106.0,20,1.51,790.0,106.06,141,450.8,166.0,201.034763031,120.3,12.43,2000.0,0,1464703728.06
212,106.0,20,1.51,790.0,106.83,141,454.1,166.0,201.034763031,120.3,12.43,2000.0,0,1464703728.83
213,106.0,20,1.51,790.0,107.19,141,455.5,166.0,201.034763031,120.3,12.43,2000.0,0,1464703729.19
214,106.0,20,1.51,790.0,107.62,141,457.1,166.0,201.034763031,120.3,12.43,2000.0,0,1464703729.62
215,106.0,20,1.51,790.0,107.97,141,458.4,166.0,201.034763031,120.3,12.43,1950.0,0,1464703729.97
216,106.0,21,1.51,790.0,108.79,141,462.2,166.0,206.651840763,119.2,12.43,1950.0,0,1464703730.79
217,107.7,21,1.51,770.0,109.15,142,463.9,160.7,206.651840763,119.2,12.22,1950.0,0,1464703731.15
218,107.7,21,1.51,770.0,109.5,142,465.4,160.7,206.651840763,119.2,12.22,1950.0,0,1464703731.5
219,107.7,21,1.51,770.0,109.99,142,467.4,160.7,206.651840763,119.2,12.22,1950.0,0,1464703731.99
220,107.7,21,1.51,770.0,110.8,142,470.4,160.7,206.651840763,119.2,12.22,1950.0,0,1464703732.8
221,107.7,21,1.51,770.0,111.22,141,472.1,160.7,206.651840763,119.2,12.22,1980.0,0,1464703733.22
222,108.8,20,1.45,750.0,111.58,141,473.9,159.1,207.172811545,119.1,12.34,1980.0,0,1464703733.58
223,108.8,20,1.45,750.0,112.36,140,477.5,159.1,207.172811545,119.1,12.34,1980.0,0,1464703734.36
224,108.8,20,1.45,750.0,112.77,140,479.1,159.1,207.172811545,119.1,12.34,1980.0,0,1464703734.77
225,108.8,20,1.45,750.0,113.22,140,480.9,159.1,207.172811545,119.1,12.34,1980.0,0,1464703735.22
226,108.8,20,1.45,750.0,113.61,140,482.3,159.1,207.172811545,119.1,12.34,1980.0,0,1464703735.61
227,108.8,20,1.45,750.0,114.34,141,485.3,159.1,207.172811545,119.1,12.34,2050.0,0,1464703736.34
228,108.8,20,1.45,750.0,114.76,141,487.3,159.1,203.56241295,119.8,12.34,2050.0,0,1464703736.76
229,108.4,20,1.48,770.0,115.13,141,489.0,162.4,203.56241295,119.8,12.58,2050.0,0,1464703737.13
230,108.4,20,1.48,770.0,115.51,141,490.6,162.4,203.56241295,119.8,12.58,2050.0,0,1464703737.51
231,108.4,20,1.48,770.0,116.35,141,493.9,162.4,203.56241295,119.8,12.58,2050.0,0,1464703738.35
232,108.4,20,1.48,770.0,116.76,141,495.4,162.4,203.56241295,119.8,12.58,2050.0,0,1464703738.76
233,108.4,20,1.48,770.0,117.16,142,497.1,162.4,203.56241295,119.8,12.58,1960.0,0,1464703739.16
234,103.6,21,1.48,780.0,117.9,142,500.6,163.3,205.099371012,119.5,12.29,1960.0,0,1464703739.9
235,103.6,21,1.48,780.0,118.3,142,502.3,163.3,205.099371012,119.5,12.29,1960.0,0,1464703740.3
236,103.6,21,1.48,780.0,118.65,142,503.8,163.3,205.099371012,119.5,12.29,1960.0,0,1464703740.65
237,103.6,21,1.48,780.0,119.02,142,505.2,163.3,205.099371012,119.5,12.29,1960.0,0,1464703741.02
