index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min),Speed (m/s), HRCur (bpm),Workout type,Interval type,Workout state,Rowing state,Stroke state,Total work distance (m),Piece duration (s),Piece distance (m), DragFactor, Stroke500mPace (sec/500m),Average pace (/500m),Rest distance (m),Rest time (s),Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m), Power (watts),Split average calories (cal/hr),Last split time (s),Last split distance (m), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), PeakDriveForce (lbs), AverageDriveForce (lbs),Work per stroke (J),Stroke count,Stroke power (W),Stroke calories (cal/hr),Projected work time (s),Projected work distance (m),Split/interval time (s),Split/interval distance (m),Split/interval rest time (s),Split/interval rest distance (s),Split/interval type,Split/interval number,Split/interval ave. stroke rate (/min),Split/interval ave. pace (/500m,Split/interval total calories (cals),Split/interval average calories (cal/hr),Split/interval speed (m/s),Split/interval power (W),Split/interval ave. drag factor, lapIdx, ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
10,1712902816.341406,25.1,22.0,4.386,85.0,6,0,4,1,4,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,1750.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4.6600000858306885,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,1712902816.741406,26.7,22.0,4.386,89.0,6,0,4,1,2,0.0,600.0,600.0,131.0,114.0,115.0,0.0,0.0,0,230,1,0.0,0.0,0,0.0,0,1.48,730.0,2220.0,11.79,211.6,142.9,6.4,2,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5.059999942779541,4.385964912280702,635.6506380000001,941.243352,1.0,4.0,1,0.0,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,1712902817.231406,29.1,19.0,4.383,89.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,2220.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5.549999952316284,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,1,0.0,89.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,1712902817.641406,31.2,19.0,4.383,93.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,2220.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5.960000038146973,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,1,0.0,93.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,31.2,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,1712902818.421406,34.6,19.0,4.383,93.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,2220.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,6.740000009536743,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,1,0.0,93.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,34.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,1712902818.781406,36.1,19.0,4.383,99.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,2220.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,7.099999904632568,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,1,0.0,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,36.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,1712902819.171406,37.6,19.0,4.383,99.0,6,0,4,1,2,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,2220.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,7.490000009536743,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,1,0.0,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,37.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,1712902819.601406,39.3,19.0,4.383,101.0,6,0,4,1,2,0.0,600.0,600.0,132.0,114.1,114.4,0.0,0.0,0,234,2,0.0,0.0,0,0.0,0,1.45,710.0,1990.0,13.72,196.3,131.0,7.4,3,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,7.920000076293945,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,2,0.0,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.29999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,1712902820.401406,43.2,21.0,4.382,101.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.45,710.0,1990.0,12.67,196.3,131.0,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8.72000002861023,4.382120946538125,582.71682,873.1855860000001,1.0,4.0,2,0.0,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,1712902820.821406,45.1,21.0,4.382,105.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.42,700.0,1990.0,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,9.139999866485596,4.382120946538125,536.900154,810.020862,1.0,4.0,2,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,45.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
