index,index,timestamp, latitude, longitude,enhanced_speed,speed, Horizontal (meters), Cadence (stokes/min),total_cycles, HRCur (bpm), lapIdx,TimeStamp (sec), Stroke500mPace (sec/500m), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
57,57,2016-07-28 09:39:49,48.24253672733903,11.515251863747835,4.22,4.22,454.7,30.0,26,180.0,1,1469698789.0,118.48341232227487,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.220000000000001,0.0,0.0,0.0,1.0,4.0,135,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,454.7,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,58,2016-07-28 09:39:51,48.242588359862566,11.515325037762524,4.2,4.2,462.61,30.0,27,180.0,1,1469698791.0,119.04761904761904,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.0,4.0,136,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,462.61,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,59,2016-07-28 09:39:53,48.24264829047024,11.515409527346492,4.26,4.26,471.75,29.0,28,180.0,1,1469698793.0,117.37089201877934,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,1.0,4.0,137,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,471.75,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
60,60,2016-07-28 09:39:55,48.24270327575505,11.51548714376986,4.17,4.17,480.15,30.0,29,180.0,1,1469698795.0,119.90407673860912,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,1.0,4.0,138,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,480.15,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
61,61,2016-07-28 09:39:57,48.2427491247654,11.51554916985333,4.11,4.11,487.03,33.0,30,181.0,1,1469698797.0,121.654501216545,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,1.0,4.0,139,0.0,0.0,0.0,0.0,0.0,0.0,181.0,142,146,160,167,180,192,487.03,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
62,62,2016-07-28 09:39:58,48.24280452914536,11.51562192477286,4.24,4.24,495.22,33.0,31,181.0,1,1469698798.0,117.92452830188678,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,1.0,4.0,140,0.0,0.0,0.0,0.0,0.0,0.0,181.0,142,146,160,167,180,192,495.22,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
63,63,2016-07-28 09:42:41,48.24606886133552,11.520369099453092,3.66,3.66,502.17,28.0,1,158.0,2,1469698961.0,136.61202185792348,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6600000000000006,0.0,0.0,0.0,1.0,4.0,216,0.0,0.0,0.0,158.0,0.0,0.0,0.0,142,146,160,167,180,192,502.17,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
64,64,2016-07-28 09:42:43,48.24612585827708,11.520453756675124,4.12,4.12,511.09,33.0,2,160.0,2,1469698963.0,121.35922330097088,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,1.0,4.0,217,0.0,0.0,0.0,160.0,160.0,0.0,0.0,142,146,160,167,180,192,511.09,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
65,65,2016-07-28 09:42:45,48.24617916718125,11.520529696717858,4.44,4.44,519.27,32.0,3,162.0,2,1469698965.0,112.6126126126126,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,1.0,4.0,218,0.0,0.0,0.0,0.0,162.0,0.0,0.0,142,146,160,167,180,192,519.27,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
66,66,2016-07-28 09:42:47,48.24623163789511,11.520606139674785,4.47,4.47,527.42,33.0,4,161.0,2,1469698967.0,111.85682326621924,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,219,0.0,0.0,0.0,0.0,161.0,0.0,0.0,142,146,160,167,180,192,527.42,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
67,67,2016-07-28 09:42:49,48.24629089795053,11.520685851573944,4.43,4.43,536.26,32.0,5,164.0,2,1469698969.0,112.8668171557562,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430000000000001,0.0,0.0,0.0,1.0,4.0,220,0.0,0.0,0.0,0.0,164.0,0.0,0.0,142,146,160,167,180,192,536.26,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
68,68,2016-07-28 09:42:50,48.24633649550378,11.520748799666762,4.43,4.43,543.16,33.0,6,165.0,2,1469698970.0,112.8668171557562,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430000000000001,0.0,0.0,0.0,1.0,4.0,221,0.0,0.0,0.0,0.0,165.0,0.0,0.0,142,146,160,167,180,192,543.16,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
69,69,2016-07-28 09:42:52,48.24640095233917,11.520834295079112,4.6,4.6,552.73,33.0,7,166.0,2,1469698972.0,108.69565217391305,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,1.0,4.0,222,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,552.73,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
70,70,2016-07-28 09:42:54,48.24645551852882,11.520909061655402,4.59,4.59,560.96,33.0,8,168.0,2,1469698974.0,108.93246187363836,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.589999999999999,0.0,0.0,0.0,1.0,4.0,223,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,560.96,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
71,71,2016-07-28 09:42:56,48.24651075527072,11.520985923707483,4.53,4.53,569.35,32.0,9,171.0,2,1469698976.0,110.37527593818984,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,1.0,4.0,224,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,569.35,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
72,72,2016-07-28 09:42:58,48.246564818546176,11.521062618121505,4.55,4.55,577.63,33.0,10,172.0,2,1469698978.0,109.8901098901099,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,1.0,4.0,225,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,577.63,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
73,73,2016-07-28 09:42:59,48.24661385267973,11.521134534850717,4.54,4.54,585.25,32.0,11,173.0,2,1469698979.0,110.13215859030836,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,1.0,4.0,226,0.0,0.0,0.0,0.0,0.0,173.0,0.0,142,146,160,167,180,192,585.25,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
74,74,2016-07-28 09:43:01,48.2466724421829,11.52121634222567,4.63,4.63,594.17,33.0,12,174.0,2,1469698981.0,107.9913606911447,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,1.0,4.0,227,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,594.17,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
75,75,2016-07-28 09:43:03,48.24672834947705,11.52129353955388,4.61,4.61,602.61,33.0,13,176.0,2,1469698983.0,108.45986984815616,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.610000000000001,0.0,0.0,0.0,1.0,4.0,228,0.0,0.0,0.0,0.0,0.0,176.0,0.0,142,146,160,167,180,192,602.61,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
76,76,2016-07-28 09:43:05,48.24678434059024,11.521366545930505,4.58,4.58,610.87,33.0,14,177.0,2,1469698985.0,109.17030567685588,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580000000000001,0.0,0.0,0.0,1.0,4.0,229,0.0,0.0,0.0,0.0,0.0,177.0,0.0,142,146,160,167,180,192,610.87,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
77,77,2016-07-28 09:43:07,48.246840331703424,11.521442821249366,4.54,4.54,619.28,33.0,15,178.0,2,1469698987.0,110.13215859030836,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,1.0,4.0,230,0.0,0.0,0.0,0.0,0.0,178.0,0.0,142,146,160,167,180,192,619.28,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
78,78,2016-07-28 09:43:08,48.24688618071377,11.521506356075406,4.54,4.54,626.22,34.0,16,178.0,2,1469698988.0,110.13215859030836,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,1.0,4.0,231,0.0,0.0,0.0,0.0,0.0,178.0,0.0,142,146,160,167,180,192,626.22,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
79,79,2016-07-28 09:43:10,48.24695155955851,11.52159503661096,4.69,4.69,636.03,34.0,17,179.0,2,1469698990.0,106.6098081023454,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,1.0,4.0,232,0.0,0.0,0.0,0.0,0.0,179.0,0.0,142,146,160,167,180,192,636.03,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
80,80,2016-07-28 09:43:12,48.24700092896819,11.521662091836331,4.67,4.67,643.44,34.0,18,180.0,2,1469698992.0,107.06638115631692,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,1.0,4.0,233,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,643.44,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
81,81,2016-07-28 09:43:14,48.247057339176536,11.521737864241004,4.59,4.59,651.87,34.0,19,181.0,2,1469698994.0,108.93246187363836,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.589999999999999,0.0,0.0,0.0,1.0,4.0,234,0.0,0.0,0.0,0.0,0.0,0.0,181.0,142,146,160,167,180,192,651.87,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
82,82,2016-07-28 09:43:15,48.247111067175865,11.52181388810277,4.52,4.52,660.08,33.0,20,181.0,2,1469698995.0,110.61946902654869,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,1.0,4.0,235,0.0,0.0,0.0,0.0,0.0,0.0,181.0,142,146,160,167,180,192,660.08,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
83,83,2016-07-28 09:43:17,48.24716068804264,11.521884547546506,4.52,4.52,667.69,33.0,21,181.0,2,1469698997.0,110.61946902654869,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,1.0,4.0,236,0.0,0.0,0.0,0.0,0.0,0.0,181.0,142,146,160,167,180,192,667.69,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
84,84,2016-07-28 09:43:19,48.24721785262227,11.521965181455016,4.68,4.68,676.43,33.0,22,182.0,2,1469698999.0,106.83760683760684,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,1.0,4.0,237,0.0,0.0,0.0,0.0,0.0,0.0,182.0,142,146,160,167,180,192,676.43,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
85,85,2016-07-28 09:43:21,48.247269317507744,11.52204061858356,4.65,4.65,684.44,32.0,23,182.0,2,1469699001.0,107.5268817204301,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,1.0,4.0,238,0.0,0.0,0.0,0.0,0.0,0.0,182.0,142,146,160,167,180,192,684.44,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
86,86,2016-07-28 09:43:23,48.247321620583534,11.52211538515985,4.51,4.51,692.47,33.0,24,182.0,2,1469699003.0,110.86474501108648,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0,1.0,4.0,239,0.0,0.0,0.0,0.0,0.0,0.0,182.0,142,146,160,167,180,192,692.47,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
87,87,2016-07-28 09:43:25,48.24737953953445,11.52219702489674,4.42,4.42,701.32,32.0,25,183.0,2,1469699005.0,113.12217194570135,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,1.0,4.0,240,0.0,0.0,0.0,0.0,0.0,0.0,183.0,142,146,160,167,180,192,701.32,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
88,88,2016-07-28 09:43:26,48.24742798693478,11.522265588864684,4.38,4.38,708.72,32.0,26,183.0,2,1469699006.0,114.15525114155253,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.379999999999999,0.0,0.0,0.0,1.0,4.0,241,0.0,0.0,0.0,0.0,0.0,0.0,183.0,142,146,160,167,180,192,708.72,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
89,89,2016-07-28 09:43:28,48.24748422950506,11.52234555222094,4.47,4.47,717.35,32.0,27,183.0,2,1469699008.0,111.85682326621924,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,242,0.0,0.0,0.0,0.0,0.0,0.0,183.0,142,146,160,167,180,192,717.35,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
90,90,2016-07-28 09:43:30,48.24754022061825,11.522425347939134,4.44,4.44,725.94,32.0,28,183.0,2,1469699010.0,112.6126126126126,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,1.0,4.0,243,0.0,0.0,0.0,0.0,0.0,0.0,183.0,142,146,160,167,180,192,725.94,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
91,91,2016-07-28 09:43:32,48.247592858970165,11.5224944986403,4.34,4.34,733.72,33.0,29,184.0,2,1469699012.0,115.2073732718894,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,1.0,4.0,244,0.0,0.0,0.0,0.0,0.0,0.0,184.0,142,146,160,167,180,192,733.72,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
92,92,2016-07-28 09:43:34,48.247646084055305,11.522569097578526,4.35,4.35,741.82,32.0,30,184.0,2,1469699014.0,114.9425287356322,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,1.0,4.0,245,0.0,0.0,0.0,0.0,0.0,0.0,184.0,142,146,160,167,180,192,741.82,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
93,93,2016-07-28 09:43:36,48.24770232662559,11.522645959630609,4.34,4.34,750.29,30.0,31,184.0,2,1469699016.0,115.2073732718894,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,1.0,4.0,246,0.0,0.0,0.0,0.0,0.0,0.0,184.0,142,146,160,167,180,192,750.29,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
