index,index,timestamp, latitude, longitude,enhanced_speed,speed, Horizontal (meters), Cadence (stokes/min),total_cycles, HRCur (bpm), lapIdx,TimeStamp (sec), Stroke500mPace (sec/500m), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
12,12,2016-07-28 09:35:49,48.236824879422784,11.507403887808325,4.62,4.62,92.55,33.0,13,159.0,0,1469698549.0,108.22510822510824,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.619999999999999,0.0,0.0,0.0,1.0,4.0,12,0.0,0.0,0.0,159.0,0.0,0.0,0.0,142,146,160,167,180,192,92.55,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,13,2016-07-28 09:35:51,48.23687902651727,11.507480330765247,4.64,4.64,100.83,33.0,14,163.0,0,1469698551.0,107.75862068965516,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.640000000000001,0.0,0.0,0.0,1.0,4.0,14,0.0,0.0,0.0,0.0,163.0,0.0,0.0,142,146,160,167,180,192,100.83,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,14,2016-07-28 09:35:53,48.236933425068855,11.507556941360235,4.59,4.59,109.13,32.0,15,166.0,0,1469698553.0,108.93246187363836,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.589999999999999,0.0,0.0,0.0,1.0,4.0,15,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,109.13,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,15,2016-07-28 09:35:55,48.23699335567653,11.507637659087775,4.52,4.52,118.09,32.0,16,168.0,0,1469698555.0,110.61946902654869,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,118.09,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,16,2016-07-28 09:35:56,48.23704012669623,11.507699685171248,4.5,4.5,125.05,33.0,17,169.0,0,1469698556.0,111.11111111111111,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,125.05,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,17,2016-07-28 09:35:58,48.23710458353162,11.507786018773912,4.66,4.66,134.65,33.0,18,171.0,0,1469698558.0,107.2961373390558,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659999999999999,0.0,0.0,0.0,1.0,4.0,17,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,134.65,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,18,2016-07-28 09:36:00,48.2371605746448,11.50786061771214,4.66,4.66,142.99,32.0,19,172.0,0,1469698560.0,107.2961373390558,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659999999999999,0.0,0.0,0.0,1.0,4.0,18,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,142.99,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,19,2016-07-28 09:36:02,48.23721522465348,11.507934546098111,4.58,4.58,151.19,33.0,20,172.0,0,1469698562.0,109.17030567685588,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580000000000001,0.0,0.0,0.0,1.0,4.0,19,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,151.19,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,20,2016-07-28 09:36:04,48.237270629033446,11.508007468655704,4.52,4.52,159.38,33.0,21,173.0,0,1469698564.0,110.61946902654869,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,1.0,4.0,21,0.0,0.0,0.0,0.0,0.0,173.0,0.0,142,146,160,167,180,192,159.38,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,21,2016-07-28 09:36:06,48.23731614276767,11.508067063987257,4.47,4.47,166.1,33.0,22,175.0,0,1469698566.0,111.85682326621924,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,22,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,166.1,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,22,2016-07-28 09:36:07,48.23737942613661,11.50815423578024,4.58,4.58,175.67,33.0,23,175.0,0,1469698567.0,109.17030567685588,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.580000000000001,0.0,0.0,0.0,1.0,4.0,22,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,175.67,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,23,2016-07-28 09:36:09,48.23743348941207,11.508228164166212,4.57,4.57,183.8,32.0,24,175.0,0,1469698569.0,109.40919037199124,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,1.0,4.0,23,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,183.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,2016-07-28 09:36:11,48.23748646304011,11.508300667628646,4.47,4.47,191.79,33.0,25,175.0,0,1469698571.0,111.85682326621924,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,24,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,191.79,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,2016-07-28 09:36:13,48.237540777772665,11.50837124325335,4.39,4.39,199.78,32.0,26,176.0,0,1469698573.0,113.89521640091117,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,1.0,4.0,25,0.0,0.0,0.0,0.0,0.0,176.0,0.0,142,146,160,167,180,192,199.78,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,2016-07-28 09:36:15,48.23759433813393,11.508443830534816,4.39,4.39,207.81,32.0,27,176.0,0,1469698575.0,113.89521640091117,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,1.0,4.0,27,0.0,0.0,0.0,0.0,0.0,176.0,0.0,142,146,160,167,180,192,207.81,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,2016-07-28 09:36:17,48.23765368200839,11.508524464443326,4.49,4.49,216.73,33.0,28,174.0,0,1469698577.0,111.358574610245,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.489999999999999,0.0,0.0,0.0,1.0,4.0,28,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,216.73,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,2016-07-28 09:36:18,48.23770699091256,11.50859889574349,4.49,4.49,224.82,32.0,29,174.0,0,1469698578.0,111.358574610245,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.489999999999999,0.0,0.0,0.0,1.0,4.0,28,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,224.82,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,2016-07-28 09:36:21,48.2377599645406,11.508673578500748,4.47,4.47,232.92,33.0,30,174.0,0,1469698581.0,111.85682326621924,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,30,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,232.92,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,2016-07-28 09:36:22,48.23781235143542,11.50874792598188,4.48,4.48,240.94,32.0,31,175.0,0,1469698582.0,111.60714285714285,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,1.0,4.0,30,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,240.94,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,2016-07-28 09:36:24,48.23786507360637,11.508820597082376,4.43,4.43,248.9,32.0,32,175.0,0,1469698584.0,112.8668171557562,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430000000000001,0.0,0.0,0.0,1.0,4.0,31,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,248.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,32,2016-07-28 09:39:02,48.241224121302366,11.51343835517764,3.62,3.62,256.12,30.0,1,160.0,1,1469698742.0,138.12154696132598,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6199999999999997,0.0,0.0,0.0,1.0,4.0,110,0.0,0.0,0.0,160.0,160.0,0.0,0.0,142,146,160,167,180,192,256.12,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,2016-07-28 09:39:04,48.24127508327365,11.513508260250092,3.85,3.85,263.81,33.0,2,161.0,1,1469698744.0,129.87012987012986,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8500000000000005,0.0,0.0,0.0,1.0,4.0,112,0.0,0.0,0.0,0.0,161.0,0.0,0.0,142,146,160,167,180,192,263.81,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,2016-07-28 09:39:06,48.24132302775979,11.513575986027718,4.2,4.2,271.13,33.0,3,162.0,1,1469698746.0,119.04761904761904,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.0,4.0,113,0.0,0.0,0.0,0.0,162.0,0.0,0.0,142,146,160,167,180,192,271.13,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,35,2016-07-28 09:39:07,48.24137784540653,11.51365569792688,4.47,4.47,279.62,33.0,4,162.0,1,1469698747.0,111.85682326621924,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,113,0.0,0.0,0.0,0.0,162.0,0.0,0.0,142,146,160,167,180,192,279.62,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,2016-07-28 09:39:09,48.24142947793007,11.513730883598328,4.47,4.47,287.64,33.0,5,164.0,1,1469698749.0,111.85682326621924,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,1.0,4.0,114,0.0,0.0,0.0,0.0,164.0,0.0,0.0,142,146,160,167,180,192,287.64,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,2016-07-28 09:39:11,48.24148312211037,11.513804560527204,4.44,4.44,295.73,33.0,6,165.0,1,1469698751.0,112.6126126126126,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,1.0,4.0,115,0.0,0.0,0.0,0.0,165.0,0.0,0.0,142,146,160,167,180,192,295.73,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,2016-07-28 09:39:13,48.24153752066195,11.513878153637052,4.42,4.42,303.88,33.0,7,165.0,1,1469698753.0,113.12217194570135,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,1.0,4.0,116,0.0,0.0,0.0,0.0,165.0,0.0,0.0,142,146,160,167,180,192,303.88,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,39,2016-07-28 09:39:15,48.24158479459584,11.513944873586295,4.38,4.38,311.09,32.0,8,167.0,1,1469698755.0,114.15525114155253,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.379999999999999,0.0,0.0,0.0,1.0,4.0,118,0.0,0.0,0.0,0.0,167.0,167.0,0.0,142,146,160,167,180,192,311.09,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,40,2016-07-28 09:39:17,48.24164656922221,11.514030871912835,4.44,4.44,320.47,32.0,9,171.0,1,1469698757.0,112.6126126126126,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,1.0,4.0,119,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,320.47,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,41,2016-07-28 09:39:18,48.24169719591737,11.514101196080446,4.3,4.3,328.15,32.0,10,172.0,1,1469698758.0,116.27906976744188,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299999999999999,0.0,0.0,0.0,1.0,4.0,119,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,328.15,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,42,2016-07-28 09:39:20,48.24174706824124,11.514167077839376,4.12,4.12,335.54,31.0,11,174.0,1,1469698760.0,121.35922330097088,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,1.0,4.0,120,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,335.54,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,2016-07-28 09:39:22,48.241803143173456,11.514239078387618,4.2,4.2,343.76,31.0,12,174.0,1,1469698762.0,119.04761904761904,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.0,4.0,121,0.0,0.0,0.0,0.0,0.0,174.0,0.0,142,146,160,167,180,192,343.76,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,2016-07-28 09:39:24,48.24185762554407,11.514312084764242,4.21,4.21,351.89,32.0,13,176.0,1,1469698764.0,118.76484560570071,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,1.0,4.0,122,0.0,0.0,0.0,0.0,0.0,176.0,0.0,142,146,160,167,180,192,351.89,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,45,2016-07-28 09:39:26,48.2419081684202,11.514377379789948,4.11,4.11,359.31,30.0,14,176.0,1,1469698766.0,121.654501216545,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,1.0,4.0,123,0.0,0.0,0.0,0.0,0.0,176.0,0.0,142,146,160,167,180,192,359.31,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,2016-07-28 09:39:28,48.24196072295308,11.514450469985604,4.02,4.02,367.28,32.0,15,175.0,1,1469698768.0,124.37810945273633,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,1.0,4.0,124,0.0,0.0,0.0,0.0,0.0,175.0,0.0,142,146,160,167,180,192,367.28,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,2016-07-28 09:39:30,48.242008332163095,11.514516351744533,3.96,3.96,374.5,30.0,16,177.0,1,1469698770.0,126.26262626262628,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9599999999999995,0.0,0.0,0.0,1.0,4.0,125,0.0,0.0,0.0,0.0,0.0,177.0,0.0,142,146,160,167,180,192,374.5,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,2016-07-28 09:39:32,48.242060551419854,11.514591285958886,4.04,4.04,382.53,32.0,17,177.0,1,1469698772.0,123.76237623762376,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,1.0,4.0,126,0.0,0.0,0.0,0.0,0.0,177.0,0.0,142,146,160,167,180,192,382.53,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,2016-07-28 09:39:34,48.242110423743725,11.51465943083167,4.06,4.06,390.05,32.0,18,178.0,1,1469698774.0,123.15270935960592,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,1.0,4.0,127,0.0,0.0,0.0,0.0,0.0,178.0,0.0,142,146,160,167,180,192,390.05,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,2016-07-28 09:39:35,48.24215652421117,11.51472439058125,4.09,4.09,397.07,33.0,19,178.0,1,1469698775.0,122.24938875305624,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,1.0,4.0,128,0.0,0.0,0.0,0.0,0.0,178.0,0.0,142,146,160,167,180,192,397.07,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,2016-07-28 09:39:37,48.242214024066925,11.514804186299443,4.27,4.27,405.79,31.0,20,177.0,1,1469698777.0,117.096018735363,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,1.0,4.0,129,0.0,0.0,0.0,0.0,0.0,177.0,0.0,142,146,160,167,180,192,405.79,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,52,2016-07-28 09:39:39,48.24226498603821,11.514874342828987,4.27,4.27,413.48,32.0,21,177.0,1,1469698779.0,117.096018735363,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,1.0,4.0,130,0.0,0.0,0.0,0.0,0.0,177.0,0.0,142,146,160,167,180,192,413.48,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,53,2016-07-28 09:39:41,48.24232013896108,11.514953384175897,4.24,4.24,421.97,31.0,22,178.0,1,1469698781.0,117.92452830188678,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,1.0,4.0,131,0.0,0.0,0.0,0.0,0.0,178.0,0.0,142,146,160,167,180,192,421.97,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,54,2016-07-28 09:39:43,48.24237193912268,11.51502337306738,4.22,4.22,429.73,32.0,23,179.0,1,1469698783.0,118.48341232227487,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.220000000000001,0.0,0.0,0.0,1.0,4.0,132,0.0,0.0,0.0,0.0,0.0,179.0,0.0,142,146,160,167,180,192,429.73,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,55,2016-07-28 09:39:45,48.24242868460715,11.515101743862031,4.21,4.21,438.31,30.0,24,179.0,1,1469698785.0,118.76484560570071,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,1.0,4.0,133,0.0,0.0,0.0,0.0,0.0,179.0,0.0,142,146,160,167,180,192,438.31,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,56,2016-07-28 09:39:47,48.24248073622584,11.515173744410276,4.28,4.28,446.19,30.0,25,180.0,1,1469698787.0,116.82242990654206,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,1.0,4.0,134,0.0,0.0,0.0,0.0,0.0,180.0,180.0,142,146,160,167,180,192,446.19,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
